HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,3.08,6.26,0.86,2.18,0.85,2.10,0.90,1.11,0.44,0.61,1.43,2.49,2.22,2.48,0.57,0.64
1881.5,4.28,7.45,1.31,3.11,1.10,2.99,1.34,1.62,0.65,0.87,2.07,3.67,3.21,3.51,0.86,0.97
1882.5,4.52,6.32,1.79,3.41,0.97,3.19,1.40,1.75,0.70,0.93,2.12,4.03,3.23,3.72,0.87,1.08
1883.5,4.42,4.90,2.23,3.46,0.70,3.10,1.29,1.71,0.68,0.91,1.96,3.94,2.86,3.53,0.80,1.08
1884.5,4.40,4.11,2.76,3.58,0.50,3.03,1.19,1.68,0.68,0.90,1.85,3.93,2.57,3.44,0.75,1.10
1885.5,4.44,3.53,3.57,4.03,0.37,3.08,1.09,1.72,0.73,0.93,1.75,4.25,2.28,3.59,0.73,1.22
1886.5,3.08,2.61,2.38,2.93,0.28,2.27,0.69,1.37,0.52,0.78,1.26,3.46,1.55,3.10,0.56,1.10
1887.5,1.91,1.81,1.29,1.64,0.21,1.37,0.43,0.86,0.28,0.52,0.70,2.19,1.04,2.28,0.37,0.84
1888.5,1.18,1.17,0.77,1.00,0.14,0.83,0.27,0.47,0.17,0.26,0.41,1.18,0.62,1.05,0.18,0.35
1889.5,0.54,0.57,0.35,0.49,0.07,0.38,0.13,0.22,0.08,0.12,0.19,0.57,0.30,0.50,0.09,0.15
4112.5,1.64,2.02,0.86,1.22,0.26,1.12,0.41,0.62,0.23,0.33,0.53,1.42,0.86,1.19,0.23,0.32
4113.5,2.01,2.39,1.08,1.49,0.30,1.39,0.50,0.77,0.28,0.41,0.69,1.74,1.07,1.48,0.29,0.41
4114.5,2.27,2.55,1.26,1.68,0.32,1.57,0.56,0.87,0.31,0.46,0.78,1.95,1.19,1.66,0.32,0.47
4115.5,2.40,2.55,1.38,1.77,0.32,1.65,0.58,0.91,0.33,0.48,0.81,2.05,1.22,1.74,0.34,0.50
4116.5,2.41,2.47,1.44,1.79,0.30,1.65,0.57,0.92,0.33,0.48,0.81,2.06,1.19,1.74,0.33,0.51
4117.5,2.29,2.30,1.40,1.72,0.28,1.57,0.54,0.88,0.32,0.46,0.76,1.99,1.12,1.68,0.32,0.50
4118.5,1.98,1.99,1.24,1.52,0.24,1.36,0.46,0.76,0.27,0.41,0.64,1.76,0.95,1.48,0.27,0.43
4119.5,1.65,1.67,1.04,1.28,0.20,1.14,0.38,0.64,0.23,0.34,0.52,1.49,0.79,1.25,0.22,0.36
4120.5,1.27,1.31,0.80,1.01,0.16,0.88,0.30,0.49,0.18,0.26,0.38,1.17,0.61,0.97,0.17,0.28
4121.5,0.91,0.95,0.58,0.75,0.12,0.63,0.22,0.35,0.13,0.19,0.27,0.86,0.45,0.71,0.13,0.20
6368.5,3.36,6.94,0.89,2.35,0.94,2.29,0.99,1.21,0.48,0.66,1.59,2.68,2.46,2.70,0.63,0.70
6369.5,3.83,6.33,1.28,2.74,0.93,2.69,1.18,1.46,0.57,0.78,1.89,3.25,2.79,3.12,0.74,0.87
6370.5,3.93,5.02,1.71,2.96,0.76,2.75,1.17,1.52,0.59,0.81,1.78,3.46,2.65,3.15,0.72,0.93
6371.5,4.17,4.50,2.15,3.24,0.63,2.92,1.20,1.61,0.64,0.86,1.89,3.66,2.65,3.29,0.75,1.02
6372.5,3.69,3.37,2.43,2.95,0.40,2.52,0.94,1.39,0.55,0.74,1.54,3.20,2.02,2.81,0.60,0.90
6373.5,3.38,2.85,2.57,3.02,0.31,2.40,0.78,1.35,0.55,0.73,1.36,3.26,1.68,2.78,0.55,0.93
6374.5,2.50,2.21,1.82,2.28,0.25,1.85,0.55,1.18,0.41,0.70,1.03,2.96,1.30,2.81,0.48,1.01
6375.5,1.62,1.55,1.07,1.35,0.18,1.15,0.36,0.71,0.23,0.42,0.58,1.78,0.87,1.86,0.30,0.70
6376.5,0.95,0.96,0.61,0.80,0.12,0.66,0.22,0.38,0.14,0.21,0.33,0.93,0.50,0.83,0.15,0.27
6377.5,0.37,0.39,0.24,0.33,0.05,0.26,0.09,0.15,0.06,0.08,0.13,0.38,0.21,0.33,0.06,0.10
8528.5,2.90,5.85,0.45,2.24,0.92,1.88,1.01,1.01,0.47,0.56,1.12,2.63,2.26,2.25,0.52,0.48
8529.5,8.39,14.90,1.77,7.03,2.51,5.67,3.07,3.15,1.40,1.64,3.16,8.37,7.09,7.15,1.72,1.70
8530.5,10.63,14.44,3.53,9.47,2.59,7.56,4.02,4.18,1.83,2.20,3.61,11.38,9.35,9.75,2.50,2.87
8531.5,11.73,12.02,5.76,11.31,1.83,8.37,4.42,4.69,2.11,2.42,3.47,12.89,9.30,10.72,2.50,3.51
8532.5,11.63,8.04,9.60,12.28,0.71,8.01,3.67,4.41,2.13,2.29,2.93,12.81,6.20,10.14,1.95,3.46
8533.5,10.88,5.20,13.42,13.15,0.23,7.30,1.91,3.92,1.91,2.08,2.61,12.33,3.11,9.27,1.38,3.20
8534.5,5.41,2.72,7.13,8.49,0.14,4.77,0.57,3.04,0.99,1.61,1.99,9.94,2.33,7.56,0.95,2.43
8535.5,1.03,0.80,1.05,1.72,0.07,1.11,0.16,0.96,0.20,0.65,0.52,3.18,1.20,3.58,0.46,1.05
8536.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
