chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
2.227,1.398,0.59,1.154,0.444,1.328,1.214,0.208,0.317,0.635,0.521,1.255,0.357,0.281,0.956,1.308
2.883,2.007,0.849,1.648,0.592,1.437,0.394,0.306,0.41,0.855,0.752,1.734,0.51,0.393,1.352,1.847
3.101,2.441,1.144,1.968,0.71,1.653,0.467,0.374,0.436,0.979,0.91,2.031,0.628,0.472,1.671,2.273
2.927,2.616,1.396,2.188,0.752,1.655,0.476,0.405,0.369,1.028,0.972,2.151,0.71,0.522,1.756,2.466
2.695,2.63,1.642,2.341,0.705,1.525,0.448,0.395,0.33,0.996,0.981,2.189,0.723,0.516,1.799,2.497
2.33,2.452,1.76,2.204,0.594,1.324,0.414,0.388,0.272,0.926,0.948,2.076,0.698,0.499,1.71,2.376
1.884,2.044,1.394,2.894,0.466,1.088,0.348,0.299,0.208,2.559,0.974,1.842,0.645,0.442,3.043,3.753
1.393,1.437,0.995,1.367,0.348,0.8,0.27,0.229,0.17,0.592,0.581,2.084,2.049,0.321,1.029,1.566
0.913,0.904,0.588,0.827,0.216,0.528,0.172,0.131,0.113,0.354,0.352,0.901,0.308,0.204,0.622,0.975
0.431,0.392,0.285,0.402,0.103,0.248,0.077,0.059,0.055,0.151,0.164,0.406,0.141,0.09,0.287,0.452
1.359,0.921,0.46,0.845,0.277,0.655,0.185,0.138,0.182,0.384,0.364,0.881,0.256,0.189,0.641,0.942
1.584,1.126,0.574,1.049,0.344,0.824,0.221,0.175,0.208,0.483,0.434,1.046,0.323,0.233,0.806,1.166
1.695,1.3,0.677,1.201,0.391,0.892,0.252,0.204,0.212,0.575,1.749,5.235,1.019,1.342,1.027,1.328
1.786,1.351,0.784,2.048,0.403,0.922,0.273,0.216,0.227,0.607,1.093,3.058,0.396,0.294,4.63,6.884
1.643,1.377,0.91,1.74,0.381,0.89,0.261,0.218,0.201,0.616,0.544,1.774,0.411,0.289,4.408,8.754
1.415,1.296,0.839,1.365,0.345,0.816,0.253,0.202,0.19,0.562,3.062,3.783,0.396,1.763,2.245,3.309
1.211,1.105,0.742,1.105,0.296,0.715,0.214,0.181,0.16,0.463,0.437,1.067,0.355,0.251,0.799,1.193
0.987,0.896,0.614,0.893,0.236,0.561,0.174,0.154,0.121,0.354,0.369,0.909,0.293,0.2,0.645,1.016
0.767,0.694,0.497,0.726,0.185,0.441,0.13,0.109,0.096,0.257,0.267,0.694,0.229,0.154,0.506,0.796
0.606,0.568,0.409,0.576,0.147,0.354,0.106,0.089,0.081,0.202,0.23,0.543,0.176,0.125,0.401,0.622
2.202,1.47,0.571,1.15,0.42,1.039,0.288,0.219,0.326,0.621,0.548,1.225,0.364,0.289,1.009,1.317
2.622,1.95,0.825,1.522,0.576,1.312,0.367,0.286,0.384,0.776,0.7,1.607,0.47,0.387,1.314,1.729
2.671,2.186,1.089,1.836,0.631,1.457,0.394,0.325,0.377,0.912,0.836,1.883,0.581,0.437,1.499,2.044
2.53,2.328,1.292,1.938,0.634,1.423,0.416,0.357,0.336,0.911,0.861,1.956,0.625,0.475,1.611,2.188
2.284,2.328,1.415,1.971,0.585,1.349,0.411,0.355,0.287,0.9,0.867,1.95,0.628,0.472,1.569,2.175
2.029,5.557,5.181,2.926,0.5,1.112,0.343,0.311,0.232,0.803,0.806,1.824,0.599,0.452,1.412,2.066
1.583,1.661,1.157,1.547,0.391,2.681,0.292,0.245,0.188,0.659,2.232,1.575,0.521,0.369,1.191,3.645
1.188,1.194,0.802,1.091,0.275,0.661,0.213,0.169,0.144,0.468,0.487,1.18,0.574,0.265,0.844,1.257
0.728,0.707,0.455,0.651,0.171,0.415,0.129,0.101,0.093,0.275,0.284,0.702,0.228,0.159,0.494,0.748
0.299,0.268,0.181,0.271,0.072,0.171,0.05,0.044,0.036,0.099,0.109,0.275,0.092,0.062,0.195,0.306
5.716,3.118,0.347,2.406,1.14,2.657,0.886,0.53,0.872,1.139,1.064,2.657,0.582,0.666,1.886,2.963
14.941,6.415,1.639,7.038,3.035,8.043,2.4,1.644,2.538,3.122,2.793,7.116,2.227,1.676,5.965,8.539
14.253,10.961,3.113,8.796,4.269,9.172,2.508,1.774,2.505,2.606,3.96,8.781,3.175,1.464,7.024,9.043
11.271,9.204,5.777,10.594,4.41,9.517,3.065,1.819,1.0,2.318,5.362,12.474,2.989,2.497,7.983,15.54
8.412,9.998,9.407,12.767,4.153,6.808,2.701,1.821,0.605,1.091,5.193,9.677,2.886,3.142,7.56,15.447
4.265,11.397,13.849,13.676,1.911,2.463,1.473,2.393,0.19,2.428,3.476,8.837,4.442,1.536,7.149,12.296
2.61,5.333,7.22,10.622,0.247,1.675,1.199,1.031,0.098,2.929,2.806,7.69,2.776,1.74,5.909,9.892
0.453,0.489,0.425,0.562,0.111,2.156,1.107,0.079,0.052,0.188,1.223,4.468,1.286,0.847,0.379,3.865
0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.002,0.002
0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.002,0.002
