HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,1.40,2.23,0.59,1.15,0.32,0.96,0.44,0.52,0.21,0.28,0.64,1.31,1.33,1.25,1.21,0.36
1881.5,2.01,2.88,0.85,1.65,0.41,1.35,0.59,0.75,0.31,0.39,0.85,1.85,1.44,1.73,0.39,0.51
1882.5,2.44,3.10,1.14,1.97,0.44,1.67,0.71,0.91,0.37,0.47,0.98,2.27,1.65,2.03,0.47,0.63
1883.5,2.62,2.93,1.40,2.19,0.37,1.76,0.75,0.97,0.41,0.52,1.03,2.47,1.66,2.15,0.48,0.71
1884.5,2.63,2.69,1.64,2.34,0.33,1.80,0.70,0.98,0.40,0.52,1.00,2.50,1.52,2.19,0.45,0.72
1885.5,2.45,2.33,1.76,2.20,0.27,1.71,0.59,0.95,0.39,0.50,0.93,2.38,1.32,2.08,0.41,0.70
1886.5,2.04,1.88,1.39,2.89,0.21,3.04,0.47,0.97,0.30,0.44,2.56,3.75,1.09,1.84,0.35,0.65
1887.5,1.44,1.39,0.99,1.37,0.17,1.03,0.35,0.58,0.23,0.32,0.59,1.57,0.80,2.08,0.27,2.05
1888.5,0.90,0.91,0.59,0.83,0.11,0.62,0.22,0.35,0.13,0.20,0.35,0.97,0.53,0.90,0.17,0.31
1889.5,0.39,0.43,0.28,0.40,0.06,0.29,0.10,0.16,0.06,0.09,0.15,0.45,0.25,0.41,0.08,0.14
4112.5,0.92,1.36,0.46,0.84,0.18,0.64,0.28,0.36,0.14,0.19,0.38,0.94,0.66,0.88,0.18,0.26
4113.5,1.13,1.58,0.57,1.05,0.21,0.81,0.34,0.43,0.17,0.23,0.48,1.17,0.82,1.05,0.22,0.32
4114.5,1.30,1.70,0.68,1.20,0.21,1.03,0.39,1.75,0.20,1.34,0.57,1.33,0.89,5.24,0.25,1.02
4115.5,1.35,1.79,0.78,2.05,0.23,4.63,0.40,1.09,0.22,0.29,0.61,6.88,0.92,3.06,0.27,0.40
4116.5,1.38,1.64,0.91,1.74,0.20,4.41,0.38,0.54,0.22,0.29,0.62,8.75,0.89,1.77,0.26,0.41
4117.5,1.30,1.42,0.84,1.36,0.19,2.25,0.34,3.06,0.20,1.76,0.56,3.31,0.82,3.78,0.25,0.40
4118.5,1.10,1.21,0.74,1.10,0.16,0.80,0.30,0.44,0.18,0.25,0.46,1.19,0.71,1.07,0.21,0.35
4119.5,0.90,0.99,0.61,0.89,0.12,0.65,0.24,0.37,0.15,0.20,0.35,1.02,0.56,0.91,0.17,0.29
4120.5,0.69,0.77,0.50,0.73,0.10,0.51,0.18,0.27,0.11,0.15,0.26,0.80,0.44,0.69,0.13,0.23
4121.5,0.57,0.61,0.41,0.58,0.08,0.40,0.15,0.23,0.09,0.12,0.20,0.62,0.35,0.54,0.11,0.18
6368.5,1.47,2.20,0.57,1.15,0.33,1.01,0.42,0.55,0.22,0.29,0.62,1.32,1.04,1.23,0.29,0.36
6369.5,1.95,2.62,0.82,1.52,0.38,1.31,0.58,0.70,0.29,0.39,0.78,1.73,1.31,1.61,0.37,0.47
6370.5,2.19,2.67,1.09,1.84,0.38,1.50,0.63,0.84,0.33,0.44,0.91,2.04,1.46,1.88,0.39,0.58
6371.5,2.33,2.53,1.29,1.94,0.34,1.61,0.63,0.86,0.36,0.47,0.91,2.19,1.42,1.96,0.42,0.62
6372.5,2.33,2.28,1.42,1.97,0.29,1.57,0.58,0.87,0.35,0.47,0.90,2.17,1.35,1.95,0.41,0.63
6373.5,5.56,2.03,5.18,2.93,0.23,1.41,0.50,0.81,0.31,0.45,0.80,2.07,1.11,1.82,0.34,0.60
6374.5,1.66,1.58,1.16,1.55,0.19,1.19,0.39,2.23,0.24,0.37,0.66,3.65,2.68,1.57,0.29,0.52
6375.5,1.19,1.19,0.80,1.09,0.14,0.84,0.28,0.49,0.17,0.27,0.47,1.26,0.66,1.18,0.21,0.57
6376.5,0.71,0.73,0.46,0.65,0.09,0.49,0.17,0.28,0.10,0.16,0.28,0.75,0.41,0.70,0.13,0.23
6377.5,0.27,0.30,0.18,0.27,0.04,0.20,0.07,0.11,0.04,0.06,0.10,0.31,0.17,0.28,0.05,0.09
8528.5,3.12,5.72,0.35,2.41,0.87,1.89,1.14,1.06,0.53,0.67,1.14,2.96,2.66,2.66,0.89,0.58
8529.5,6.42,14.94,1.64,7.04,2.54,5.96,3.04,2.79,1.64,1.68,3.12,8.54,8.04,7.12,2.40,2.23
8530.5,10.96,14.25,3.11,8.80,2.50,7.02,4.27,3.96,1.77,1.46,2.61,9.04,9.17,8.78,2.51,3.17
8531.5,9.20,11.27,5.78,10.59,1.00,7.98,4.41,5.36,1.82,2.50,2.32,15.54,9.52,12.47,3.06,2.99
8532.5,10.00,8.41,9.41,12.77,0.60,7.56,4.15,5.19,1.82,3.14,1.09,15.45,6.81,9.68,2.70,2.89
8533.5,11.40,4.26,13.85,13.68,0.19,7.15,1.91,3.48,2.39,1.54,2.43,12.30,2.46,8.84,1.47,4.44
8534.5,5.33,2.61,7.22,10.62,0.10,5.91,0.25,2.81,1.03,1.74,2.93,9.89,1.68,7.69,1.20,2.78
8535.5,0.49,0.45,0.42,0.56,0.05,0.38,0.11,1.22,0.08,0.85,0.19,3.87,2.16,4.47,1.11,1.29
8536.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
