chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
1.698,1.043,0.43,0.91,0.318,0.864,0.514,0.169,0.239,0.455,0.384,0.943,0.283,0.211,0.743,1.026
2.448,1.631,0.714,1.413,0.509,1.197,0.336,0.276,0.356,0.683,0.624,1.43,0.412,0.329,1.093,1.546
2.651,1.995,0.931,1.736,0.62,1.405,0.389,0.315,0.386,0.816,0.743,1.81,0.558,0.418,1.365,1.919
2.482,2.241,1.221,1.95,0.659,1.448,0.421,0.347,0.34,0.9,0.833,1.928,0.612,0.433,1.514,2.236
2.245,2.227,1.464,2.09,0.609,1.366,0.424,0.356,0.304,0.841,0.87,1.966,0.63,0.459,1.528,2.226
1.929,2.036,1.578,1.927,0.499,1.103,0.34,0.328,0.23,0.762,0.793,1.878,0.61,0.416,1.408,2.127
1.478,1.613,1.219,2.156,0.389,0.881,0.293,0.268,0.176,1.455,0.77,1.59,0.545,0.363,1.905,2.616
1.019,1.091,0.818,1.103,0.265,0.612,0.21,0.17,0.127,0.421,0.464,1.432,1.028,0.26,0.803,1.305
0.635,0.627,0.457,0.646,0.156,0.386,0.124,0.102,0.08,0.234,0.273,0.67,0.224,0.15,0.445,0.736
0.302,0.278,0.19,0.294,0.072,0.171,0.054,0.044,0.037,0.102,0.111,0.299,0.094,0.064,0.201,0.324
1.313,0.877,0.442,0.852,0.266,0.634,0.175,0.137,0.179,0.367,0.338,0.842,0.249,0.187,0.595,0.936
1.565,1.123,0.546,1.012,0.344,0.798,0.223,0.172,0.228,0.476,0.437,1.029,0.316,0.236,0.772,1.148
1.663,1.263,0.691,1.182,0.385,0.923,0.258,0.198,0.252,0.569,1.3,3.765,0.804,0.958,0.976,1.332
1.765,1.371,0.807,1.812,0.402,0.94,0.276,0.219,0.217,0.588,0.904,2.538,0.402,0.295,3.48,5.196
1.674,1.403,0.859,1.584,0.39,0.938,0.283,0.225,0.208,0.61,0.553,1.625,0.418,0.293,3.355,6.484
1.351,1.264,0.837,1.311,0.344,0.799,0.259,0.206,0.167,0.545,2.213,2.911,0.396,1.272,1.809,2.657
1.152,1.059,0.749,1.07,0.28,0.68,0.207,0.174,0.14,0.436,0.435,1.066,0.349,0.24,0.783,1.154
0.889,0.844,0.609,0.865,0.232,0.532,0.165,0.142,0.115,0.324,0.35,0.851,0.289,0.188,0.618,0.973
0.73,0.66,0.469,0.706,0.179,0.417,0.125,0.108,0.097,0.238,0.278,0.697,0.223,0.147,0.482,0.773
0.583,0.515,0.358,0.538,0.139,0.328,0.1,0.08,0.08,0.18,0.207,0.526,0.166,0.113,0.373,0.594
1.973,1.217,0.473,1.021,0.39,0.907,0.253,0.184,0.277,0.527,0.45,1.07,0.317,0.242,0.838,1.161
2.582,1.753,0.748,1.528,0.549,1.3,0.359,0.277,0.366,0.712,0.686,1.582,0.467,0.338,1.205,1.678
2.704,2.097,1.02,1.915,0.624,1.474,0.401,0.336,0.38,0.832,0.79,1.847,0.582,0.424,1.415,2.095
2.438,2.226,1.293,2.017,0.639,1.429,0.429,0.363,0.345,0.901,0.839,1.961,0.64,0.441,1.546,2.225
2.169,2.171,1.532,2.072,0.601,1.327,0.399,0.336,0.278,0.871,0.861,1.936,0.627,0.438,1.568,2.276
1.784,3.436,3.16,2.403,0.494,1.057,0.345,0.304,0.212,0.755,0.747,1.813,0.621,0.422,1.421,2.049
1.349,1.453,1.156,1.574,0.357,1.467,0.273,0.229,0.156,0.572,1.177,1.51,0.547,0.323,1.092,2.456
0.935,0.949,0.716,0.964,0.225,0.568,0.185,0.148,0.113,0.354,0.377,1.048,0.404,0.225,0.683,1.116
0.56,0.525,0.382,0.545,0.137,0.329,0.111,0.085,0.072,0.205,0.218,0.585,0.199,0.122,0.379,0.64
0.235,0.216,0.153,0.225,0.058,0.133,0.043,0.036,0.03,0.076,0.089,0.227,0.073,0.047,0.152,0.257
0.312,0.21,0.083,0.188,0.068,0.158,0.049,0.035,0.045,0.08,0.076,0.191,0.053,0.045,0.139,0.217
2.235,1.351,0.531,1.313,0.493,1.203,0.322,0.251,0.356,0.535,0.507,1.275,0.395,0.287,0.989,1.492
2.952,2.374,1.0,2.136,0.836,1.83,0.511,0.392,0.48,0.706,0.885,2.074,0.677,0.416,1.592,2.303
2.948,2.614,1.684,2.843,0.98,2.093,0.654,0.488,0.342,0.764,1.175,2.811,0.792,0.592,2.001,3.418
2.52,2.698,2.279,3.243,0.915,1.702,0.592,0.503,0.241,0.634,1.171,2.597,0.823,0.702,1.97,3.548
1.635,2.499,2.587,2.886,0.522,0.952,0.37,0.45,0.145,0.659,0.892,2.189,0.863,0.432,1.657,2.819
0.927,1.319,1.363,1.825,0.227,0.584,0.248,0.233,0.082,0.531,0.589,1.522,0.527,0.336,1.096,1.878
0.268,0.254,0.185,0.271,0.067,0.217,0.081,0.044,0.035,0.095,0.135,0.382,0.122,0.079,0.182,0.4
0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.002,0.002
0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.002,0.002
