HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,1.04,1.70,0.43,0.91,0.24,0.74,0.32,0.38,0.17,0.21,0.46,1.03,0.86,0.94,0.51,0.28
1881.5,1.63,2.45,0.71,1.41,0.36,1.09,0.51,0.62,0.28,0.33,0.68,1.55,1.20,1.43,0.34,0.41
1882.5,2.00,2.65,0.93,1.74,0.39,1.36,0.62,0.74,0.32,0.42,0.82,1.92,1.41,1.81,0.39,0.56
1883.5,2.24,2.48,1.22,1.95,0.34,1.51,0.66,0.83,0.35,0.43,0.90,2.24,1.45,1.93,0.42,0.61
1884.5,2.23,2.25,1.46,2.09,0.30,1.53,0.61,0.87,0.36,0.46,0.84,2.23,1.37,1.97,0.42,0.63
1885.5,2.04,1.93,1.58,1.93,0.23,1.41,0.50,0.79,0.33,0.42,0.76,2.13,1.10,1.88,0.34,0.61
1886.5,1.61,1.48,1.22,2.16,0.18,1.91,0.39,0.77,0.27,0.36,1.46,2.62,0.88,1.59,0.29,0.55
1887.5,1.09,1.02,0.82,1.10,0.13,0.80,0.27,0.46,0.17,0.26,0.42,1.30,0.61,1.43,0.21,1.03
1888.5,0.63,0.64,0.46,0.65,0.08,0.45,0.16,0.27,0.10,0.15,0.23,0.74,0.39,0.67,0.12,0.22
1889.5,0.28,0.30,0.19,0.29,0.04,0.20,0.07,0.11,0.04,0.06,0.10,0.32,0.17,0.30,0.05,0.09
4112.5,0.88,1.31,0.44,0.85,0.18,0.59,0.27,0.34,0.14,0.19,0.37,0.94,0.63,0.84,0.17,0.25
4113.5,1.12,1.56,0.55,1.01,0.23,0.77,0.34,0.44,0.17,0.24,0.48,1.15,0.80,1.03,0.22,0.32
4114.5,1.26,1.66,0.69,1.18,0.25,0.98,0.39,1.30,0.20,0.96,0.57,1.33,0.92,3.77,0.26,0.80
4115.5,1.37,1.76,0.81,1.81,0.22,3.48,0.40,0.90,0.22,0.29,0.59,5.20,0.94,2.54,0.28,0.40
4116.5,1.40,1.67,0.86,1.58,0.21,3.35,0.39,0.55,0.23,0.29,0.61,6.48,0.94,1.62,0.28,0.42
4117.5,1.26,1.35,0.84,1.31,0.17,1.81,0.34,2.21,0.21,1.27,0.55,2.66,0.80,2.91,0.26,0.40
4118.5,1.06,1.15,0.75,1.07,0.14,0.78,0.28,0.43,0.17,0.24,0.44,1.15,0.68,1.07,0.21,0.35
4119.5,0.84,0.89,0.61,0.86,0.12,0.62,0.23,0.35,0.14,0.19,0.32,0.97,0.53,0.85,0.17,0.29
4120.5,0.66,0.73,0.47,0.71,0.10,0.48,0.18,0.28,0.11,0.15,0.24,0.77,0.42,0.70,0.12,0.22
4121.5,0.52,0.58,0.36,0.54,0.08,0.37,0.14,0.21,0.08,0.11,0.18,0.59,0.33,0.53,0.10,0.17
6368.5,1.22,1.97,0.47,1.02,0.28,0.84,0.39,0.45,0.18,0.24,0.53,1.16,0.91,1.07,0.25,0.32
6369.5,1.75,2.58,0.75,1.53,0.37,1.21,0.55,0.69,0.28,0.34,0.71,1.68,1.30,1.58,0.36,0.47
6370.5,2.10,2.70,1.02,1.92,0.38,1.42,0.62,0.79,0.34,0.42,0.83,2.10,1.47,1.85,0.40,0.58
6371.5,2.23,2.44,1.29,2.02,0.34,1.55,0.64,0.84,0.36,0.44,0.90,2.23,1.43,1.96,0.43,0.64
6372.5,2.17,2.17,1.53,2.07,0.28,1.57,0.60,0.86,0.34,0.44,0.87,2.28,1.33,1.94,0.40,0.63
6373.5,3.44,1.78,3.16,2.40,0.21,1.42,0.49,0.75,0.30,0.42,0.76,2.05,1.06,1.81,0.34,0.62
6374.5,1.45,1.35,1.16,1.57,0.16,1.09,0.36,1.18,0.23,0.32,0.57,2.46,1.47,1.51,0.27,0.55
6375.5,0.95,0.94,0.72,0.96,0.11,0.68,0.23,0.38,0.15,0.23,0.35,1.12,0.57,1.05,0.18,0.40
6376.5,0.53,0.56,0.38,0.55,0.07,0.38,0.14,0.22,0.09,0.12,0.20,0.64,0.33,0.58,0.11,0.20
6377.5,0.22,0.23,0.15,0.23,0.03,0.15,0.06,0.09,0.04,0.05,0.08,0.26,0.13,0.23,0.04,0.07
8528.5,0.21,0.31,0.08,0.19,0.04,0.14,0.07,0.08,0.04,0.04,0.08,0.22,0.16,0.19,0.05,0.05
8529.5,1.35,2.23,0.53,1.31,0.36,0.99,0.49,0.51,0.25,0.29,0.54,1.49,1.20,1.27,0.32,0.40
8530.5,2.37,2.95,1.00,2.14,0.48,1.59,0.84,0.89,0.39,0.42,0.71,2.30,1.83,2.07,0.51,0.68
8531.5,2.61,2.95,1.68,2.84,0.34,2.00,0.98,1.18,0.49,0.59,0.76,3.42,2.09,2.81,0.65,0.79
8532.5,2.70,2.52,2.28,3.24,0.24,1.97,0.92,1.17,0.50,0.70,0.63,3.55,1.70,2.60,0.59,0.82
8533.5,2.50,1.64,2.59,2.89,0.14,1.66,0.52,0.89,0.45,0.43,0.66,2.82,0.95,2.19,0.37,0.86
8534.5,1.32,0.93,1.36,1.82,0.08,1.10,0.23,0.59,0.23,0.34,0.53,1.88,0.58,1.52,0.25,0.53
8535.5,0.25,0.27,0.18,0.27,0.04,0.18,0.07,0.14,0.04,0.08,0.10,0.40,0.22,0.38,0.08,0.12
8536.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
