HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5,0.49,0.85,0.14,0.36,0.12,0.32,0.15,0.17,0.07,0.10,0.18,0.43,0.31,0.35,0.06,0.07
9.5,1.35,2.01,0.49,1.08,0.30,0.91,0.42,0.50,0.21,0.27,0.48,1.27,0.89,1.04,0.19,0.23
10.5,1.28,1.49,0.65,1.01,0.21,0.88,0.35,0.49,0.19,0.26,0.45,1.18,0.75,0.99,0.19,0.27
11.5,1.31,1.41,0.75,1.01,0.18,0.91,0.33,0.51,0.19,0.27,0.48,1.16,0.70,1.00,0.20,0.29
12.5,1.36,1.39,0.83,1.07,0.17,0.94,0.34,0.53,0.19,0.28,0.48,1.21,0.69,1.03,0.20,0.31
13.5,1.36,1.28,0.99,1.16,0.15,0.94,0.29,0.52,0.19,0.28,0.45,1.26,0.62,1.04,0.18,0.30
14.5,1.15,1.02,0.98,1.16,0.11,0.85,0.22,0.50,0.16,0.26,0.39,1.30,0.60,1.05,0.16,0.27
15.5,0.54,0.54,0.38,0.53,0.06,0.43,0.12,0.28,0.08,0.16,0.21,0.75,0.38,0.72,0.10,0.17
16.5,0.04,0.05,0.03,0.04,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.04,0.02,0.04,0.01,0.01
17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,0.49,0.85,0.14,0.36,0.12,0.32,0.15,0.17,0.07,0.10,0.18,0.43,0.31,0.35,0.06,0.07
33.5,1.35,2.01,0.49,1.08,0.31,0.91,0.42,0.50,0.21,0.27,0.48,1.27,0.89,1.04,0.19,0.23
34.5,1.28,1.49,0.65,1.01,0.21,0.88,0.35,0.49,0.19,0.26,0.45,1.18,0.75,0.99,0.19,0.27
35.5,1.31,1.41,0.75,1.01,0.18,0.91,0.33,0.51,0.19,0.27,0.48,1.16,0.70,0.99,0.20,0.29
36.5,1.36,1.40,0.83,1.07,0.17,0.94,0.34,0.53,0.19,0.28,0.49,1.21,0.69,1.03,0.20,0.31
37.5,1.37,1.28,0.99,1.17,0.15,0.95,0.30,0.52,0.19,0.28,0.45,1.26,0.63,1.04,0.18,0.30
38.5,1.16,1.03,0.98,1.17,0.11,0.86,0.23,0.50,0.16,0.26,0.39,1.30,0.61,1.06,0.16,0.28
39.5,0.55,0.55,0.39,0.54,0.06,0.43,0.12,0.29,0.08,0.17,0.21,0.77,0.39,0.73,0.10,0.18
40.5,0.05,0.05,0.03,0.04,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.05,0.03,0.04,0.01,0.01
41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
