HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,0.39,0.52,0.18,0.26,0.06,0.26,0.09,0.14,0.05,0.07,0.13,0.30,0.19,0.26,0.05,0.07
1881.5,0.62,0.76,0.30,0.42,0.10,0.41,0.15,0.23,0.08,0.12,0.22,0.48,0.31,0.42,0.08,0.11
1882.5,0.77,0.85,0.40,0.52,0.11,0.52,0.18,0.28,0.10,0.15,0.26,0.60,0.37,0.52,0.10,0.14
1883.5,0.87,0.89,0.48,0.59,0.11,0.58,0.20,0.32,0.11,0.17,0.29,0.68,0.41,0.58,0.11,0.16
1884.5,0.89,0.88,0.51,0.60,0.11,0.60,0.20,0.33,0.11,0.17,0.29,0.69,0.40,0.59,0.11,0.17
1885.5,0.84,0.81,0.50,0.58,0.10,0.57,0.18,0.31,0.11,0.16,0.28,0.67,0.38,0.56,0.11,0.16
1886.5,0.67,0.65,0.40,0.47,0.08,0.46,0.14,0.25,0.09,0.13,0.22,0.55,0.31,0.47,0.09,0.14
1887.5,0.47,0.47,0.28,0.33,0.06,0.32,0.10,0.18,0.06,0.09,0.15,0.39,0.22,0.34,0.06,0.10
1888.5,0.26,0.26,0.15,0.19,0.03,0.18,0.06,0.10,0.03,0.05,0.08,0.22,0.12,0.18,0.03,0.05
1889.5,0.11,0.11,0.06,0.08,0.01,0.07,0.02,0.04,0.01,0.02,0.04,0.09,0.05,0.08,0.01,0.02
4112.5,0.46,0.46,0.23,0.26,0.05,0.29,0.09,0.16,0.05,0.08,0.12,0.31,0.18,0.25,0.05,0.07
4113.5,0.62,0.61,0.32,0.35,0.07,0.40,0.12,0.21,0.07,0.11,0.17,0.41,0.24,0.35,0.06,0.09
4114.5,0.75,0.71,0.40,0.42,0.08,0.48,0.15,0.26,0.08,0.13,0.21,0.50,0.29,0.42,0.08,0.12
4115.5,0.84,0.77,0.45,0.48,0.09,0.54,0.16,0.29,0.09,0.15,0.23,0.56,0.32,0.47,0.09,0.13
4116.5,0.86,0.78,0.47,0.48,0.09,0.55,0.17,0.29,0.09,0.15,0.23,0.57,0.32,0.47,0.09,0.13
4117.5,0.80,0.71,0.44,0.45,0.08,0.51,0.15,0.27,0.09,0.14,0.22,0.53,0.30,0.44,0.08,0.13
4118.5,0.67,0.59,0.36,0.37,0.07,0.42,0.13,0.23,0.07,0.12,0.17,0.44,0.25,0.37,0.07,0.10
4119.5,0.52,0.46,0.28,0.29,0.05,0.33,0.10,0.18,0.06,0.09,0.13,0.35,0.19,0.29,0.05,0.08
4120.5,0.37,0.34,0.20,0.21,0.04,0.24,0.07,0.13,0.04,0.07,0.10,0.25,0.14,0.21,0.04,0.06
4121.5,0.24,0.23,0.13,0.15,0.03,0.15,0.05,0.08,0.03,0.04,0.06,0.17,0.09,0.14,0.02,0.04
6368.5,0.43,0.56,0.20,0.29,0.07,0.29,0.10,0.16,0.05,0.08,0.15,0.33,0.21,0.29,0.05,0.08
6369.5,0.63,0.75,0.31,0.42,0.10,0.42,0.15,0.23,0.08,0.12,0.22,0.49,0.32,0.43,0.08,0.12
6370.5,0.77,0.82,0.41,0.52,0.10,0.51,0.18,0.28,0.10,0.15,0.26,0.60,0.37,0.51,0.10,0.14
6371.5,0.85,0.86,0.47,0.57,0.11,0.57,0.19,0.31,0.11,0.16,0.28,0.66,0.39,0.56,0.11,0.16
6372.5,0.84,0.81,0.48,0.57,0.10,0.56,0.18,0.30,0.10,0.16,0.27,0.65,0.37,0.55,0.10,0.15
6373.5,0.76,0.73,0.45,0.53,0.09,0.51,0.16,0.28,0.10,0.15,0.25,0.61,0.35,0.51,0.10,0.15
6374.5,0.60,0.58,0.36,0.42,0.07,0.41,0.13,0.23,0.08,0.12,0.19,0.49,0.27,0.42,0.08,0.12
6375.5,0.41,0.40,0.24,0.28,0.05,0.27,0.09,0.15,0.05,0.08,0.13,0.33,0.19,0.29,0.05,0.08
6376.5,0.22,0.22,0.13,0.15,0.03,0.15,0.05,0.08,0.03,0.04,0.07,0.18,0.10,0.15,0.03,0.04
6377.5,0.08,0.08,0.05,0.06,0.01,0.05,0.02,0.03,0.01,0.02,0.02,0.07,0.04,0.06,0.01,0.02
8528.5,0.06,0.07,0.03,0.04,0.01,0.04,0.01,0.02,0.01,0.01,0.02,0.04,0.03,0.04,0.01,0.01
8529.5,0.30,0.38,0.14,0.23,0.05,0.20,0.08,0.11,0.04,0.06,0.10,0.26,0.17,0.22,0.04,0.05
8530.5,0.42,0.48,0.22,0.32,0.06,0.29,0.11,0.16,0.06,0.08,0.14,0.37,0.22,0.31,0.06,0.08
8531.5,0.49,0.52,0.29,0.38,0.06,0.34,0.12,0.19,0.07,0.10,0.16,0.44,0.25,0.36,0.06,0.10
8532.5,0.50,0.50,0.31,0.40,0.06,0.34,0.11,0.19,0.07,0.10,0.16,0.45,0.24,0.37,0.06,0.10
8533.5,0.44,0.43,0.31,0.37,0.05,0.31,0.09,0.17,0.06,0.09,0.14,0.41,0.21,0.33,0.06,0.09
8534.5,0.31,0.30,0.23,0.27,0.03,0.22,0.06,0.13,0.04,0.07,0.10,0.31,0.15,0.25,0.04,0.07
8535.5,0.09,0.09,0.06,0.07,0.01,0.06,0.02,0.04,0.01,0.02,0.03,0.08,0.04,0.07,0.01,0.02
8536.5,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
