HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5,0.06,0.07,0.03,0.04,0.01,0.04,0.01,0.02,0.01,0.01,0.02,0.05,0.03,0.04,0.01,0.01
9.5,0.31,0.40,0.14,0.24,0.06,0.21,0.08,0.11,0.04,0.06,0.10,0.27,0.17,0.22,0.04,0.05
10.5,0.44,0.50,0.23,0.34,0.07,0.30,0.11,0.17,0.06,0.09,0.14,0.39,0.23,0.32,0.06,0.08
11.5,0.52,0.55,0.30,0.40,0.07,0.35,0.12,0.20,0.07,0.10,0.17,0.46,0.26,0.38,0.07,0.10
12.5,0.54,0.54,0.33,0.42,0.07,0.37,0.12,0.20,0.07,0.11,0.17,0.48,0.26,0.40,0.07,0.11
13.5,0.49,0.47,0.33,0.40,0.05,0.33,0.10,0.18,0.06,0.10,0.15,0.44,0.22,0.36,0.06,0.10
14.5,0.35,0.33,0.25,0.31,0.04,0.25,0.07,0.14,0.05,0.07,0.11,0.34,0.17,0.28,0.04,0.07
15.5,0.17,0.17,0.11,0.14,0.02,0.12,0.04,0.07,0.02,0.04,0.05,0.17,0.09,0.15,0.02,0.04
16.5,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00
17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,0.06,0.07,0.03,0.04,0.01,0.04,0.01,0.02,0.01,0.01,0.02,0.05,0.03,0.04,0.01,0.01
33.5,0.31,0.41,0.14,0.24,0.06,0.21,0.08,0.12,0.04,0.06,0.10,0.28,0.18,0.23,0.04,0.05
34.5,0.44,0.51,0.23,0.34,0.07,0.30,0.11,0.17,0.06,0.09,0.14,0.39,0.24,0.33,0.06,0.08
35.5,0.53,0.56,0.30,0.41,0.07,0.36,0.13,0.20,0.07,0.10,0.17,0.46,0.26,0.38,0.07,0.10
36.5,0.54,0.55,0.33,0.43,0.07,0.37,0.13,0.21,0.07,0.11,0.18,0.48,0.26,0.40,0.07,0.11
37.5,0.49,0.47,0.34,0.40,0.05,0.34,0.11,0.19,0.06,0.10,0.15,0.45,0.23,0.37,0.06,0.10
38.5,0.36,0.34,0.26,0.31,0.04,0.25,0.07,0.14,0.05,0.08,0.11,0.35,0.17,0.29,0.05,0.08
39.5,0.17,0.17,0.11,0.14,0.02,0.12,0.04,0.07,0.02,0.04,0.06,0.17,0.09,0.15,0.02,0.04
40.5,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00
41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
