HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1879.533,0.103,0.209,0.029,0.073,0.028,0.070,0.030,0.037,0.015,0.020,0.048,0.083,0.074,0.083,0.019,0.021
1879.567,0.205,0.417,0.057,0.145,0.057,0.140,0.060,0.074,0.029,0.041,0.095,0.166,0.148,0.165,0.038,0.043
1879.600,0.308,0.626,0.086,0.218,0.085,0.210,0.090,0.111,0.044,0.061,0.143,0.249,0.222,0.248,0.057,0.064
1879.633,0.411,0.835,0.115,0.291,0.113,0.280,0.120,0.148,0.059,0.081,0.191,0.332,0.296,0.331,0.076,0.085
1879.667,0.513,1.043,0.143,0.363,0.142,0.350,0.150,0.185,0.073,0.102,0.238,0.415,0.370,0.413,0.095,0.107
1879.700,0.616,1.252,0.172,0.436,0.170,0.420,0.180,0.222,0.088,0.122,0.286,0.498,0.444,0.496,0.114,0.128
1879.733,0.719,1.461,0.201,0.509,0.198,0.490,0.210,0.259,0.103,0.142,0.334,0.581,0.518,0.579,0.133,0.149
1879.767,0.821,1.669,0.229,0.581,0.227,0.560,0.240,0.296,0.117,0.163,0.381,0.664,0.592,0.661,0.152,0.171
1879.800,0.924,1.878,0.258,0.654,0.255,0.630,0.270,0.333,0.132,0.183,0.429,0.747,0.666,0.744,0.171,0.192
1879.833,1.027,2.087,0.287,0.727,0.283,0.700,0.300,0.370,0.147,0.203,0.477,0.830,0.740,0.827,0.190,0.213
1879.867,1.129,2.295,0.315,0.799,0.312,0.770,0.330,0.407,0.161,0.224,0.524,0.913,0.814,0.909,0.209,0.235
1879.900,1.232,2.504,0.344,0.872,0.340,0.840,0.360,0.444,0.176,0.244,0.572,0.996,0.888,0.992,0.228,0.256
1879.933,1.335,2.713,0.373,0.945,0.368,0.910,0.390,0.481,0.191,0.264,0.620,1.079,0.962,1.075,0.247,0.277
1879.967,1.437,2.921,0.401,1.017,0.397,0.980,0.420,0.518,0.205,0.285,0.667,1.162,1.036,1.157,0.266,0.299
1880.000,1.540,3.130,0.430,1.090,0.425,1.050,0.450,0.555,0.220,0.305,0.715,1.245,1.110,1.240,0.285,0.320
1880.033,1.643,3.339,0.459,1.163,0.453,1.120,0.480,0.592,0.235,0.325,0.763,1.328,1.184,1.323,0.304,0.341
1880.067,1.745,3.547,0.487,1.235,0.482,1.190,0.510,0.629,0.249,0.346,0.810,1.411,1.258,1.405,0.323,0.363
1880.100,1.848,3.756,0.516,1.308,0.510,1.260,0.540,0.666,0.264,0.366,0.858,1.494,1.332,1.488,0.342,0.384
1880.133,1.951,3.965,0.545,1.381,0.538,1.330,0.570,0.703,0.279,0.386,0.906,1.577,1.406,1.571,0.361,0.405
1880.167,2.053,4.173,0.573,1.453,0.567,1.400,0.600,0.740,0.293,0.407,0.953,1.660,1.480,1.653,0.380,0.427
1880.200,2.156,4.382,0.602,1.526,0.595,1.470,0.630,0.777,0.308,0.427,1.001,1.743,1.554,1.736,0.399,0.448
1880.233,2.259,4.591,0.631,1.599,0.623,1.540,0.660,0.814,0.323,0.447,1.049,1.826,1.628,1.819,0.418,0.469
1880.267,2.361,4.799,0.659,1.671,0.652,1.610,0.690,0.851,0.337,0.468,1.096,1.909,1.702,1.901,0.437,0.491
