HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,1.73,3.14,0.59,1.32,0.43,1.18,0.51,0.63,0.25,0.34,0.73,1.51,1.20,1.41,0.31,0.37
1881.5,2.75,4.52,0.96,2.12,0.66,1.91,0.85,1.04,0.42,0.56,1.21,2.47,2.00,2.28,0.53,0.62
1882.5,3.21,4.41,1.36,2.54,0.67,2.26,0.99,1.24,0.50,0.66,1.40,2.97,2.26,2.68,0.61,0.77
1883.5,3.38,3.77,1.77,2.77,0.53,2.37,0.99,1.31,0.53,0.70,1.41,3.15,2.18,2.76,0.61,0.84
1884.5,3.41,3.24,2.19,2.90,0.40,2.36,0.93,1.31,0.53,0.70,1.36,3.19,1.99,2.75,0.58,0.87
1885.5,3.26,2.69,2.60,3.05,0.29,2.28,0.81,1.28,0.53,0.69,1.23,3.25,1.70,2.73,0.54,0.91
1886.5,2.26,1.95,1.77,2.23,0.22,1.66,0.52,0.99,0.38,0.55,0.86,2.59,1.16,2.27,0.40,0.77
1887.5,1.39,1.32,1.00,1.31,0.16,1.00,0.32,0.61,0.21,0.36,0.48,1.64,0.76,1.57,0.26,0.54
1888.5,0.81,0.81,0.56,0.76,0.10,0.58,0.19,0.33,0.12,0.18,0.27,0.89,0.44,0.78,0.13,0.25
1889.5,0.36,0.38,0.24,0.34,0.05,0.25,0.09,0.15,0.06,0.08,0.12,0.39,0.20,0.34,0.06,0.10
4112.5,1.38,1.75,0.72,1.08,0.23,0.95,0.36,0.52,0.20,0.28,0.46,1.25,0.77,1.06,0.20,0.29
4113.5,1.75,2.13,0.92,1.35,0.28,1.21,0.46,0.67,0.25,0.35,0.61,1.56,0.98,1.33,0.26,0.37
4114.5,2.04,2.33,1.12,1.56,0.30,1.40,0.52,0.78,0.29,0.41,0.71,1.80,1.11,1.54,0.31,0.44
4115.5,2.21,2.38,1.28,1.70,0.30,1.52,0.55,0.85,0.31,0.45,0.75,1.96,1.16,1.66,0.32,0.48
4116.5,2.22,2.30,1.34,1.73,0.29,1.53,0.54,0.85,0.31,0.45,0.75,1.98,1.13,1.66,0.32,0.49
4117.5,2.05,2.05,1.29,1.61,0.25,1.41,0.49,0.79,0.29,0.42,0.69,1.85,1.03,1.56,0.30,0.47
4118.5,1.72,1.72,1.11,1.39,0.21,1.19,0.41,0.67,0.25,0.36,0.56,1.60,0.85,1.35,0.25,0.40
4119.5,1.37,1.39,0.89,1.13,0.17,0.95,0.33,0.54,0.20,0.29,0.44,1.31,0.69,1.10,0.20,0.33
4120.5,1.04,1.08,0.67,0.89,0.13,0.72,0.25,0.41,0.15,0.22,0.32,1.03,0.53,0.86,0.15,0.25
4121.5,0.75,0.80,0.48,0.66,0.10,0.52,0.19,0.30,0.11,0.16,0.23,0.76,0.40,0.63,0.11,0.18
6368.5,1.90,3.35,0.67,1.46,0.46,1.30,0.56,0.70,0.28,0.38,0.79,1.68,1.32,1.55,0.34,0.41
6369.5,2.67,4.09,1.03,2.08,0.60,1.86,0.82,1.02,0.41,0.54,1.16,2.43,1.88,2.21,0.50,0.61
6370.5,3.07,3.89,1.44,2.49,0.58,2.15,0.92,1.19,0.48,0.63,1.26,2.88,2.06,2.54,0.56,0.74
6371.5,3.32,3.60,1.83,2.76,0.50,2.32,0.96,1.29,0.52,0.68,1.36,3.12,2.09,2.72,0.59,0.83
6372.5,3.06,2.87,2.07,2.66,0.35,2.12,0.80,1.18,0.48,0.63,1.17,2.91,1.71,2.49,0.51,0.78
6373.5,2.71,2.35,2.08,2.56,0.26,1.92,0.65,1.09,0.44,0.59,1.00,2.79,1.39,2.35,0.44,0.76
6374.5,1.95,1.74,1.48,1.89,0.20,1.42,0.45,0.87,0.32,0.49,0.72,2.29,1.02,2.06,0.35,0.69
6375.5,1.22,1.18,0.87,1.15,0.14,0.88,0.28,0.52,0.19,0.30,0.42,1.39,0.67,1.30,0.22,0.44
6376.5,0.69,0.70,0.48,0.65,0.09,0.49,0.17,0.29,0.11,0.16,0.23,0.76,0.38,0.66,0.11,0.20
6377.5,0.27,0.29,0.19,0.27,0.04,0.20,0.07,0.11,0.04,0.06,0.09,0.31,0.16,0.26,0.05,0.08
8528.5,0.24,0.34,0.11,0.20,0.05,0.16,0.07,0.09,0.04,0.05,0.08,0.23,0.16,0.20,0.04,0.05
8529.5,1.64,2.46,0.62,1.44,0.38,1.12,0.54,0.62,0.27,0.33,0.58,1.66,1.21,1.41,0.31,0.37
8530.5,2.61,3.32,1.17,2.38,0.53,1.82,0.87,1.01,0.43,0.53,0.86,2.75,1.93,2.31,0.51,0.66
8531.5,3.19,3.34,1.81,3.08,0.47,2.24,1.04,1.25,0.54,0.65,0.97,3.46,2.18,2.85,0.59,0.87
8532.5,3.20,2.67,2.48,3.31,0.30,2.23,0.92,1.24,0.55,0.65,0.89,3.54,1.74,2.84,0.52,0.90
8533.5,2.68,1.88,2.66,3.02,0.18,1.86,0.58,1.03,0.45,0.55,0.73,3.07,1.12,2.41,0.38,0.77
8534.5,1.48,1.11,1.46,1.81,0.11,1.13,0.29,0.68,0.25,0.36,0.47,2.05,0.72,1.64,0.24,0.51
8535.5,0.33,0.33,0.24,0.34,0.04,0.25,0.08,0.15,0.05,0.09,0.11,0.43,0.21,0.39,0.06,0.11
8536.5,0.03,0.03,0.02,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.01,0.03,0.01,0.02,0.00,0.01
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
