HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1879.52,0.16,0.42,0.02,0.11,0.05,0.12,0.05,0.06,0.02,0.03,0.10,0.12,0.13,0.14,0.03,0.04
1879.53,0.31,0.84,0.05,0.21,0.10,0.23,0.10,0.13,0.04,0.07,0.19,0.24,0.25,0.28,0.06,0.07
1879.55,0.47,1.26,0.07,0.32,0.16,0.35,0.15,0.19,0.07,0.10,0.29,0.37,0.38,0.43,0.09,0.11
1879.57,0.63,1.68,0.10,0.42,0.21,0.47,0.19,0.25,0.09,0.14,0.39,0.49,0.50,0.57,0.12,0.14
1879.58,0.79,2.10,0.12,0.53,0.26,0.58,0.24,0.32,0.11,0.17,0.49,0.61,0.63,0.71,0.15,0.18
1879.60,0.94,2.51,0.15,0.64,0.31,0.70,0.29,0.38,0.13,0.20,0.58,0.73,0.75,0.85,0.19,0.21
1879.62,1.10,2.93,0.17,0.74,0.36,0.82,0.34,0.44,0.15,0.24,0.68,0.86,0.88,1.00,0.22,0.25
1879.63,1.26,3.35,0.20,0.85,0.42,0.94,0.39,0.50,0.17,0.27,0.78,0.98,1.01,1.14,0.25,0.28
1879.65,1.42,3.77,0.22,0.96,0.47,1.05,0.44,0.57,0.20,0.31,0.88,1.10,1.13,1.28,0.28,0.32
1879.67,1.57,4.19,0.25,1.06,0.52,1.17,0.49,0.63,0.22,0.34,0.97,1.22,1.26,1.42,0.31,0.35
1879.68,1.73,4.61,0.27,1.17,0.57,1.29,0.53,0.69,0.24,0.37,1.07,1.34,1.38,1.56,0.34,0.39
1879.70,1.89,5.03,0.30,1.27,0.62,1.40,0.58,0.76,0.26,0.41,1.17,1.47,1.51,1.71,0.37,0.42
1879.72,2.05,5.45,0.32,1.38,0.68,1.52,0.63,0.82,0.28,0.44,1.27,1.59,1.63,1.85,0.40,0.46
1879.73,2.20,5.87,0.35,1.49,0.73,1.64,0.68,0.88,0.30,0.48,1.36,1.71,1.76,1.99,0.43,0.49
1879.75,2.36,6.29,0.37,1.59,0.78,1.75,0.73,0.94,0.33,0.51,1.46,1.83,1.89,2.13,0.47,0.53
