HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5,4.22,8.88,0.61,3.23,1.37,2.77,1.48,1.51,0.69,0.83,1.84,3.79,3.45,3.43,0.82,0.79
9.5,13.57,25.40,2.58,11.10,4.29,9.31,5.05,5.13,2.27,2.72,5.77,13.35,12.02,11.94,3.02,2.99
10.5,19.05,27.28,5.97,16.89,4.99,13.80,7.44,7.70,3.35,3.95,7.39,20.33,17.58,17.86,4.76,5.37
11.5,21.76,23.43,10.22,20.78,3.68,15.64,8.34,8.80,3.93,4.62,7.34,23.89,18.21,20.40,4.96,6.60
12.5,22.35,16.69,16.87,23.41,1.64,15.54,7.63,8.75,4.19,4.57,6.26,25.02,13.87,20.09,4.17,6.92
13.5,20.47,9.99,24.54,24.26,0.42,13.75,4.28,7.55,3.80,3.98,5.41,22.94,6.75,17.48,2.83,6.31
14.5,9.62,4.61,12.96,15.25,0.21,8.53,1.11,5.40,1.95,2.92,3.88,17.59,3.68,13.46,1.81,4.58
15.5,1.89,1.45,2.08,3.48,0.12,2.18,0.30,1.90,0.40,1.26,1.16,6.28,2.20,6.83,0.90,2.20
16.5,0.23,0.25,0.17,0.25,0.03,0.19,0.06,0.12,0.04,0.07,0.12,0.34,0.18,0.36,0.06,0.13
17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,4.22,8.88,0.61,3.23,1.37,2.77,1.48,1.50,0.69,0.83,1.84,3.78,3.44,3.43,0.82,0.79
33.5,13.59,25.49,2.57,11.10,4.30,9.32,5.06,5.13,2.28,2.73,5.79,13.36,12.04,11.95,3.03,2.99
34.5,19.10,27.37,5.97,16.92,5.01,13.84,7.46,7.72,3.36,3.96,7.42,20.37,17.63,17.91,4.77,5.39
35.5,21.77,23.47,10.20,20.77,3.69,15.65,8.34,8.80,3.93,4.63,7.36,23.89,18.23,20.41,4.96,6.60
36.5,22.40,16.75,16.87,23.45,1.65,15.57,7.66,8.77,4.20,4.58,6.29,25.07,13.94,20.14,4.18,6.93
37.5,20.54,10.05,24.58,24.32,0.42,13.80,4.31,7.57,3.81,3.99,5.42,23.00,6.81,17.54,2.84,6.33
38.5,9.75,4.66,13.13,15.40,0.21,8.62,1.13,5.44,1.97,2.94,3.91,17.71,3.70,13.55,1.83,4.62
39.5,1.94,1.49,2.14,3.59,0.12,2.24,0.31,1.95,0.41,1.28,1.20,6.44,2.23,6.95,0.92,2.25
40.5,0.24,0.25,0.18,0.26,0.03,0.19,0.06,0.12,0.04,0.08,0.12,0.35,0.18,0.38,0.06,0.13
41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
