HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,4.59,10.93,1.03,3.32,1.39,3.40,1.43,1.85,0.66,1.00,2.72,3.82,3.63,4.18,0.92,1.09
1881.5,8.90,19.80,1.82,6.58,2.90,6.78,3.21,3.76,1.44,2.01,6.31,7.75,8.15,8.55,2.13,2.36
1882.5,12.38,22.94,3.15,9.71,3.70,9.59,4.72,5.38,2.14,2.89,9.82,11.03,11.63,12.05,3.20,3.65
1883.5,14.64,19.58,5.79,12.34,3.20,11.41,5.59,6.44,2.70,3.56,12.48,13.20,13.19,14.18,3.87,4.71
1884.5,15.56,13.94,10.18,13.76,1.62,11.50,5.39,6.53,2.89,3.64,12.85,13.48,12.61,14.17,3.97,5.19
1885.5,12.21,8.27,11.36,12.54,0.64,9.23,3.46,5.40,2.56,3.09,9.54,11.87,9.04,11.73,3.15,4.73
1886.5,5.17,4.06,4.64,6.21,0.37,4.51,1.35,3.22,1.24,2.01,4.27,7.56,4.42,8.06,1.83,3.57
1887.5,2.24,2.26,1.68,2.38,0.26,1.80,0.59,1.28,0.42,0.81,1.31,3.28,1.69,3.77,0.67,1.73
1888.5,1.35,1.49,0.93,1.33,0.18,1.02,0.36,0.62,0.23,0.35,0.67,1.57,0.90,1.53,0.29,0.57
1889.5,0.62,0.74,0.40,0.61,0.09,0.47,0.17,0.28,0.10,0.16,0.31,0.70,0.42,0.67,0.13,0.22
4112.5,2.94,5.16,1.21,2.32,0.63,2.31,0.86,1.31,0.43,0.70,1.65,2.71,2.12,2.75,0.57,0.80
4113.5,4.26,8.90,1.63,3.65,0.99,4.00,1.33,2.39,0.64,1.25,3.21,4.53,3.80,5.17,1.04,1.54
4114.5,5.69,11.04,2.25,4.99,1.31,5.65,1.87,3.47,0.90,1.86,5.17,6.40,5.47,7.47,1.65,2.48
4115.5,6.25,10.23,3.07,5.93,1.18,6.68,2.02,4.28,1.03,2.34,6.24,7.74,6.06,9.04,2.00,3.33
4116.5,6.75,7.91,4.40,6.49,0.83,6.65,2.08,4.16,1.13,2.37,7.01,7.72,6.09,8.63,2.18,3.57
4117.5,5.29,4.99,3.97,5.09,0.50,4.76,1.39,3.22,0.95,1.95,5.21,6.11,4.71,7.03,1.84,3.21
4118.5,3.12,3.21,2.10,2.84,0.37,2.55,0.81,1.71,0.52,1.03,1.97,3.58,2.30,3.90,0.87,1.79
4119.5,2.37,2.52,1.52,2.04,0.31,1.75,0.61,1.04,0.38,0.59,1.17,2.38,1.49,2.32,0.48,0.87
4120.5,1.82,2.05,1.14,1.59,0.25,1.34,0.48,0.78,0.29,0.43,0.85,1.85,1.14,1.73,0.35,0.59
4121.5,1.35,1.60,0.81,1.20,0.21,0.99,0.37,0.57,0.22,0.32,0.63,1.38,0.87,1.28,0.26,0.42
6368.5,5.15,12.02,1.20,3.79,1.56,3.86,1.66,2.12,0.77,1.14,3.17,4.37,4.22,4.79,1.08,1.27
6369.5,9.08,19.43,2.04,6.85,2.89,7.01,3.32,3.91,1.50,2.09,6.68,8.04,8.42,8.86,2.22,2.51
6370.5,12.25,20.68,3.62,9.95,3.38,9.55,4.69,5.37,2.15,2.91,10.01,10.96,11.31,11.97,3.19,3.75
6371.5,13.98,17.34,6.24,11.94,2.73,10.80,5.23,6.11,2.59,3.39,11.75,12.64,12.31,13.44,3.66,4.54
6372.5,13.77,11.51,10.34,12.43,1.20,10.15,4.46,5.77,2.55,3.26,11.57,11.92,10.81,12.51,3.53,4.71
6373.5,9.19,6.64,8.35,10.07,0.55,7.47,2.52,4.56,2.09,2.64,7.84,9.83,7.36,9.98,2.66,4.14
6374.5,3.67,3.30,3.02,4.33,0.35,3.22,0.97,2.46,0.84,1.57,2.84,5.99,3.20,6.55,1.36,2.91
6375.5,2.05,2.14,1.49,2.10,0.26,1.61,0.55,1.06,0.37,0.65,1.14,2.70,1.48,3.00,0.55,1.34
6376.5,1.20,1.35,0.81,1.18,0.17,0.91,0.33,0.55,0.20,0.31,0.60,1.38,0.81,1.33,0.26,0.48
6377.5,0.48,0.58,0.31,0.47,0.07,0.36,0.13,0.21,0.08,0.12,0.22,0.54,0.32,0.51,0.10,0.17
8528.5,0.48,0.75,0.21,0.42,0.11,0.36,0.16,0.20,0.08,0.11,0.27,0.47,0.37,0.45,0.11,0.14
8529.5,3.06,4.97,1.08,2.64,0.77,2.19,1.06,1.23,0.51,0.66,1.47,3.06,2.49,2.81,0.66,0.80
8530.5,5.01,6.97,2.13,4.53,1.10,3.66,1.77,2.06,0.87,1.09,2.31,5.23,4.12,4.72,1.14,1.44
