HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5,0.50,0.81,0.20,0.42,0.12,0.36,0.16,0.20,0.08,0.11,0.27,0.48,0.39,0.46,0.11,0.14
9.5,3.15,5.23,1.06,2.69,0.81,2.25,1.09,1.26,0.53,0.67,1.51,3.13,2.58,2.88,0.68,0.81
10.5,5.32,7.53,2.17,4.79,1.21,3.89,1.90,2.18,0.92,1.15,2.44,5.55,4.45,5.02,1.22,1.52
11.5,6.68,7.73,3.50,6.36,1.13,4.87,2.34,2.75,1.19,1.47,2.86,7.17,5.22,6.33,1.47,2.03
12.5,6.86,6.29,4.91,7.01,0.74,4.92,2.20,2.80,1.25,1.49,2.69,7.55,4.50,6.43,1.36,2.16
13.5,5.72,4.29,5.53,6.36,0.41,4.07,1.42,2.31,1.04,1.25,2.20,6.47,2.88,5.38,1.00,1.87
14.5,3.07,2.46,3.00,3.80,0.25,2.44,0.67,1.49,0.57,0.82,1.40,4.28,1.71,3.62,0.62,1.24
15.5,1.18,1.14,0.99,1.39,0.13,0.95,0.29,0.62,0.21,0.36,0.59,1.73,0.83,1.65,0.28,0.56
16.5,0.09,0.12,0.06,0.09,0.02,0.07,0.03,0.04,0.02,0.02,0.06,0.10,0.07,0.10,0.02,0.03
17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,0.50,0.80,0.20,0.42,0.11,0.36,0.16,0.20,0.08,0.11,0.27,0.48,0.39,0.46,0.11,0.14
33.5,3.19,5.33,1.06,2.73,0.83,2.28,1.11,1.27,0.54,0.68,1.53,3.17,2.62,2.92,0.69,0.82
34.5,5.38,7.61,2.18,4.83,1.23,3.92,1.92,2.20,0.93,1.16,2.46,5.60,4.50,5.07,1.24,1.53
35.5,6.79,7.85,3.54,6.46,1.15,4.94,2.38,2.80,1.20,1.49,2.89,7.28,5.32,6.43,1.49,2.06
36.5,6.97,6.38,4.98,7.12,0.75,5.00,2.24,2.84,1.27,1.52,2.72,7.67,4.57,6.53,1.38,2.19
37.5,5.84,4.35,5.66,6.49,0.41,4.15,1.44,2.35,1.06,1.27,2.22,6.59,2.92,5.48,1.02,1.91
38.5,3.14,2.50,3.09,3.90,0.25,2.50,0.68,1.52,0.58,0.84,1.43,4.38,1.74,3.70,0.63,1.27
39.5,1.19,1.15,1.00,1.40,0.13,0.97,0.30,0.62,0.22,0.36,0.59,1.76,0.84,1.68,0.29,0.57
40.5,0.11,0.13,0.06,0.10,0.02,0.08,0.03,0.05,0.02,0.03,0.06,0.12,0.08,0.12,0.03,0.04
41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
