chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
30.945,10.299,1.333,6.008,3.606,9.97,2.284,1.592,4.104,7.289,3.962,9.719,2.325,2.134,7.442,7.197
40.021,15.2,1.743,11.129,5.933,15.438,3.914,2.562,5.883,12.357,6.4,15.043,4.011,3.414,11.654,11.873
36.66,18.514,3.106,14.827,7.519,18.592,5.024,3.246,6.334,16.719,8.104,18.664,5.685,4.464,14.663,15.284
27.745,20.212,7.197,16.97,8.118,19.296,5.658,3.825,4.81,19.376,8.918,20.055,6.833,4.998,15.992,17.039
17.511,20.977,13.595,19.186,7.712,17.899,5.675,4.078,1.492,19.807,8.741,19.31,7.286,4.986,15.494,16.73
10.942,20.437,23.609,19.167,5.569,14.528,4.997,3.846,0.686,16.337,7.608,16.514,6.933,4.41,13.31,14.821
2.813,2.827,2.251,4.221,0.808,7.397,3.186,0.558,0.32,7.144,5.675,12.484,5.838,3.375,3.866,12.732
2.074,1.894,1.41,2.136,0.552,1.467,0.519,0.363,0.248,1.184,0.96,3.487,4.07,0.562,1.542,2.506
1.508,1.252,0.858,1.349,0.375,0.992,0.332,0.232,0.188,0.763,0.613,1.626,0.609,0.358,1.004,1.59
0.883,0.689,0.441,0.717,0.212,0.539,0.176,0.126,0.115,0.408,0.33,0.841,0.302,0.184,0.546,0.832
3.759,2.026,0.82,1.836,0.68,1.719,0.487,0.339,0.499,1.311,0.926,2.173,0.676,0.503,1.627,2.094
4.434,2.435,0.994,2.255,0.833,2.187,0.624,0.415,0.596,1.679,1.158,2.716,0.859,0.63,2.001,2.552
4.541,2.703,1.236,2.516,0.943,2.448,0.719,0.475,0.609,2.007,2.56,7.515,4.195,1.783,2.379,2.916
4.226,2.803,1.468,3.446,0.949,2.472,0.766,0.492,0.553,2.135,6.794,14.226,5.164,3.695,6.831,9.286
3.577,2.683,1.695,4.525,0.883,2.329,0.744,0.491,0.442,2.067,6.403,13.161,5.456,3.668,7.75,13.427
2.858,2.351,1.577,2.57,0.754,2.028,0.669,0.451,0.354,1.739,5.287,10.187,5.015,3.143,3.492,4.639
2.329,1.932,1.296,2.044,0.598,1.6,0.542,0.367,0.291,1.329,0.967,2.373,0.908,0.552,1.567,2.309
1.991,1.578,1.029,1.657,0.485,1.274,0.42,0.291,0.245,0.996,0.762,1.926,0.722,0.44,1.257,1.892
1.699,1.308,0.83,1.345,0.406,1.035,0.33,0.237,0.217,0.781,0.615,1.535,0.558,0.348,1.022,1.54
1.415,1.06,0.646,1.089,0.335,0.84,0.264,0.193,0.187,0.621,0.491,1.231,0.425,0.275,0.83,1.237
35.86,11.938,1.203,7.049,4.345,11.841,2.88,1.881,4.876,8.861,4.693,11.378,2.743,2.527,8.776,8.381
40.354,16.111,1.808,12.045,6.416,16.48,4.209,2.749,6.237,13.615,6.85,16.002,4.389,3.68,12.464,12.799
34.032,18.741,3.539,15.3,7.713,18.791,5.183,3.372,6.153,17.568,8.264,18.887,5.924,4.584,14.937,15.586
24.53,20.183,8.061,16.993,8.005,18.812,5.635,3.863,4.017,19.714,8.792,19.631,6.867,4.958,15.745,16.832
14.91,20.677,15.625,18.418,7.374,16.967,5.511,4.004,1.269,19.773,8.362,18.329,7.127,4.794,14.822,15.36
9.179,19.698,18.415,19.114,4.721,12.831,4.502,3.678,0.33,14.628,7.026,15.147,6.609,4.106,12.399,14.343
2.053,2.025,1.641,2.325,0.575,5.454,2.561,0.398,0.24,1.266,3.383,11.081,5.366,3.018,1.633,6.865
1.526,1.367,1.103,1.558,0.391,1.055,0.369,0.26,0.18,0.818,0.691,1.855,0.872,0.406,1.109,1.845
1.138,0.922,0.624,0.985,0.275,0.708,0.236,0.168,0.144,0.527,0.445,1.164,0.427,0.256,0.728,1.171
0.605,0.464,0.293,0.476,0.144,0.36,0.116,0.084,0.078,0.264,0.215,0.548,0.193,0.123,0.362,0.552
8.669,4.106,0.528,3.471,1.454,3.684,1.119,0.669,1.351,1.632,1.441,3.57,1.015,0.799,2.636,3.805
22.406,12.403,2.369,10.938,4.807,11.83,3.478,2.149,3.942,5.122,4.815,11.594,3.357,2.485,8.666,12.582
24.13,17.081,5.047,15.767,6.859,16.631,4.766,3.029,4.512,5.865,6.993,16.481,5.077,3.593,12.508,18.744
19.657,19.545,9.296,19.593,7.681,16.822,4.793,3.659,3.321,5.467,7.94,18.477,6.088,4.133,14.106,21.919
13.742,19.903,16.128,22.103,7.154,12.195,3.724,3.85,0.983,3.39,7.74,18.005,6.343,4.064,13.843,23.116
8.097,18.349,24.972,22.287,3.568,4.186,2.092,3.491,0.274,3.553,6.502,15.417,5.801,3.438,11.956,20.662
4.172,6.145,8.368,14.878,0.41,2.712,1.534,1.898,0.157,4.604,4.522,11.978,4.397,2.467,8.826,15.598
0.812,0.777,0.642,0.913,0.21,3.208,1.41,0.144,0.094,0.42,1.394,6.342,2.169,1.158,0.629,4.902
0.002,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.001
0.002,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.001
