HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,10.30,30.95,1.33,6.01,4.10,7.44,3.61,3.96,1.59,2.13,7.29,7.20,9.97,9.72,2.28,2.33
1881.5,15.20,40.02,1.74,11.13,5.88,11.65,5.93,6.40,2.56,3.41,12.36,11.87,15.44,15.04,3.91,4.01
1882.5,18.51,36.66,3.11,14.83,6.33,14.66,7.52,8.10,3.25,4.46,16.72,15.28,18.59,18.66,5.02,5.68
1883.5,20.21,27.75,7.20,16.97,4.81,15.99,8.12,8.92,3.83,5.00,19.38,17.04,19.30,20.05,5.66,6.83
1884.5,20.98,17.51,13.60,19.19,1.49,15.49,7.71,8.74,4.08,4.99,19.81,16.73,17.90,19.31,5.67,7.29
1885.5,20.44,10.94,23.61,19.17,0.69,13.31,5.57,7.61,3.85,4.41,16.34,14.82,14.53,16.51,5.00,6.93
1886.5,2.83,2.81,2.25,4.22,0.32,3.87,0.81,5.67,0.56,3.38,7.14,12.73,7.40,12.48,3.19,5.84
1887.5,1.89,2.07,1.41,2.14,0.25,1.54,0.55,0.96,0.36,0.56,1.18,2.51,1.47,3.49,0.52,4.07
1888.5,1.25,1.51,0.86,1.35,0.19,1.00,0.38,0.61,0.23,0.36,0.76,1.59,0.99,1.63,0.33,0.61
1889.5,0.69,0.88,0.44,0.72,0.12,0.55,0.21,0.33,0.13,0.18,0.41,0.83,0.54,0.84,0.18,0.30
4112.5,2.03,3.76,0.82,1.84,0.50,1.63,0.68,0.93,0.34,0.50,1.31,2.09,1.72,2.17,0.49,0.68
4113.5,2.44,4.43,0.99,2.25,0.60,2.00,0.83,1.16,0.41,0.63,1.68,2.55,2.19,2.72,0.62,0.86
4114.5,2.70,4.54,1.24,2.52,0.61,2.38,0.94,2.56,0.47,1.78,2.01,2.92,2.45,7.51,0.72,4.20
4115.5,2.80,4.23,1.47,3.45,0.55,6.83,0.95,6.79,0.49,3.69,2.13,9.29,2.47,14.23,0.77,5.16
4116.5,2.68,3.58,1.70,4.53,0.44,7.75,0.88,6.40,0.49,3.67,2.07,13.43,2.33,13.16,0.74,5.46
4117.5,2.35,2.86,1.58,2.57,0.35,3.49,0.75,5.29,0.45,3.14,1.74,4.64,2.03,10.19,0.67,5.01
4118.5,1.93,2.33,1.30,2.04,0.29,1.57,0.60,0.97,0.37,0.55,1.33,2.31,1.60,2.37,0.54,0.91
4119.5,1.58,1.99,1.03,1.66,0.24,1.26,0.48,0.76,0.29,0.44,1.00,1.89,1.27,1.93,0.42,0.72
4120.5,1.31,1.70,0.83,1.34,0.22,1.02,0.41,0.61,0.24,0.35,0.78,1.54,1.03,1.53,0.33,0.56
4121.5,1.06,1.42,0.65,1.09,0.19,0.83,0.34,0.49,0.19,0.28,0.62,1.24,0.84,1.23,0.26,0.42
6368.5,11.94,35.86,1.20,7.05,4.88,8.78,4.34,4.69,1.88,2.53,8.86,8.38,11.84,11.38,2.88,2.74
6369.5,16.11,40.35,1.81,12.04,6.24,12.46,6.42,6.85,2.75,3.68,13.62,12.80,16.48,16.00,4.21,4.39
6370.5,18.74,34.03,3.54,15.30,6.15,14.94,7.71,8.26,3.37,4.58,17.57,15.59,18.79,18.89,5.18,5.92
6371.5,20.18,24.53,8.06,16.99,4.02,15.74,8.01,8.79,3.86,4.96,19.71,16.83,18.81,19.63,5.63,6.87
6372.5,20.68,14.91,15.62,18.42,1.27,14.82,7.37,8.36,4.00,4.79,19.77,15.36,16.97,18.33,5.51,7.13
6373.5,19.70,9.18,18.41,19.11,0.33,12.40,4.72,7.03,3.68,4.11,14.63,14.34,12.83,15.15,4.50,6.61
6374.5,2.02,2.05,1.64,2.33,0.24,1.63,0.57,3.38,0.40,3.02,1.27,6.87,5.45,11.08,2.56,5.37
6375.5,1.37,1.53,1.10,1.56,0.18,1.11,0.39,0.69,0.26,0.41,0.82,1.84,1.05,1.85,0.37,0.87
6376.5,0.92,1.14,0.62,0.98,0.14,0.73,0.28,0.45,0.17,0.26,0.53,1.17,0.71,1.16,0.24,0.43
6377.5,0.46,0.60,0.29,0.48,0.08,0.36,0.14,0.21,0.08,0.12,0.26,0.55,0.36,0.55,0.12,0.19
8528.5,4.11,8.67,0.53,3.47,1.35,2.64,1.45,1.44,0.67,0.80,1.63,3.81,3.68,3.57,1.12,1.01
8529.5,12.40,22.41,2.37,10.94,3.94,8.67,4.81,4.82,2.15,2.48,5.12,12.58,11.83,11.59,3.48,3.36
8530.5,17.08,24.13,5.05,15.77,4.51,12.51,6.86,6.99,3.03,3.59,5.87,18.74,16.63,16.48,4.77,5.08
8531.5,19.55,19.66,9.30,19.59,3.32,14.11,7.68,7.94,3.66,4.13,5.47,21.92,16.82,18.48,4.79,6.09
8532.5,19.90,13.74,16.13,22.10,0.98,13.84,7.15,7.74,3.85,4.06,3.39,23.12,12.20,18.00,3.72,6.34
8533.5,18.35,8.10,24.97,22.29,0.27,11.96,3.57,6.50,3.49,3.44,3.55,20.66,4.19,15.42,2.09,5.80
8534.5,6.14,4.17,8.37,14.88,0.16,8.83,0.41,4.52,1.90,2.47,4.60,15.60,2.71,11.98,1.53,4.40
8535.5,0.78,0.81,0.64,0.91,0.09,0.63,0.21,1.39,0.14,1.16,0.42,4.90,3.21,6.34,1.41,2.17
8536.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
