chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
12.607,4.647,0.872,3.084,1.609,4.348,1.038,0.729,1.687,3.118,1.852,4.456,1.144,0.994,3.407,3.636
20.196,8.181,1.33,6.226,3.142,8.071,2.094,1.386,2.976,6.314,3.45,8.136,2.241,1.856,6.276,6.775
21.645,11.251,2.319,9.179,4.485,11.063,3.018,1.969,3.653,9.643,4.926,11.392,3.485,2.7,8.867,9.631
18.155,13.194,4.962,11.231,5.215,12.426,3.65,2.487,3.069,12.088,5.821,13.183,4.49,3.25,10.413,11.576
12.158,13.885,9.001,12.828,5.049,11.759,3.725,2.688,1.141,12.631,5.837,13.018,4.876,3.317,10.323,11.64
7.645,12.813,14.147,12.243,3.564,9.198,3.158,2.42,0.574,10.011,4.917,10.852,4.48,2.841,8.574,10.028
2.693,2.692,2.184,3.565,0.79,4.54,1.878,0.537,0.306,4.276,3.394,7.677,3.452,2.011,2.94,7.833
1.881,1.715,1.294,1.926,0.491,1.319,0.474,0.338,0.226,1.04,0.866,2.678,2.105,0.503,1.378,2.304
1.265,1.053,0.73,1.133,0.312,0.804,0.27,0.193,0.155,0.609,0.505,1.338,0.495,0.29,0.829,1.338
0.64,0.499,0.32,0.522,0.152,0.379,0.124,0.091,0.082,0.28,0.232,0.595,0.209,0.132,0.392,0.605
3.865,2.058,0.81,1.862,0.698,1.788,0.497,0.345,0.512,1.373,0.95,2.238,0.701,0.512,1.669,2.107
4.884,2.631,1.041,2.367,0.91,2.368,0.679,0.454,0.651,1.899,1.257,2.943,0.936,0.681,2.164,2.758
5.209,3.028,1.36,2.833,1.073,2.806,0.83,0.543,0.7,2.349,2.29,6.302,3.195,1.5,2.625,3.231
4.72,3.131,1.642,3.537,1.08,2.84,0.878,0.566,0.633,2.481,5.281,11.189,4.036,2.879,5.738,7.726
4.019,3.025,1.887,4.309,1.003,2.672,0.86,0.557,0.504,2.421,5.05,10.492,4.315,2.879,6.376,10.635
3.175,2.657,1.797,2.832,0.85,2.298,0.78,0.507,0.387,2.094,4.09,8.12,3.88,2.429,3.239,4.355
2.463,2.089,1.41,2.181,0.651,1.768,0.606,0.396,0.301,1.529,1.059,2.605,1.009,0.611,1.696,2.511
2.003,1.606,1.062,1.704,0.501,1.322,0.439,0.306,0.251,1.046,0.79,1.981,0.766,0.463,1.299,1.956
1.668,1.284,0.801,1.339,0.4,1.026,0.331,0.235,0.214,0.771,0.606,1.53,0.559,0.346,1.014,1.527
1.338,1.001,0.604,1.013,0.313,0.788,0.246,0.179,0.176,0.565,0.454,1.141,0.395,0.255,0.769,1.162
13.371,5.135,0.941,3.552,1.838,4.846,1.24,0.822,1.836,3.576,2.081,5.011,1.318,1.119,3.835,4.117
19.303,8.415,1.557,6.599,3.247,8.266,2.175,1.431,2.948,6.601,3.613,8.451,2.408,1.94,6.505,7.214
19.415,11.042,2.784,9.287,4.399,10.731,2.99,1.983,3.342,9.589,4.882,11.197,3.546,2.688,8.772,9.768
15.614,12.543,5.428,10.858,4.855,11.477,3.45,2.375,2.478,11.373,5.496,12.397,4.326,3.086,9.773,11.024
10.226,12.714,9.369,11.594,4.456,10.373,3.359,2.455,1.002,11.372,5.265,11.741,4.494,3.009,9.272,10.358
6.466,11.088,9.944,11.086,2.82,7.543,2.622,2.099,0.426,8.072,4.247,9.455,3.961,2.475,7.382,9.186
2.603,2.531,1.998,2.88,0.736,3.387,1.436,0.507,0.299,1.656,2.162,6.398,2.886,1.647,2.054,4.865
1.822,1.586,1.165,1.76,0.467,1.241,0.429,0.308,0.22,0.979,0.792,2.116,0.861,0.469,1.282,2.091
1.161,0.945,0.645,1.015,0.283,0.73,0.244,0.174,0.145,0.55,0.452,1.179,0.437,0.26,0.744,1.185
0.503,0.39,0.246,0.408,0.118,0.292,0.092,0.069,0.064,0.203,0.176,0.456,0.158,0.099,0.299,0.47
0.686,0.415,0.173,0.381,0.142,0.356,0.108,0.073,0.098,0.247,0.179,0.425,0.14,0.099,0.313,0.427
4.493,2.665,0.902,2.385,0.977,2.353,0.669,0.466,0.711,1.344,1.09,2.617,0.788,0.579,1.95,2.736
6.303,4.388,1.773,4.103,1.619,3.875,1.104,0.779,1.02,2.069,1.832,4.333,1.371,0.968,3.253,4.705
6.315,5.479,2.911,5.412,1.983,4.463,1.297,1.008,0.953,2.357,2.278,5.381,1.777,1.215,4.042,6.004
5.103,5.547,4.125,5.899,1.859,3.736,1.151,1.042,0.554,2.085,2.285,5.382,1.869,1.223,4.026,6.295
3.464,4.52,4.62,5.189,1.14,2.232,0.809,0.853,0.339,1.725,1.833,4.444,1.607,1.0,3.226,5.246
2.029,2.194,2.085,3.083,0.515,1.361,0.513,0.46,0.209,1.244,1.142,2.927,1.06,0.637,1.992,3.362
0.718,0.569,0.365,0.579,0.181,0.546,0.185,0.106,0.089,0.376,0.303,0.829,0.305,0.183,0.456,0.779
0.002,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.001
0.002,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.001
