HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,4.65,12.61,0.87,3.08,1.69,3.41,1.61,1.85,0.73,0.99,3.12,3.64,4.35,4.46,1.04,1.14
1881.5,8.18,20.20,1.33,6.23,2.98,6.28,3.14,3.45,1.39,1.86,6.31,6.78,8.07,8.14,2.09,2.24
1882.5,11.25,21.64,2.32,9.18,3.65,8.87,4.49,4.93,1.97,2.70,9.64,9.63,11.06,11.39,3.02,3.48
1883.5,13.19,18.16,4.96,11.23,3.07,10.41,5.21,5.82,2.49,3.25,12.09,11.58,12.43,13.18,3.65,4.49
1884.5,13.88,12.16,9.00,12.83,1.14,10.32,5.05,5.84,2.69,3.32,12.63,11.64,11.76,13.02,3.73,4.88
1885.5,12.81,7.64,14.15,12.24,0.57,8.57,3.56,4.92,2.42,2.84,10.01,10.03,9.20,10.85,3.16,4.48
1886.5,2.69,2.69,2.18,3.56,0.31,2.94,0.79,3.39,0.54,2.01,4.28,7.83,4.54,7.68,1.88,3.45
1887.5,1.72,1.88,1.29,1.93,0.23,1.38,0.49,0.87,0.34,0.50,1.04,2.30,1.32,2.68,0.47,2.10
1888.5,1.05,1.26,0.73,1.13,0.15,0.83,0.31,0.51,0.19,0.29,0.61,1.34,0.80,1.34,0.27,0.49
1889.5,0.50,0.64,0.32,0.52,0.08,0.39,0.15,0.23,0.09,0.13,0.28,0.60,0.38,0.59,0.12,0.21
4112.5,2.06,3.87,0.81,1.86,0.51,1.67,0.70,0.95,0.34,0.51,1.37,2.11,1.79,2.24,0.50,0.70
4113.5,2.63,4.88,1.04,2.37,0.65,2.16,0.91,1.26,0.45,0.68,1.90,2.76,2.37,2.94,0.68,0.94
4114.5,3.03,5.21,1.36,2.83,0.70,2.62,1.07,2.29,0.54,1.50,2.35,3.23,2.81,6.30,0.83,3.19
4115.5,3.13,4.72,1.64,3.54,0.63,5.74,1.08,5.28,0.57,2.88,2.48,7.73,2.84,11.19,0.88,4.04
4116.5,3.02,4.02,1.89,4.31,0.50,6.38,1.00,5.05,0.56,2.88,2.42,10.63,2.67,10.49,0.86,4.32
4117.5,2.66,3.17,1.80,2.83,0.39,3.24,0.85,4.09,0.51,2.43,2.09,4.36,2.30,8.12,0.78,3.88
4118.5,2.09,2.46,1.41,2.18,0.30,1.70,0.65,1.06,0.40,0.61,1.53,2.51,1.77,2.60,0.61,1.01
4119.5,1.61,2.00,1.06,1.70,0.25,1.30,0.50,0.79,0.31,0.46,1.05,1.96,1.32,1.98,0.44,0.77
4120.5,1.28,1.67,0.80,1.34,0.21,1.01,0.40,0.61,0.23,0.35,0.77,1.53,1.03,1.53,0.33,0.56
4121.5,1.00,1.34,0.60,1.01,0.18,0.77,0.31,0.45,0.18,0.26,0.56,1.16,0.79,1.14,0.25,0.40
6368.5,5.13,13.37,0.94,3.55,1.84,3.83,1.84,2.08,0.82,1.12,3.58,4.12,4.85,5.01,1.24,1.32
6369.5,8.41,19.30,1.56,6.60,2.95,6.50,3.25,3.61,1.43,1.94,6.60,7.21,8.27,8.45,2.17,2.41
6370.5,11.04,19.41,2.78,9.29,3.34,8.77,4.40,4.88,1.98,2.69,9.59,9.77,10.73,11.20,2.99,3.55
6371.5,12.54,15.61,5.43,10.86,2.48,9.77,4.86,5.50,2.38,3.09,11.37,11.02,11.48,12.40,3.45,4.33
6372.5,12.71,10.23,9.37,11.59,1.00,9.27,4.46,5.26,2.46,3.01,11.37,10.36,10.37,11.74,3.36,4.49
6373.5,11.09,6.47,9.94,11.09,0.43,7.38,2.82,4.25,2.10,2.48,8.07,9.19,7.54,9.46,2.62,3.96
6374.5,2.53,2.60,2.00,2.88,0.30,2.05,0.74,2.16,0.51,1.65,1.66,4.87,3.39,6.40,1.44,2.89
