HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,2.03,2.18,1.21,1.58,0.28,1.44,0.51,0.82,0.29,0.44,0.81,1.85,1.16,1.65,0.34,0.51
1881.5,3.65,4.49,1.87,2.74,0.62,2.60,0.98,1.46,0.53,0.78,1.61,3.23,2.29,2.98,0.65,0.91
1882.5,5.48,6.85,2.56,4.12,1.02,3.96,1.61,2.21,0.83,1.18,2.72,4.83,3.73,4.55,1.05,1.40
1883.5,7.23,8.10,3.53,5.56,1.19,5.23,2.22,2.91,1.14,1.57,4.03,6.25,5.04,6.03,1.46,1.93
1884.5,8.09,7.55,4.86,6.35,0.91,5.66,2.34,3.14,1.29,1.70,4.59,6.71,5.30,6.43,1.58,2.16
1885.5,7.28,6.28,5.31,6.05,0.67,4.98,1.84,2.76,1.16,1.50,3.44,6.22,4.03,5.58,1.27,1.93
1886.5,5.01,5.09,3.08,4.01,0.60,3.50,1.18,1.97,0.76,1.08,2.11,4.48,2.58,3.97,0.81,1.33
1887.5,3.40,3.95,1.69,2.42,0.50,2.31,0.81,1.29,0.46,0.71,1.32,2.87,1.79,2.62,0.52,0.81
1888.5,1.95,2.24,0.99,1.42,0.29,1.32,0.48,0.73,0.27,0.39,0.73,1.63,1.04,1.44,0.29,0.43
1889.5,0.74,0.81,0.42,0.59,0.10,0.51,0.19,0.28,0.11,0.15,0.28,0.67,0.40,0.58,0.12,0.17
4112.5,1.73,1.75,1.06,1.31,0.22,1.21,0.42,0.68,0.24,0.36,0.62,1.51,0.89,1.29,0.25,0.38
4113.5,2.40,2.44,1.44,1.75,0.30,1.68,0.58,0.94,0.33,0.49,0.89,2.03,1.24,1.76,0.35,0.53
4114.5,2.98,3.02,1.75,2.11,0.37,2.06,0.71,1.15,0.40,0.60,1.11,2.45,1.52,2.14,0.44,0.65
4115.5,3.40,3.44,1.96,2.37,0.43,2.34,0.80,1.30,0.46,0.68,1.29,2.74,1.73,2.41,0.50,0.73
4116.5,3.55,3.56,2.02,2.44,0.44,2.42,0.83,1.33,0.47,0.70,1.34,2.81,1.77,2.46,0.51,0.75
4117.5,3.41,3.44,1.92,2.34,0.42,2.31,0.79,1.27,0.45,0.67,1.26,2.69,1.67,2.34,0.48,0.71
4118.5,2.86,2.90,1.61,1.98,0.36,1.93,0.66,1.06,0.38,0.56,1.02,2.28,1.38,1.97,0.40,0.59
4119.5,2.22,2.27,1.27,1.58,0.28,1.50,0.52,0.83,0.30,0.44,0.77,1.82,1.08,1.55,0.31,0.46
4120.5,1.53,1.55,0.92,1.15,0.19,1.05,0.37,0.58,0.21,0.31,0.53,1.31,0.76,1.11,0.22,0.33
4121.5,1.00,0.99,0.64,0.80,0.12,0.70,0.25,0.39,0.14,0.20,0.34,0.90,0.51,0.75,0.14,0.22
6368.5,2.17,2.34,1.28,1.67,0.30,1.55,0.54,0.88,0.31,0.47,0.87,1.96,1.23,1.76,0.36,0.54
6369.5,3.68,4.55,1.88,2.72,0.63,2.63,0.98,1.48,0.54,0.79,1.67,3.21,2.29,2.99,0.65,0.91
6370.5,5.51,6.76,2.57,4.10,1.01,3.98,1.62,2.22,0.83,1.19,2.86,4.75,3.74,4.54,1.05,1.41
