HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1879.52,0.03,0.04,0.02,0.03,0.00,0.02,0.01,0.01,0.00,0.01,0.01,0.03,0.02,0.03,0.01,0.01
1879.53,0.07,0.07,0.04,0.05,0.01,0.05,0.02,0.03,0.01,0.01,0.03,0.06,0.04,0.06,0.01,0.02
1879.55,0.10,0.11,0.06,0.08,0.01,0.07,0.03,0.04,0.01,0.02,0.04,0.09,0.06,0.08,0.02,0.03
1879.57,0.14,0.15,0.08,0.11,0.02,0.10,0.03,0.05,0.02,0.03,0.05,0.12,0.08,0.11,0.02,0.03
1879.58,0.17,0.18,0.10,0.13,0.02,0.12,0.04,0.07,0.02,0.04,0.07,0.15,0.10,0.14,0.03,0.04
1879.60,0.20,0.22,0.12,0.16,0.03,0.14,0.05,0.08,0.03,0.04,0.08,0.19,0.12,0.16,0.03,0.05
1879.62,0.24,0.25,0.14,0.18,0.03,0.17,0.06,0.10,0.03,0.05,0.09,0.22,0.14,0.19,0.04,0.06
1879.63,0.27,0.29,0.16,0.21,0.04,0.19,0.07,0.11,0.04,0.06,0.11,0.25,0.15,0.22,0.05,0.07
1879.65,0.30,0.33,0.18,0.24,0.04,0.22,0.08,0.12,0.04,0.07,0.12,0.28,0.17,0.25,0.05,0.08
1879.67,0.34,0.36,0.20,0.26,0.05,0.24,0.08,0.14,0.05,0.07,0.14,0.31,0.19,0.28,0.06,0.08
1879.68,0.37,0.40,0.22,0.29,0.05,0.26,0.09,0.15,0.05,0.08,0.15,0.34,0.21,0.30,0.06,0.09
1879.70,0.41,0.44,0.24,0.32,0.06,0.29,0.10,0.16,0.06,0.09,0.16,0.37,0.23,0.33,0.07,0.10
1879.72,0.44,0.47,0.26,0.34,0.06,0.31,0.11,0.18,0.06,0.10,0.18,0.40,0.25,0.36,0.07,0.11
1879.73,0.47,0.51,0.28,0.37,0.07,0.34,0.12,0.19,0.07,0.10,0.19,0.43,0.27,0.38,0.08,0.12
1879.75,0.51,0.55,0.30,0.40,0.07,0.36,0.13,0.20,0.07,0.11,0.20,0.46,0.29,0.41,0.09,0.13
1879.77,0.54,0.58,0.32,0.42,0.07,0.38,0.14,0.22,0.08,0.12,0.22,0.49,0.31,0.44,0.09,0.14
1879.78,0.58,0.62,0.34,0.45,0.08,0.41,0.14,0.23,0.08,0.12,0.23,0.52,0.33,0.47,0.10,0.14
1879.80,0.61,0.65,0.36,0.47,0.08,0.43,0.15,0.25,0.09,0.13,0.24,0.56,0.35,0.49,0.10,0.15
1879.82,0.64,0.69,0.38,0.50,0.09,0.46,0.16,0.26,0.09,0.14,0.26,0.59,0.37,0.52,0.11,0.16
1879.83,0.68,0.73,0.40,0.53,0.09,0.48,0.17,0.27,0.10,0.15,0.27,0.62,0.39,0.55,0.11,0.17
1879.85,0.71,0.76,0.42,0.55,0.10,0.50,0.18,0.29,0.10,0.15,0.28,0.65,0.41,0.58,0.12,0.18
1879.87,0.74,0.80,0.44,0.58,0.10,0.53,0.19,0.30,0.11,0.16,0.30,0.68,0.43,0.60,0.12,0.19
1879.88,0.78,0.84,0.46,0.61,0.11,0.55,0.20,0.31,0.11,0.17,0.31,0.71,0.44,0.63,0.13,0.20
1879.90,0.81,0.87,0.48,0.63,0.11,0.58,0.20,0.33,0.12,0.18,0.32,0.74,0.46,0.66,0.14,0.20
1879.92,0.85,0.91,0.50,0.66,0.12,0.60,0.21,0.34,0.12,0.18,0.34,0.77,0.48,0.69,0.14,0.21
1879.93,0.88,0.94,0.52,0.68,0.12,0.62,0.22,0.36,0.13,0.19,0.35,0.80,0.50,0.71,0.15,0.22
1879.95,0.91,0.98,0.54,0.71,0.13,0.65,0.23,0.37,0.13,0.20,0.36,0.83,0.52,0.74,0.15,0.23
1879.97,0.95,1.02,0.56,0.74,0.13,0.67,0.24,0.38,0.14,0.21,0.38,0.86,0.54,0.77,0.16,0.24
1879.98,0.98,1.05,0.58,0.76,0.14,0.70,0.25,0.40,0.14,0.21,0.39,0.89,0.56,0.80,0.16,0.25
1880.00,1.01,1.09,0.60,0.79,0.14,0.72,0.26,0.41,0.14,0.22,0.41,0.93,0.58,0.82,0.17,0.26
1880.02,1.05,1.13,0.63,0.82,0.14,0.74,0.26,0.42,0.15,0.23,0.42,0.96,0.60,0.85,0.18,0.26
1880.03,1.08,1.16,0.65,0.84,0.15,0.77,0.27,0.44,0.15,0.23,0.43,0.99,0.62,0.88,0.18,0.27
1880.05,1.12,1.20,0.67,0.87,0.15,0.79,0.28,0.45,0.16,0.24,0.45,1.02,0.64,0.91,0.19,0.28
1880.07,1.15,1.24,0.69,0.90,0.16,0.82,0.29,0.46,0.16,0.25,0.46,1.05,0.66,0.93,0.19,0.29
1880.08,1.18,1.27,0.71,0.92,0.16,0.84,0.30,0.48,0.17,0.26,0.47,1.08,0.68,0.96,0.20,0.30
1880.10,1.22,1.31,0.73,0.95,0.17,0.86,0.31,0.49,0.17,0.26,0.49,1.11,0.70,0.99,0.20,0.31
1880.12,1.25,1.34,0.75,0.97,0.17,0.89,0.31,0.51,0.18,0.27,0.50,1.14,0.72,1.02,0.21,0.31
1880.13,1.29,1.38,0.77,1.00,0.18,0.91,0.32,0.52,0.18,0.28,0.51,1.17,0.73,1.04,0.22,0.32
1880.15,1.32,1.42,0.79,1.03,0.18,0.94,0.33,0.53,0.19,0.29,0.53,1.20,0.75,1.07,0.22,0.33
1880.17,1.35,1.45,0.81,1.05,0.19,0.96,0.34,0.55,0.19,0.29,0.54,1.23,0.77,1.10,0.23,0.34
1880.18,1.39,1.49,0.83,1.08,0.19,0.98,0.35,0.56,0.20,0.30,0.55,1.26,0.79,1.13,0.23,0.35
1880.20,1.42,1.53,0.85,1.11,0.20,1.01,0.36,0.57,0.20,0.31,0.57,1.30,0.81,1.16,0.24,0.36
1880.22,1.45,1.56,0.87,1.13,0.20,1.03,0.37,0.59,0.21,0.32,0.58,1.33,0.83,1.18,0.24,0.37
1880.23,1.49,1.60,0.89,1.16,0.21,1.06,0.37,0.60,0.21,0.32,0.59,1.36,0.85,1.21,0.25,0.37
1880.25,1.52,1.64,0.91,1.19,0.21,1.08,0.38,0.61,0.22,0.33,0.61,1.39,0.87,1.24,0.26,0.38
1880.27,1.56,1.67,0.93,1.21,0.21,1.10,0.39,0.63,0.22,0.34,0.62,1.42,0.89,1.26,0.26,0.39
1880.28,1.59,1.71,0.95,1.24,0.22,1.13,0.40,0.64,0.23,0.34,0.63,1.45,0.91,1.29,0.27,0.40
1880.30,1.62,1.74,0.97,1.26,0.22,1.15,0.41,0.66,0.23,0.35,0.65,1.48,0.93,1.32,0.27,0.41
1880.32,1.66,1.78,0.99,1.29,0.23,1.18,0.42,0.67,0.24,0.36,0.66,1.51,0.95,1.35,0.28,0.42
1880.33,1.69,1.82,1.01,1.32,0.23,1.20,0.42,0.68,0.24,0.37,0.68,1.54,0.97,1.38,0.28,0.42
1880.35,1.73,1.85,1.03,1.34,0.24,1.22,0.43,0.70,0.25,0.37,0.69,1.57,0.99,1.40,0.29,0.43
1880.37,1.76,1.89,1.05,1.37,0.24,1.25,0.44,0.71,0.25,0.38,0.70,1.60,1.01,1.43,0.29,0.44
1880.38,1.79,1.93,1.07,1.40,0.25,1.27,0.45,0.72,0.26,0.39,0.72,1.63,1.02,1.46,0.30,0.45
1880.40,1.83,1.96,1.09,1.42,0.25,1.30,0.46,0.74,0.26,0.40,0.73,1.67,1.04,1.48,0.31,0.46
1880.42,1.86,2.00,1.11,1.45,0.26,1.32,0.47,0.75,0.27,0.40,0.74,1.70,1.06,1.51,0.31,0.47
1880.43,1.89,2.03,1.13,1.47,0.26,1.34,0.48,0.77,0.27,0.41,0.76,1.73,1.08,1.54,0.32,0.48
1880.45,1.93,2.07,1.15,1.50,0.27,1.37,0.48,0.78,0.28,0.42,0.77,1.76,1.10,1.57,0.32,0.48
1880.47,1.96,2.11,1.17,1.53,0.27,1.39,0.49,0.79,0.28,0.43,0.78,1.79,1.12,1.59,0.33,0.49
1880.48,2.00,2.14,1.19,1.55,0.28,1.42,0.50,0.81,0.29,0.43,0.80,1.82,1.14,1.62,0.33,0.50
1880.50,2.03,2.18,1.21,1.58,0.28,1.44,0.51,0.82,0.29,0.44,0.81,1.85,1.16,1.65,0.34,0.51
1880.52,2.06,2.22,1.22,1.60,0.29,1.46,0.52,0.83,0.29,0.45,0.82,1.87,1.18,1.67,0.35,0.52
1880.53,2.08,2.26,1.23,1.62,0.29,1.48,0.53,0.84,0.30,0.45,0.84,1.90,1.20,1.69,0.35,0.52
1880.55,2.11,2.30,1.24,1.64,0.30,1.50,0.53,0.85,0.30,0.46,0.85,1.92,1.22,1.72,0.36,0.53
1880.57,2.14,2.33,1.25,1.66,0.30,1.52,0.54,0.86,0.31,0.46,0.86,1.94,1.24,1.74,0.36,0.54
1880.58,2.17,2.37,1.26,1.68,0.31,1.54,0.55,0.87,0.31,0.47,0.88,1.97,1.25,1.76,0.37,0.54
