HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,1.26,1.37,0.75,1.04,0.18,0.89,0.33,0.50,0.19,0.27,0.49,1.19,0.74,1.04,0.21,0.32
1881.5,2.37,2.82,1.26,1.88,0.39,1.68,0.65,0.94,0.36,0.50,0.99,2.18,1.48,1.96,0.42,0.59
1882.5,3.70,4.47,1.82,2.89,0.65,2.66,1.09,1.48,0.57,0.79,1.73,3.36,2.48,3.08,0.69,0.95
1883.5,5.05,5.55,2.59,4.00,0.80,3.63,1.53,2.02,0.80,1.08,2.63,4.49,3.43,4.22,0.99,1.34
1884.5,5.68,5.32,3.49,4.59,0.64,3.98,1.63,2.21,0.91,1.19,3.02,4.88,3.64,4.56,1.09,1.51
1885.5,4.99,4.36,3.63,4.24,0.47,3.43,1.27,1.90,0.80,1.03,2.25,4.40,2.74,3.89,0.86,1.33
1886.5,3.36,3.33,2.17,2.81,0.39,2.35,0.80,1.32,0.51,0.72,1.36,3.11,1.73,2.71,0.54,0.89
1887.5,2.13,2.33,1.21,1.66,0.29,1.46,0.51,0.82,0.30,0.44,0.80,1.92,1.12,1.70,0.33,0.52
1888.5,1.14,1.23,0.66,0.92,0.15,0.78,0.28,0.44,0.16,0.23,0.42,1.04,0.61,0.89,0.17,0.27
1889.5,0.44,0.46,0.27,0.37,0.06,0.31,0.11,0.17,0.07,0.09,0.16,0.42,0.24,0.36,0.07,0.11
4112.5,1.41,1.44,0.86,1.11,0.18,0.98,0.36,0.55,0.20,0.29,0.51,1.27,0.76,1.08,0.22,0.32
4113.5,1.99,2.04,1.19,1.51,0.26,1.39,0.50,0.78,0.28,0.41,0.74,1.74,1.07,1.50,0.31,0.45
4114.5,2.56,2.61,1.50,1.88,0.33,1.78,0.63,0.99,0.36,0.52,0.97,2.17,1.36,1.89,0.39,0.57
4115.5,3.00,3.03,1.75,2.17,0.38,2.07,0.73,1.15,0.41,0.61,1.14,2.49,1.56,2.18,0.45,0.67
