HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1879.52,0.02,0.02,0.01,0.02,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.02,0.00,0.01
1879.53,0.04,0.05,0.03,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.04,0.02,0.03,0.01,0.01
1879.55,0.06,0.07,0.04,0.05,0.01,0.04,0.02,0.03,0.01,0.01,0.02,0.06,0.04,0.05,0.01,0.02
1879.57,0.08,0.09,0.05,0.07,0.01,0.06,0.02,0.03,0.01,0.02,0.03,0.08,0.05,0.07,0.01,0.02
1879.58,0.10,0.11,0.06,0.09,0.01,0.07,0.03,0.04,0.02,0.02,0.04,0.10,0.06,0.09,0.02,0.03
1879.60,0.13,0.14,0.07,0.10,0.02,0.09,0.03,0.05,0.02,0.03,0.05,0.12,0.07,0.10,0.02,0.03
1879.62,0.15,0.16,0.09,0.12,0.02,0.10,0.04,0.06,0.02,0.03,0.06,0.14,0.09,0.12,0.02,0.04
1879.63,0.17,0.18,0.10,0.14,0.02,0.12,0.04,0.07,0.03,0.04,0.07,0.16,0.10,0.14,0.03,0.04
1879.65,0.19,0.21,0.11,0.16,0.03,0.13,0.05,0.07,0.03,0.04,0.07,0.18,0.11,0.16,0.03,0.05
1879.67,0.21,0.23,0.12,0.17,0.03,0.15,0.06,0.08,0.03,0.05,0.08,0.20,0.12,0.17,0.04,0.05
1879.68,0.23,0.25,0.14,0.19,0.03,0.16,0.06,0.09,0.03,0.05,0.09,0.22,0.14,0.19,0.04,0.06
1879.70,0.25,0.27,0.15,0.21,0.04,0.18,0.07,0.10,0.04,0.05,0.10,0.24,0.15,0.21,0.04,0.06
1879.72,0.27,0.30,0.16,0.23,0.04,0.19,0.07,0.11,0.04,0.06,0.11,0.26,0.16,0.23,0.05,0.07
1879.73,0.29,0.32,0.17,0.24,0.04,0.21,0.08,0.12,0.04,0.06,0.11,0.28,0.17,0.24,0.05,0.07
1879.75,0.32,0.34,0.19,0.26,0.04,0.22,0.08,0.12,0.05,0.07,0.12,0.30,0.18,0.26,0.05,0.08
1879.77,0.34,0.37,0.20,0.28,0.05,0.24,0.09,0.13,0.05,0.07,0.13,0.32,0.20,0.28,0.06,0.09
1879.78,0.36,0.39,0.21,0.29,0.05,0.25,0.09,0.14,0.05,0.08,0.14,0.34,0.21,0.29,0.06,0.09
1879.80,0.38,0.41,0.23,0.31,0.05,0.27,0.10,0.15,0.06,0.08,0.15,0.36,0.22,0.31,0.06,0.10
