HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,9.44,25.15,1.48,6.37,3.12,7.02,2.91,3.78,1.30,2.04,5.85,7.33,7.54,8.53,1.86,2.11
1881.5,16.22,38.46,2.55,11.53,5.66,12.46,5.99,6.90,2.62,3.67,12.24,13.68,15.37,15.68,3.99,4.27
1882.5,20.22,38.80,4.43,15.49,6.37,15.75,7.88,8.82,3.50,4.74,16.89,17.59,19.51,19.71,5.34,5.94
1883.5,22.28,29.86,8.30,18.51,5.00,17.44,8.70,9.82,4.14,5.45,19.96,19.65,20.47,21.54,6.02,7.18
1884.5,23.37,20.14,15.31,20.39,2.28,17.20,8.20,9.74,4.35,5.45,20.12,19.58,19.16,20.99,6.05,7.77
1885.5,18.81,11.67,18.14,19.36,0.77,14.20,5.31,8.30,4.03,4.78,15.35,17.83,14.05,17.81,4.95,7.33
1886.5,7.40,5.26,6.97,9.32,0.42,6.79,1.90,5.10,1.96,3.28,6.99,11.68,6.90,12.94,3.03,6.03
1887.5,2.67,2.63,1.96,2.82,0.30,2.23,0.68,1.78,0.53,1.22,1.73,4.52,2.23,5.90,1.00,3.04
1888.5,1.72,1.85,1.16,1.61,0.22,1.29,0.45,0.78,0.28,0.44,0.84,1.90,1.10,1.91,0.36,0.80
1889.5,0.89,1.03,0.57,0.84,0.13,0.67,0.25,0.40,0.15,0.22,0.45,0.98,0.60,0.93,0.19,0.32
4112.5,3.34,6.01,1.36,2.52,0.69,2.69,0.92,1.52,0.46,0.80,1.81,2.99,2.28,3.06,0.60,0.86
4113.5,4.86,11.16,1.79,4.21,1.15,4.95,1.48,3.00,0.71,1.55,3.91,5.41,4.53,6.45,1.22,1.89
4114.5,6.44,13.35,2.43,5.70,1.51,6.85,2.11,4.28,1.00,2.28,6.31,7.59,6.47,9.15,1.97,3.05
4115.5,6.95,11.93,3.33,6.71,1.34,7.99,2.25,5.22,1.13,2.84,7.52,9.10,7.07,10.93,2.37,4.09
4116.5,7.68,8.90,5.10,7.46,0.88,7.93,2.36,5.02,1.26,2.86,8.59,9.01,7.13,10.28,2.62,4.37
4117.5,5.94,5.31,4.61,5.75,0.49,5.55,1.49,3.86,1.06,2.37,6.35,7.05,5.50,8.37,2.24,3.99
4118.5,3.25,3.25,2.17,2.86,0.37,2.71,0.79,1.91,0.52,1.17,2.01,3.82,2.38,4.32,0.95,2.14
4119.5,2.58,2.66,1.62,2.06,0.32,1.85,0.63,1.08,0.38,0.61,1.12,2.43,1.47,2.34,0.47,0.89
4120.5,2.07,2.23,1.27,1.66,0.27,1.48,0.51,0.86,0.30,0.47,0.87,1.95,1.17,1.79,0.36,0.60
4121.5,1.59,1.80,0.95,1.31,0.23,1.14,0.41,0.66,0.24,0.36,0.69,1.52,0.94,1.39,0.28,0.45
6368.5,10.91,29.86,1.51,7.33,3.76,8.21,3.47,4.44,1.53,2.39,7.10,8.47,9.13,10.07,2.25,2.48
6369.5,16.86,39.66,2.57,12.02,5.98,13.16,6.38,7.32,2.77,3.89,13.53,14.26,16.47,16.58,4.27,4.57
6370.5,20.53,36.12,4.94,16.20,6.13,16.15,8.17,9.06,3.64,4.90,18.29,17.65,19.70,20.08,5.53,6.28
6371.5,22.24,27.39,9.20,18.57,4.49,17.26,8.62,9.73,4.17,5.42,20.12,19.36,20.16,21.23,6.00,7.20
6372.5,22.00,16.78,17.07,19.43,1.59,16.04,7.19,9.05,4.10,5.15,19.91,17.83,17.49,19.36,5.77,7.46
6373.5,14.38,8.85,13.98,16.23,0.52,11.98,3.85,7.37,3.54,4.33,13.79,15.09,12.10,15.78,4.50,6.86
6374.5,4.14,3.32,3.66,5.58,0.31,4.18,1.06,3.85,1.18,2.63,4.26,9.18,4.60,10.92,2.26,5.33
6375.5,2.02,1.98,1.46,2.04,0.23,1.62,0.49,1.25,0.37,0.86,1.14,3.21,1.56,4.41,0.70,2.46
6376.5,1.29,1.40,0.86,1.19,0.17,0.96,0.33,0.57,0.21,0.32,0.59,1.40,0.80,1.36,0.25,0.52
6377.5,0.59,0.70,0.37,0.56,0.09,0.44,0.17,0.26,0.10,0.15,0.29,0.65,0.40,0.61,0.12,0.21
8528.5,4.45,9.24,0.66,3.45,1.44,2.93,1.58,1.60,0.74,0.87,1.92,4.05,3.65,3.64,0.87,0.83
