HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1879.517,0.157,0.419,0.025,0.106,0.052,0.117,0.049,0.063,0.022,0.034,0.097,0.122,0.126,0.142,0.031,0.035
1879.533,0.315,0.838,0.049,0.212,0.104,0.234,0.097,0.126,0.043,0.068,0.195,0.244,0.251,0.284,0.062,0.070
1879.550,0.472,1.257,0.074,0.319,0.156,0.351,0.146,0.189,0.065,0.102,0.292,0.367,0.377,0.426,0.093,0.105
1879.567,0.629,1.677,0.099,0.425,0.208,0.468,0.194,0.252,0.087,0.136,0.390,0.489,0.503,0.569,0.124,0.141
1879.583,0.787,2.096,0.123,0.531,0.260,0.585,0.243,0.315,0.108,0.170,0.487,0.611,0.628,0.711,0.155,0.176
1879.600,0.944,2.515,0.148,0.637,0.312,0.702,0.291,0.378,0.130,0.204,0.585,0.733,0.754,0.853,0.186,0.211
1879.617,1.101,2.934,0.173,0.743,0.364,0.819,0.340,0.441,0.152,0.238,0.682,0.855,0.880,0.995,0.217,0.246
1879.633,1.259,3.353,0.197,0.849,0.416,0.936,0.388,0.504,0.173,0.272,0.780,0.977,1.005,1.137,0.248,0.281
1879.650,1.416,3.772,0.222,0.956,0.468,1.053,0.436,0.567,0.195,0.306,0.877,1.099,1.131,1.279,0.279,0.316
1879.667,1.573,4.192,0.247,1.062,0.520,1.170,0.485,0.630,0.217,0.340,0.975,1.222,1.257,1.422,0.310,0.352
1879.683,1.731,4.611,0.271,1.168,0.572,1.287,0.534,0.693,0.238,0.374,1.073,1.344,1.382,1.564,0.341,0.387
1879.700,1.888,5.030,0.296,1.274,0.624,1.404,0.582,0.756,0.260,0.408,1.170,1.466,1.508,1.706,0.372,0.422
1879.717,2.045,5.449,0.321,1.380,0.676,1.521,0.630,0.819,0.282,0.442,1.267,1.588,1.634,1.848,0.403,0.457
1879.733,2.203,5.868,0.345,1.486,0.728,1.638,0.679,0.882,0.303,0.476,1.365,1.710,1.759,1.990,0.434,0.492
1879.750,2.360,6.287,0.370,1.593,0.780,1.755,0.728,0.945,0.325,0.510,1.462,1.833,1.885,2.132,0.465,0.527
1879.767,2.517,6.707,0.395,1.699,0.832,1.872,0.776,1.008,0.347,0.544,1.560,1.955,2.011,2.275,0.496,0.563
1879.783,2.675,7.126,0.419,1.805,0.884,1.989,0.825,1.071,0.368,0.578,1.657,2.077,2.136,2.417,0.527,0.598
1879.800,2.832,7.545,0.444,1.911,0.936,2.106,0.873,1.134,0.390,0.612,1.755,2.199,2.262,2.559,0.558,0.633
1879.817,2.989,7.964,0.469,2.017,0.988,2.223,0.922,1.197,0.412,0.646,1.852,2.321,2.388,2.701,0.589,0.668
1879.833,3.147,8.383,0.493,2.123,1.040,2.340,0.970,1.260,0.433,0.680,1.950,2.443,2.513,2.843,0.620,0.703
1879.850,3.304,8.803,0.518,2.230,1.092,2.457,1.018,1.323,0.455,0.714,2.047,2.566,2.639,2.986,0.651,0.738
1879.867,3.461,9.222,0.543,2.336,1.144,2.574,1.067,1.386,0.477,0.748,2.145,2.688,2.765,3.128,0.682,0.774
1879.883,3.619,9.641,0.567,2.442,1.196,2.691,1.116,1.449,0.498,0.782,2.242,2.810,2.890,3.270,0.713,0.809
1879.900,3.776,10.060,0.592,2.548,1.248,2.808,1.164,1.512,0.520,0.816,2.340,2.932,3.016,3.412,0.744,0.844
1879.917,3.933,10.479,0.617,2.654,1.300,2.925,1.212,1.575,0.542,0.850,2.438,3.054,3.142,3.554,0.775,0.879
1879.933,4.091,10.898,0.641,2.760,1.352,3.042,1.261,1.638,0.563,0.884,2.535,3.176,3.267,3.696,0.806,0.914
1879.950,4.248,11.317,0.666,2.867,1.404,3.159,1.310,1.701,0.585,0.918,2.632,3.298,3.393,3.838,0.837,0.950
1879.967,4.405,11.737,0.691,2.973,1.456,3.276,1.358,1.764,0.607,0.952,2.730,3.421,3.519,3.981,0.868,0.985
1879.983,4.563,12.156,0.715,3.079,1.508,3.393,1.407,1.827,0.628,0.986,2.827,3.543,3.644,4.123,0.899,1.020
1880.000,4.720,12.575,0.740,3.185,1.560,3.510,1.455,1.890,0.650,1.020,2.925,3.665,3.770,4.265,0.930,1.055
1880.017,4.877,12.994,0.765,3.291,1.612,3.627,1.504,1.953,0.672,1.054,3.022,3.787,3.896,4.407,0.961,1.090
1880.033,5.035,13.413,0.789,3.397,1.664,3.744,1.552,2.016,0.693,1.088,3.120,3.909,4.021,4.549,0.992,1.125
1880.050,5.192,13.832,0.814,3.504,1.716,3.861,1.601,2.079,0.715,1.122,3.217,4.032,4.147,4.691,1.023,1.160
1880.067,5.349,14.252,0.839,3.610,1.768,3.978,1.649,2.142,0.737,1.156,3.315,4.154,4.273,4.834,1.054,1.196
1880.083,5.507,14.671,0.863,3.716,1.820,4.095,1.698,2.205,0.758,1.190,3.413,4.276,4.398,4.976,1.085,1.231
1880.100,5.664,15.090,0.888,3.822,1.872,4.212,1.746,2.268,0.780,1.224,3.510,4.398,4.524,5.118,1.116,1.266
1880.117,5.821,15.509,0.913,3.928,1.924,4.329,1.794,2.331,0.802,1.258,3.607,4.520,4.650,5.260,1.147,1.301
1880.133,5.979,15.928,0.937,4.034,1.976,4.446,1.843,2.394,0.823,1.292,3.705,4.642,4.775,5.402,1.178,1.336
1880.150,6.136,16.348,0.962,4.141,2.028,4.563,1.892,2.457,0.845,1.326,3.802,4.764,4.901,5.544,1.209,1.371
1880.167,6.293,16.767,0.987,4.247,2.080,4.680,1.940,2.520,0.867,1.360,3.900,4.887,5.027,5.687,1.240,1.407
1880.183,6.451,17.186,1.011,4.353,2.132,4.797,1.988,2.583,0.888,1.394,3.998,5.009,5.152,5.829,1.271,1.442
1880.200,6.608,17.605,1.036,4.459,2.184,4.914,2.037,2.646,0.910,1.428,4.095,5.131,5.278,5.971,1.302,1.477
1880.217,6.765,18.024,1.061,4.565,2.236,5.031,2.086,2.709,0.932,1.462,4.192,5.253,5.404,6.113,1.333,1.512
1880.233,6.923,18.443,1.085,4.671,2.288,5.148,2.134,2.772,0.953,1.496,4.290,5.375,5.529,6.255,1.364,1.547
1880.250,7.080,18.863,1.110,4.777,2.340,5.265,2.183,2.835,0.975,1.530,4.388,5.498,5.655,6.397,1.395,1.582
1880.267,7.237,19.282,1.135,4.884,2.392,5.382,2.231,2.898,0.997,1.564,4.485,5.620,5.781,6.540,1.426,1.618
1880.283,7.395,19.701,1.159,4.990,2.444,5.499,2.280,2.961,1.018,1.598,4.582,5.742,5.906,6.682,1.457,1.653
1880.300,7.552,20.120,1.184,5.096,2.496,5.616,2.328,3.024,1.040,1.632,4.680,5.864,6.032,6.824,1.488,1.688
1880.317,7.709,20.539,1.209,5.202,2.548,5.733,2.377,3.087,1.062,1.666,4.777,5.986,6.158,6.966,1.519,1.723
1880.333,7.867,20.958,1.233,5.308,2.600,5.850,2.425,3.150,1.083,1.700,4.875,6.108,6.283,7.108,1.550,1.758
1880.350,8.024,21.377,1.258,5.415,2.652,5.967,2.474,3.213,1.105,1.734,4.972,6.231,6.409,7.250,1.581,1.794
1880.367,8.181,21.797,1.283,5.521,2.704,6.084,2.522,3.276,1.127,1.768,5.070,6.353,6.535,7.393,1.612,1.829
1880.383,8.339,22.216,1.307,5.627,2.756,6.201,2.571,3.339,1.148,1.802,5.167,6.475,6.660,7.535,1.643,1.864
1880.400,8.496,22.635,1.332,5.733,2.808,6.318,2.619,3.402,1.170,1.836,5.265,6.597,6.786,7.677,1.674,1.899
1880.417,8.653,23.054,1.357,5.839,2.860,6.435,2.667,3.465,1.192,1.870,5.362,6.719,6.912,7.819,1.705,1.934
1880.433,8.811,23.473,1.381,5.945,2.912,6.552,2.716,3.528,1.213,1.904,5.460,6.841,7.037,7.961,1.736,1.969
1880.450,8.968,23.892,1.406,6.052,2.964,6.669,2.764,3.591,1.235,1.938,5.558,6.963,7.163,8.104,1.767,2.004
1880.467,9.125,24.312,1.431,6.158,3.016,6.786,2.813,3.654,1.257,1.972,5.655,7.086,7.289,8.246,1.798,2.040
1880.483,9.283,24.731,1.455,6.264,3.068,6.903,2.861,3.717,1.278,2.006,5.752,7.208,7.414,8.388,1.829,2.075
1880.500,9.440,25.150,1.480,6.370,3.120,7.020,2.910,3.780,1.300,2.040,5.850,7.330,7.540,8.530,1.860,2.110
1880.517,9.553,25.372,1.498,6.456,3.162,7.111,2.961,3.832,1.322,2.067,5.956,7.436,7.670,8.649,1.896,2.146
1880.533,9.666,25.594,1.516,6.542,3.205,7.201,3.013,3.884,1.344,2.094,6.063,7.542,7.801,8.768,1.931,2.182
1880.550,9.779,25.816,1.534,6.628,3.247,7.292,3.064,3.936,1.366,2.122,6.169,7.647,7.931,8.887,1.967,2.218
1880.567,9.892,26.037,1.551,6.714,3.289,7.383,3.115,3.988,1.388,2.149,6.276,7.753,8.062,9.007,2.002,2.254
1880.583,10.005,26.259,1.569,6.800,3.332,7.473,3.167,4.040,1.410,2.176,6.382,7.859,8.193,9.126,2.038,2.290
1880.600,10.118,26.481,1.587,6.886,3.374,7.564,3.218,4.092,1.432,2.203,6.489,7.965,8.323,9.245,2.073,2.326
1880.617,10.231,26.703,1.605,6.972,3.416,7.655,3.269,4.144,1.454,2.230,6.595,8.071,8.454,9.364,2.109,2.362
1880.633,10.344,26.925,1.623,7.058,3.459,7.745,3.321,4.196,1.476,2.257,6.702,8.177,8.584,9.483,2.144,2.398
1880.650,10.457,27.146,1.640,7.144,3.501,7.836,3.372,4.248,1.498,2.284,6.808,8.283,8.714,9.602,2.179,2.434
1880.667,10.570,27.368,1.658,7.230,3.543,7.927,3.423,4.300,1.520,2.312,6.915,8.388,8.845,9.722,2.215,2.470
1880.683,10.683,27.590,1.676,7.316,3.586,8.017,3.475,4.352,1.542,2.339,7.021,8.494,8.976,9.841,2.251,2.506
1880.700,10.796,27.812,1.694,7.402,3.628,8.108,3.526,4.404,1.564,2.366,7.128,8.600,9.106,9.960,2.286,2.542
1880.717,10.909,28.034,1.712,7.488,3.670,8.199,3.577,4.456,1.586,2.393,7.234,8.706,9.236,10.079,2.321,2.578
1880.733,11.022,28.256,1.730,7.574,3.713,8.289,3.629,4.508,1.608,2.420,7.341,8.812,9.367,10.198,2.357,2.614
1880.750,11.135,28.477,1.748,7.660,3.755,8.380,3.680,4.560,1.630,2.447,7.447,8.918,9.498,10.317,2.393,2.650
1880.767,11.248,28.699,1.765,7.746,3.797,8.471,3.731,4.612,1.652,2.475,7.554,9.023,9.628,10.437,2.428,2.686
1880.783,11.361,28.921,1.783,7.832,3.840,8.561,3.783,4.664,1.674,2.502,7.660,9.129,9.758,10.556,2.464,2.722
1880.800,11.474,29.143,1.801,7.918,3.882,8.652,3.834,4.716,1.696,2.529,7.767,9.235,9.889,10.675,2.499,2.758
1880.817,11.587,29.365,1.819,8.004,3.924,8.743,3.885,4.768,1.718,2.556,7.873,9.341,10.020,10.794,2.534,2.794
1880.833,11.700,29.587,1.837,8.090,3.967,8.833,3.937,4.820,1.740,2.583,7.980,9.447,10.150,10.913,2.570,2.830
1880.850,11.813,29.808,1.854,8.176,4.009,8.924,3.988,4.872,1.762,2.611,8.086,9.553,10.280,11.032,2.606,2.866
1880.867,11.926,30.030,1.872,8.262,4.051,9.015,4.039,4.924,1.784,2.638,8.193,9.658,10.411,11.152,2.641,2.902
1880.883,12.039,30.252,1.890,8.348,4.094,9.105,4.091,4.976,1.806,2.665,8.300,9.764,10.541,11.271,2.676,2.938
1880.900,12.152,30.474,1.908,8.434,4.136,9.196,4.142,5.028,1.828,2.692,8.406,9.870,10.672,11.390,2.712,2.974
1880.917,12.265,30.696,1.926,8.520,4.178,9.287,4.193,5.080,1.850,2.719,8.512,9.976,10.803,11.509,2.748,3.010
1880.933,12.378,30.918,1.944,8.606,4.221,9.377,4.245,5.132,1.872,2.746,8.619,10.082,10.933,11.628,2.783,3.046
1880.950,12.491,31.139,1.962,8.692,4.263,9.468,4.296,5.184,1.894,2.773,8.726,10.188,11.063,11.747,2.819,3.082
1880.967,12.604,31.361,1.979,8.778,4.305,9.559,4.347,5.236,1.916,2.801,8.832,10.293,11.194,11.867,2.854,3.118
1880.983,12.717,31.583,1.997,8.864,4.348,9.649,4.399,5.288,1.938,2.828,8.938,10.399,11.325,11.986,2.889,3.154
1881.000,12.830,31.805,2.015,8.950,4.390,9.740,4.450,5.340,1.960,2.855,9.045,10.505,11.455,12.105,2.925,3.190
1881.017,12.943,32.027,2.033,9.036,4.432,9.831,4.501,5.392,1.982,2.882,9.152,10.611,11.585,12.224,2.961,3.226
1881.033,13.056,32.249,2.051,9.122,4.475,9.921,4.553,5.444,2.004,2.909,9.258,10.717,11.716,12.343,2.996,3.262
1881.050,13.169,32.471,2.068,9.208,4.517,10.012,4.604,5.496,2.026,2.937,9.364,10.822,11.846,12.462,3.031,3.298
1881.067,13.282,32.692,2.086,9.294,4.559,10.103,4.655,5.548,2.048,2.964,9.471,10.928,11.977,12.582,3.067,3.334
1881.083,13.395,32.914,2.104,9.380,4.602,10.193,4.707,5.600,2.070,2.991,9.578,11.034,12.107,12.701,3.103,3.370
1881.100,13.508,33.136,2.122,9.466,4.644,10.284,4.758,5.652,2.092,3.018,9.684,11.140,12.238,12.820,3.138,3.406
1881.117,13.621,33.358,2.140,9.552,4.686,10.375,4.809,5.704,2.114,3.045,9.790,11.246,12.369,12.939,3.174,3.442
1881.133,13.734,33.580,2.158,9.638,4.729,10.465,4.861,5.756,2.136,3.072,9.897,11.352,12.499,13.058,3.209,3.478
1881.150,13.847,33.802,2.175,9.724,4.771,10.556,4.912,5.808,2.158,3.099,10.003,11.457,12.630,13.177,3.244,3.514
1881.167,13.960,34.023,2.193,9.810,4.813,10.647,4.963,5.860,2.180,3.127,10.110,11.563,12.760,13.297,3.280,3.550
1881.183,14.073,34.245,2.211,9.896,4.856,10.737,5.015,5.912,2.202,3.154,10.216,11.669,12.890,13.416,3.316,3.586
1881.200,14.186,34.467,2.229,9.982,4.898,10.828,5.066,5.964,2.224,3.181,10.323,11.775,13.021,13.535,3.351,3.622
1881.217,14.299,34.689,2.247,10.068,4.940,10.919,5.117,6.016,2.246,3.208,10.430,11.881,13.151,13.654,3.386,3.658
1881.233,14.412,34.911,2.265,10.154,4.983,11.009,5.169,6.068,2.268,3.235,10.536,11.987,13.282,13.773,3.422,3.694
1881.250,14.525,35.133,2.282,10.240,5.025,11.100,5.220,6.120,2.290,3.263,10.643,12.093,13.412,13.892,3.458,3.730
1881.267,14.638,35.354,2.300,10.326,5.067,11.191,5.271,6.172,2.312,3.290,10.749,12.198,13.543,14.012,3.493,3.766
1881.283,14.751,35.576,2.318,10.412,5.110,11.281,5.323,6.224,2.334,3.317,10.855,12.304,13.673,14.131,3.529,3.802
1881.300,14.864,35.798,2.336,10.498,5.152,11.372,5.374,6.276,2.356,3.344,10.962,12.410,13.804,14.250,3.564,3.838
1881.317,14.977,36.020,2.354,10.584,5.194,11.463,5.425,6.328,2.378,3.371,11.069,12.516,13.934,14.369,3.599,3.874
1881.333,15.090,36.242,2.372,10.670,5.237,11.553,5.477,6.380,2.400,3.398,11.175,12.622,14.065,14.488,3.635,3.910
1881.350,15.203,36.464,2.389,10.756,5.279,11.644,5.528,6.432,2.422,3.425,11.282,12.727,14.195,14.607,3.671,3.946
1881.367,15.316,36.685,2.407,10.842,5.321,11.735,5.579,6.484,2.444,3.453,11.388,12.833,14.326,14.727,3.706,3.982
1881.383,15.429,36.907,2.425,10.928,5.364,11.825,5.631,6.536,2.466,3.480,11.494,12.939,14.456,14.846,3.742,4.018
1881.400,15.542,37.129,2.443,11.014,5.406,11.916,5.682,6.588,2.488,3.507,11.601,13.045,14.587,14.965,3.777,4.054
1881.417,15.655,37.351,2.461,11.100,5.448,12.007,5.733,6.640,2.510,3.534,11.707,13.151,14.717,15.084,3.812,4.090
1881.433,15.768,37.573,2.479,11.186,5.491,12.097,5.785,6.692,2.532,3.561,11.814,13.257,14.848,15.203,3.848,4.126
1881.450,15.881,37.794,2.496,11.272,5.533,12.188,5.836,6.744,2.554,3.588,11.921,13.363,14.979,15.322,3.883,4.162
1881.467,15.994,38.016,2.514,11.358,5.575,12.279,5.887,6.796,2.576,3.616,12.027,13.468,15.109,15.442,3.919,4.198
1881.483,16.107,38.238,2.532,11.444,5.618,12.369,5.939,6.848,2.598,3.643,12.134,13.574,15.239,15.561,3.954,4.234
1881.500,16.220,38.460,2.550,11.530,5.660,12.460,5.990,6.900,2.620,3.670,12.240,13.680,15.370,15.680,3.990,4.270
1881.517,16.287,38.466,2.581,11.596,5.672,12.515,6.022,6.932,2.635,3.688,12.318,13.745,15.439,15.747,4.013,4.298
1881.533,16.353,38.471,2.613,11.662,5.684,12.570,6.053,6.964,2.649,3.706,12.395,13.810,15.508,15.814,4.035,4.326
1881.550,16.420,38.477,2.644,11.728,5.696,12.625,6.085,6.996,2.664,3.724,12.473,13.875,15.577,15.881,4.058,4.353
1881.567,16.487,38.483,2.675,11.794,5.707,12.679,6.116,7.028,2.679,3.741,12.550,13.941,15.646,15.949,4.080,4.381
1881.583,16.553,38.488,2.707,11.860,5.719,12.734,6.147,7.060,2.693,3.759,12.627,14.006,15.715,16.016,4.103,4.409
1881.600,16.620,38.494,2.738,11.926,5.731,12.789,6.179,7.092,2.708,3.777,12.705,14.071,15.784,16.083,4.125,4.437
1881.617,16.687,38.500,2.769,11.992,5.743,12.844,6.211,7.124,2.723,3.795,12.783,14.136,15.853,16.150,4.147,4.465
1881.633,16.753,38.505,2.801,12.058,5.755,12.899,6.242,7.156,2.737,3.813,12.860,14.201,15.922,16.217,4.170,4.493
1881.650,16.820,38.511,2.832,12.124,5.766,12.954,6.274,7.188,2.752,3.830,12.938,14.266,15.991,16.285,4.192,4.520
1881.667,16.887,38.517,2.863,12.190,5.778,13.008,6.305,7.220,2.767,3.848,13.015,14.332,16.060,16.352,4.215,4.548
1881.683,16.953,38.522,2.895,12.256,5.790,13.063,6.337,7.252,2.781,3.866,13.093,14.397,16.129,16.419,4.237,4.576
1881.700,17.020,38.528,2.926,12.322,5.802,13.118,6.368,7.284,2.796,3.884,13.170,14.462,16.198,16.486,4.260,4.604
1881.717,17.087,38.534,2.957,12.388,5.814,13.173,6.399,7.316,2.811,3.902,13.248,14.527,16.267,16.553,4.282,4.632
1881.733,17.153,38.539,2.989,12.454,5.826,13.228,6.431,7.348,2.825,3.920,13.325,14.592,16.336,16.620,4.305,4.660
1881.750,17.220,38.545,3.020,12.520,5.838,13.283,6.463,7.380,2.840,3.938,13.402,14.658,16.405,16.688,4.327,4.688
1881.767,17.287,38.551,3.051,12.586,5.849,13.337,6.494,7.412,2.855,3.955,13.480,14.723,16.474,16.755,4.350,4.715
1881.783,17.353,38.556,3.083,12.652,5.861,13.392,6.526,7.444,2.869,3.973,13.558,14.788,16.543,16.822,4.373,4.743
1881.800,17.420,38.562,3.114,12.718,5.873,13.447,6.557,7.476,2.884,3.991,13.635,14.853,16.612,16.889,4.395,4.771
1881.817,17.487,38.568,3.145,12.784,5.885,13.502,6.588,7.508,2.899,4.009,13.713,14.918,16.681,16.956,4.418,4.799
1881.833,17.553,38.573,3.177,12.850,5.897,13.557,6.620,7.540,2.913,4.027,13.790,14.983,16.750,17.023,4.440,4.827
1881.850,17.620,38.579,3.208,12.916,5.909,13.611,6.652,7.572,2.928,4.045,13.867,15.049,16.819,17.090,4.463,4.854
1881.867,17.687,38.585,3.239,12.982,5.920,13.666,6.683,7.604,2.943,4.062,13.945,15.114,16.888,17.158,4.485,4.882
1881.883,17.753,38.590,3.271,13.048,5.932,13.721,6.715,7.636,2.957,4.080,14.023,15.179,16.957,17.225,4.508,4.910
1881.900,17.820,38.596,3.302,13.114,5.944,13.776,6.746,7.668,2.972,4.098,14.100,15.244,17.026,17.292,4.530,4.938
1881.917,17.887,38.602,3.333,13.180,5.956,13.831,6.777,7.700,2.987,4.116,14.178,15.309,17.095,17.359,4.553,4.966
1881.933,17.953,38.607,3.365,13.246,5.968,13.886,6.809,7.732,3.001,4.134,14.255,15.374,17.164,17.426,4.575,4.994
1881.950,18.020,38.613,3.396,13.312,5.979,13.941,6.841,7.764,3.016,4.152,14.332,15.439,17.233,17.494,4.598,5.021
1881.967,18.087,38.619,3.427,13.378,5.991,13.995,6.872,7.796,3.031,4.169,14.410,15.505,17.302,17.561,4.620,5.049
1881.983,18.153,38.624,3.459,13.444,6.003,14.050,6.904,7.828,3.045,4.187,14.488,15.570,17.371,17.628,4.643,5.077
1882.000,18.220,38.630,3.490,13.510,6.015,14.105,6.935,7.860,3.060,4.205,14.565,15.635,17.440,17.695,4.665,5.105
1882.017,18.287,38.636,3.521,13.576,6.027,14.160,6.966,7.892,3.075,4.223,14.643,15.700,17.509,17.762,4.688,5.133
1882.033,18.353,38.641,3.553,13.642,6.039,14.215,6.998,7.924,3.089,4.241,14.720,15.765,17.578,17.829,4.710,5.161
1882.050,18.420,38.647,3.584,13.708,6.051,14.270,7.030,7.956,3.104,4.258,14.797,15.831,17.647,17.896,4.732,5.189
1882.067,18.487,38.653,3.615,13.774,6.062,14.324,7.061,7.988,3.119,4.276,14.875,15.896,17.716,17.964,4.755,5.216
1882.083,18.553,38.658,3.647,13.840,6.074,14.379,7.093,8.020,3.133,4.294,14.953,15.961,17.785,18.031,4.777,5.244
1882.100,18.620,38.664,3.678,13.906,6.086,14.434,7.124,8.052,3.148,4.312,15.030,16.026,17.854,18.098,4.800,5.272
1882.117,18.687,38.670,3.709,13.972,6.098,14.489,7.155,8.084,3.163,4.330,15.107,16.091,17.923,18.165,4.822,5.300
1882.133,18.753,38.675,3.741,14.038,6.110,14.544,7.187,8.116,3.177,4.348,15.185,16.156,17.992,18.232,4.845,5.328
1882.150,18.820,38.681,3.772,14.104,6.122,14.599,7.219,8.148,3.192,4.365,15.263,16.221,18.061,18.300,4.867,5.356
1882.167,18.887,38.687,3.803,14.170,6.133,14.653,7.250,8.180,3.207,4.383,15.340,16.287,18.130,18.367,4.890,5.383
1882.183,18.953,38.692,3.835,14.236,6.145,14.708,7.281,8.212,3.221,4.401,15.418,16.352,18.199,18.434,4.912,5.411
1882.200,19.020,38.698,3.866,14.302,6.157,14.763,7.313,8.244,3.236,4.419,15.495,16.417,18.268,18.501,4.935,5.439
1882.217,19.087,38.704,3.897,14.368,6.169,14.818,7.345,8.276,3.251,4.437,15.573,16.482,18.337,18.568,4.957,5.467
1882.233,19.153,38.709,3.929,14.434,6.181,14.873,7.376,8.308,3.265,4.455,15.650,16.547,18.406,18.635,4.980,5.495
1882.250,19.220,38.715,3.960,14.500,6.192,14.928,7.407,8.340,3.280,4.473,15.728,16.613,18.475,18.703,5.002,5.522
1882.267,19.287,38.721,3.991,14.566,6.204,14.982,7.439,8.372,3.295,4.490,15.805,16.678,18.544,18.770,5.025,5.550
1882.283,19.353,38.726,4.023,14.632,6.216,15.037,7.470,8.404,3.309,4.508,15.883,16.743,18.613,18.837,5.047,5.578
1882.300,19.420,38.732,4.054,14.698,6.228,15.092,7.502,8.436,3.324,4.526,15.960,16.808,18.682,18.904,5.070,5.606
1882.317,19.487,38.738,4.085,14.764,6.240,15.147,7.534,8.468,3.339,4.544,16.038,16.873,18.751,18.971,5.092,5.634
1882.333,19.553,38.743,4.117,14.830,6.252,15.202,7.565,8.500,3.353,4.562,16.115,16.938,18.820,19.038,5.115,5.662
1882.350,19.620,38.749,4.148,14.896,6.264,15.257,7.596,8.532,3.368,4.580,16.192,17.003,18.889,19.105,5.138,5.690
1882.367,19.687,38.755,4.179,14.962,6.275,15.311,7.628,8.564,3.383,4.597,16.270,17.069,18.958,19.173,5.160,5.717
1882.383,19.753,38.760,4.211,15.028,6.287,15.366,7.659,8.596,3.397,4.615,16.348,17.134,19.027,19.240,5.183,5.745
1882.400,19.820,38.766,4.242,15.094,6.299,15.421,7.691,8.628,3.412,4.633,16.425,17.199,19.096,19.307,5.205,5.773
1882.417,19.887,38.772,4.273,15.160,6.311,15.476,7.723,8.660,3.427,4.651,16.503,17.264,19.165,19.374,5.228,5.801
1882.433,19.953,38.777,4.305,15.226,6.323,15.531,7.754,8.692,3.441,4.669,16.580,17.329,19.234,19.441,5.250,5.829
1882.450,20.020,38.783,4.336,15.292,6.335,15.585,7.785,8.724,3.456,4.687,16.657,17.395,19.303,19.509,5.272,5.857
1882.467,20.087,38.789,4.367,15.358,6.346,15.640,7.817,8.756,3.471,4.704,16.735,17.460,19.372,19.576,5.295,5.884
1882.483,20.153,38.794,4.399,15.424,6.358,15.695,7.848,8.788,3.485,4.722,16.812,17.525,19.441,19.643,5.317,5.912
1882.500,20.220,38.800,4.430,15.490,6.370,15.750,7.880,8.820,3.500,4.740,16.890,17.590,19.510,19.710,5.340,5.940
1882.517,20.254,38.651,4.494,15.540,6.347,15.778,7.894,8.837,3.511,4.752,16.941,17.624,19.526,19.741,5.351,5.961
1882.533,20.289,38.502,4.559,15.591,6.324,15.806,7.907,8.853,3.521,4.764,16.992,17.659,19.542,19.771,5.363,5.981
1882.550,20.323,38.353,4.623,15.641,6.301,15.835,7.921,8.870,3.532,4.776,17.044,17.693,19.558,19.802,5.374,6.002
1882.567,20.357,38.204,4.688,15.691,6.279,15.863,7.935,8.887,3.543,4.787,17.095,17.727,19.574,19.832,5.385,6.023
1882.583,20.392,38.055,4.752,15.742,6.256,15.891,7.948,8.903,3.553,4.799,17.146,17.762,19.590,19.863,5.397,6.043
1882.600,20.426,37.906,4.817,15.792,6.233,15.919,7.962,8.920,3.564,4.811,17.197,17.796,19.606,19.893,5.408,6.064
1882.617,20.460,37.757,4.881,15.842,6.210,15.947,7.976,8.937,3.575,4.823,17.248,17.830,19.622,19.924,5.419,6.085
1882.633,20.495,37.608,4.946,15.893,6.187,15.975,7.989,8.953,3.585,4.835,17.299,17.865,19.638,19.954,5.431,6.105
