HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,0.03,0.03,0.01,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.02,0.02,0.02,0.02,0.01,0.01
1881.5,0.06,0.06,0.02,0.03,0.01,0.04,0.01,0.02,0.01,0.01,0.03,0.04,0.03,0.04,0.01,0.01
1882.5,0.08,0.10,0.04,0.05,0.01,0.07,0.02,0.04,0.01,0.02,0.05,0.06,0.05,0.07,0.02,0.02
1883.5,0.10,0.11,0.05,0.07,0.01,0.09,0.03,0.05,0.01,0.03,0.07,0.09,0.06,0.09,0.02,0.03
1884.5,0.10,0.09,0.07,0.07,0.01,0.09,0.03,0.05,0.01,0.03,0.07,0.09,0.06,0.09,0.02,0.04
1885.5,0.09,0.07,0.08,0.07,0.01,0.08,0.02,0.05,0.01,0.03,0.06,0.08,0.06,0.08,0.02,0.03
1886.5,0.06,0.04,0.05,0.04,0.00,0.05,0.01,0.03,0.01,0.02,0.03,0.05,0.03,0.05,0.01,0.02
1887.5,0.04,0.03,0.03,0.02,0.00,0.03,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.03,0.01,0.01
1888.5,0.02,0.02,0.01,0.01,0.00,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.02,0.00,0.01
1889.5,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00
4112.5,0.03,0.03,0.02,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.02,0.02,0.02,0.02,0.01,0.01
4113.5,0.04,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.01,0.01
4114.5,0.05,0.05,0.03,0.03,0.01,0.04,0.01,0.02,0.01,0.01,0.03,0.04,0.03,0.04,0.01,0.01
