chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
2.794,2.016,0.789,1.104,0.517,1.291,0.358,0.263,0.377,1.154,0.811,1.482,0.474,0.445,1.467,1.399
4.479,3.243,1.291,1.897,0.877,2.141,0.565,0.431,0.596,1.921,1.39,2.499,0.806,0.686,2.421,2.249
5.364,4.158,1.86,2.516,1.208,2.829,0.798,0.62,0.74,2.663,1.841,3.397,1.126,0.933,3.249,3.097
5.406,4.753,2.462,3.092,1.337,3.062,0.946,0.648,0.684,3.147,2.075,3.888,1.433,1.026,3.77,3.705
4.523,4.802,2.99,3.179,1.32,2.969,0.951,0.753,0.504,3.141,2.121,3.775,1.435,1.135,3.617,3.651
3.477,4.18,3.007,2.878,1.104,2.357,0.865,0.637,0.345,2.608,1.79,3.196,1.316,0.999,2.996,3.153
2.44,3.004,2.337,2.144,0.764,1.765,0.609,0.484,0.269,1.913,1.388,2.512,1.037,0.771,2.358,2.408
1.686,1.983,1.401,1.353,0.502,1.11,0.397,0.312,0.178,1.146,0.929,1.561,0.67,0.496,1.528,1.612
1.109,1.2,0.838,0.782,0.294,0.703,0.234,0.192,0.129,0.689,0.515,0.974,0.39,0.287,0.933,0.924
0.57,0.58,0.359,0.348,0.149,0.341,0.109,0.083,0.066,0.331,0.247,0.454,0.181,0.13,0.439,0.415
2.692,2.053,0.966,1.249,0.579,1.332,0.398,0.281,0.323,1.217,0.884,1.663,0.556,0.504,1.521,1.506
3.399,2.634,1.185,1.682,0.75,1.851,0.535,0.357,0.434,1.633,1.171,2.11,0.747,0.63,1.992,2.006
3.974,3.091,1.586,2.107,0.881,2.182,0.642,0.471,0.514,2.086,1.442,2.657,0.919,0.747,2.407,2.517
3.796,3.18,1.865,2.364,1.02,2.29,0.747,0.498,0.447,2.098,1.465,2.92,1.117,0.787,2.526,2.702
3.26,3.213,2.142,2.417,0.929,2.139,0.699,0.506,0.419,2.169,1.558,2.85,1.113,0.822,2.666,2.729
2.76,2.955,2.049,2.227,0.802,1.91,0.643,0.476,0.301,1.926,1.36,2.542,1.052,0.757,2.294,2.48
2.152,2.389,1.71,1.737,0.606,1.496,0.58,0.389,0.24,1.529,1.088,2.052,0.838,0.584,1.883,1.996
1.788,1.817,1.269,1.359,0.486,1.131,0.387,0.274,0.201,1.104,0.829,1.558,0.623,0.452,1.382,1.563
1.469,1.474,0.972,0.962,0.393,0.852,0.284,0.22,0.165,0.887,0.644,1.178,0.471,0.356,1.156,1.156
1.142,1.13,0.671,0.701,0.299,0.661,0.215,0.167,0.136,0.672,0.483,0.884,0.336,0.256,0.853,0.819
3.342,2.424,0.942,1.363,0.643,1.462,0.415,0.307,0.462,1.428,0.961,1.754,0.619,0.5,1.722,1.6
5.066,3.685,1.484,2.239,1.04,2.381,0.656,0.461,0.668,2.257,1.583,2.802,0.953,0.817,2.757,2.622
5.794,4.522,2.109,2.976,1.351,3.119,0.909,0.708,0.749,3.048,2.1,3.832,1.283,1.082,3.714,3.39
5.482,5.043,2.788,3.254,1.481,3.225,1.011,0.742,0.686,3.349,2.254,4.011,1.483,1.265,4.001,3.864
4.452,4.869,3.325,3.348,1.31,3.072,0.966,0.72,0.511,3.161,2.186,3.863,1.484,1.195,3.816,3.762
3.512,3.989,3.037,2.781,0.997,2.41,0.846,0.623,0.349,2.546,1.846,3.107,1.354,0.983,3.099,3.084
2.36,2.87,2.212,1.994,0.681,1.637,0.58,0.431,0.243,1.779,1.397,2.313,0.978,0.74,2.232,2.285
1.635,1.833,1.335,1.246,0.46,1.071,0.383,0.278,0.178,1.08,0.84,1.55,0.612,0.448,1.397,1.491
1.005,1.087,0.756,0.711,0.271,0.623,0.205,0.172,0.115,0.636,0.473,0.872,0.342,0.264,0.844,0.833
0.454,0.455,0.282,0.278,0.116,0.255,0.084,0.069,0.053,0.251,0.188,0.342,0.13,0.101,0.333,0.326
0.401,0.347,0.189,0.231,0.098,0.228,0.07,0.048,0.046,0.216,0.149,0.273,0.099,0.08,0.265,0.266
3.306,2.436,0.941,1.367,0.685,1.568,0.422,0.32,0.444,1.454,1.027,1.783,0.552,0.508,1.808,1.576
4.678,3.945,1.731,2.227,1.084,2.319,0.668,0.491,0.587,2.243,1.67,2.659,0.899,0.832,2.941,2.515
4.745,4.675,2.52,2.63,1.342,2.611,0.834,0.642,0.591,2.83,1.862,3.122,1.179,1.045,3.566,3.012
4.093,4.551,3.023,2.933,1.25,2.662,0.834,0.69,0.464,2.762,1.845,3.198,1.24,0.999,3.417,3.104
2.948,3.724,2.805,2.319,0.931,2.038,0.688,0.586,0.315,2.087,1.582,2.611,1.026,0.84,2.757,2.606
1.802,2.232,1.86,1.445,0.561,1.284,0.436,0.381,0.185,1.375,0.997,1.732,0.693,0.549,1.747,1.66
0.593,0.613,0.414,0.428,0.17,0.376,0.123,0.095,0.07,0.384,0.269,0.509,0.197,0.152,0.483,0.484
0.004,0.004,0.002,0.003,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.003,0.001,0.001,0.002,0.003
0.004,0.004,0.002,0.003,0.001,0.002,0.001,0.0,0.001,0.001,0.001,0.003,0.001,0.001,0.002,0.003
