chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.04,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.01
0.06,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.02,0.01,0.02,0.01,0.01,0.02,0.02
0.07,0.04,0.02,0.03,0.01,0.03,0.01,0.01,0.01,0.03,0.02,0.03,0.01,0.01,0.03,0.03
0.09,0.05,0.02,0.03,0.01,0.04,0.01,0.01,0.01,0.03,0.02,0.04,0.02,0.01,0.04,0.04
0.11,0.07,0.03,0.04,0.02,0.04,0.01,0.01,0.01,0.04,0.03,0.05,0.02,0.02,0.05,0.05
0.12,0.08,0.03,0.05,0.02,0.05,0.02,0.01,0.01,0.05,0.03,0.07,0.02,0.02,0.06,0.06
0.14,0.09,0.04,0.06,0.03,0.06,0.02,0.01,0.01,0.06,0.04,0.08,0.03,0.02,0.07,0.07
0.16,0.11,0.05,0.07,0.03,0.07,0.02,0.01,0.02,0.07,0.05,0.09,0.03,0.02,0.08,0.08
0.17,0.12,0.05,0.08,0.03,0.08,0.02,0.02,0.02,0.08,0.05,0.10,0.03,0.03,0.09,0.09
0.19,0.14,0.06,0.08,0.04,0.09,0.03,0.02,0.02,0.09,0.06,0.11,0.04,0.03,0.10,0.10
0.21,0.15,0.06,0.09,0.04,0.10,0.03,0.02,0.02,0.09,0.06,0.12,0.04,0.03,0.11,0.11
0.22,0.16,0.07,0.10,0.04,0.11,0.03,0.02,0.02,0.10,0.07,0.13,0.05,0.04,0.12,0.12
0.24,0.18,0.08,0.11,0.05,0.12,0.04,0.02,0.03,0.11,0.07,0.14,0.05,0.04,0.13,0.13
0.26,0.19,0.08,0.12,0.05,0.13,0.04,0.03,0.03,0.12,0.08,0.15,0.05,0.04,0.14,0.14
0.27,0.20,0.09,0.13,0.05,0.13,0.04,0.03,0.03,0.13,0.09,0.16,0.06,0.05,0.15,0.15
0.29,0.22,0.09,0.14,0.06,0.14,0.04,0.03,0.03,0.14,0.09,0.18,0.06,0.05,0.16,0.16
0.31,0.23,0.10,0.14,0.06,0.15,0.05,0.03,0.04,0.15,0.10,0.19,0.06,0.05,0.17,0.17
0.32,0.24,0.10,0.15,0.06,0.16,0.05,0.03,0.04,0.16,0.10,0.20,0.07,0.05,0.18,0.18
0.34,0.26,0.11,0.16,0.07,0.17,0.05,0.03,0.04,0.16,0.11,0.21,0.07,0.06,0.19,0.19
0.36,0.27,0.12,0.17,0.07,0.18,0.05,0.04,0.04,0.17,0.11,0.22,0.08,0.06,0.20,0.20
0.37,0.28,0.12,0.18,0.08,0.19,0.06,0.04,0.04,0.18,0.12,0.23,0.08,0.06,0.21,0.21
0.39,0.30,0.13,0.19,0.08,0.20,0.06,0.04,0.05,0.19,0.13,0.24,0.08,0.07,0.22,0.22
0.41,0.31,0.13,0.20,0.08,0.21,0.06,0.04,0.05,0.20,0.13,0.25,0.09,0.07,0.23,0.23
0.42,0.32,0.14,0.20,0.09,0.22,0.07,0.04,0.05,0.21,0.14,0.26,0.09,0.07,0.24,0.24
0.44,0.34,0.15,0.21,0.09,0.22,0.07,0.05,0.05,0.22,0.14,0.27,0.09,0.08,0.25,0.25
0.46,0.35,0.15,0.22,0.09,0.23,0.07,0.05,0.05,0.22,0.15,0.28,0.10,0.08,0.26,0.26
0.47,0.36,0.16,0.23,0.10,0.24,0.07,0.05,0.06,0.23,0.15,0.30,0.10,0.08,0.28,0.27
0.49,0.38,0.16,0.24,0.10,0.25,0.08,0.05,0.06,0.24,0.16,0.31,0.11,0.08,0.29,0.28
0.51,0.39,0.17,0.25,0.10,0.26,0.08,0.05,0.06,0.25,0.17,0.32,0.11,0.09,0.30,0.29
0.52,0.41,0.17,0.25,0.11,0.27,0.08,0.05,0.06,0.26,0.17,0.33,0.11,0.09,0.31,0.30
0.54,0.42,0.18,0.26,0.11,0.28,0.08,0.06,0.06,0.27,0.18,0.34,0.12,0.09,0.32,0.31
0.56,0.43,0.19,0.27,0.11,0.29,0.09,0.06,0.07,0.28,0.18,0.35,0.12,0.10,0.33,0.32
