HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,0.81,1.02,0.35,0.51,0.12,0.61,0.21,0.34,0.11,0.18,0.52,0.59,0.54,0.66,0.16,0.23
1881.5,1.53,2.05,0.55,0.86,0.24,1.14,0.38,0.63,0.19,0.33,0.90,1.03,0.93,1.16,0.27,0.38
1882.5,2.14,3.24,0.88,1.47,0.36,2.01,0.62,1.24,0.31,0.67,1.56,2.04,1.56,2.30,0.49,0.81
1883.5,2.44,3.30,1.29,1.96,0.35,2.54,0.72,1.63,0.37,0.88,2.04,2.76,1.91,3.11,0.64,1.20
1884.5,2.45,2.44,1.74,2.04,0.24,2.47,0.71,1.64,0.39,0.90,1.95,2.77,1.73,3.09,0.63,1.32
1885.5,2.41,1.87,2.21,1.97,0.16,2.15,0.61,1.41,0.41,0.82,1.94,2.46,1.68,2.67,0.66,1.24
1886.5,1.38,1.11,1.21,1.06,0.11,1.19,0.33,0.80,0.24,0.46,0.95,1.35,0.95,1.46,0.37,0.69
1887.5,0.83,0.74,0.59,0.61,0.08,0.67,0.21,0.40,0.13,0.22,0.54,0.70,0.55,0.75,0.19,0.31
1888.5,0.54,0.51,0.35,0.39,0.06,0.42,0.14,0.24,0.08,0.13,0.35,0.44,0.36,0.47,0.12,0.19
1889.5,0.28,0.28,0.18,0.20,0.03,0.22,0.08,0.13,0.04,0.07,0.19,0.22,0.19,0.24,0.06,0.10
4112.5,0.91,1.23,0.42,0.65,0.16,0.71,0.27,0.40,0.14,0.21,0.61,0.74,0.67,0.81,0.20,0.28
4113.5,1.50,2.37,0.57,1.11,0.33,1.21,0.49,0.69,0.24,0.37,1.17,1.26,1.25,1.43,0.36,0.47
4114.5,1.99,3.07,0.77,1.51,0.44,1.62,0.68,0.93,0.33,0.50,1.68,1.69,1.72,1.94,0.51,0.66
4115.5,2.23,2.80,1.09,1.75,0.38,1.78,0.75,1.02,0.38,0.56,1.98,1.88,1.86,2.12,0.59,0.77
