HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5,0.95,2.00,0.15,0.54,0.23,0.75,0.26,0.41,0.11,0.21,0.67,0.66,0.73,0.86,0.19,0.24
9.5,5.11,9.78,0.73,2.72,1.28,3.86,1.41,2.07,0.59,1.07,3.55,3.29,3.85,4.23,1.01,1.21
10.5,10.15,15.93,2.50,5.95,2.35,7.94,3.25,4.41,1.40,2.33,7.96,6.71,7.77,8.03,2.23,2.55
11.5,11.97,14.05,5.13,7.84,2.01,9.33,4.09,5.32,1.89,2.88,9.42,8.54,8.69,9.20,2.63,3.17
12.5,12.44,9.61,9.05,8.67,0.97,9.28,3.93,5.33,2.06,2.89,9.56,8.86,8.18,9.01,2.68,3.39
13.5,9.48,4.95,10.06,7.01,0.25,7.25,2.30,4.34,1.63,2.40,7.29,6.93,6.05,7.12,2.24,3.08
14.5,3.50,1.63,3.76,2.80,0.08,3.16,0.65,2.06,0.66,1.19,2.77,3.24,2.52,3.84,1.09,1.94
15.5,0.62,0.40,0.53,0.52,0.03,0.61,0.13,0.44,0.12,0.27,0.48,0.76,0.50,1.07,0.24,0.61
16.5,0.08,0.07,0.06,0.06,0.01,0.06,0.02,0.04,0.01,0.02,0.05,0.06,0.05,0.07,0.02,0.03
17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,0.95,1.99,0.15,0.53,0.23,0.75,0.25,0.41,0.11,0.21,0.67,0.65,0.73,0.85,0.19,0.24
33.5,5.09,9.74,0.72,2.71,1.27,3.84,1.40,2.06,0.59,1.06,3.54,3.27,3.83,4.21,1.00,1.20
34.5,10.17,15.98,2.50,5.96,2.36,7.95,3.26,4.43,1.40,2.34,7.98,6.73,7.79,8.05,2.24,2.55
35.5,11.96,14.07,5.12,7.83,2.01,9.33,4.09,5.32,1.88,2.88,9.42,8.53,8.69,9.20,2.63,3.17
36.5,12.46,9.65,9.05,8.68,0.98,9.30,3.94,5.34,2.06,2.90,9.58,8.88,8.20,9.04,2.69,3.40
37.5,9.54,4.99,10.11,7.05,0.26,7.28,2.32,4.36,1.64,2.41,7.33,6.96,6.08,7.14,2.25,3.09
38.5,3.54,1.66,3.81,2.83,0.08,3.20,0.66,2.08,0.67,1.20,2.81,3.27,2.55,3.88,1.11,1.96
39.5,0.64,0.41,0.55,0.54,0.04,0.63,0.13,0.45,0.12,0.28,0.49,0.78,0.51,1.09,0.25,0.62
40.5,0.08,0.07,0.06,0.06,0.01,0.06,0.02,0.04,0.01,0.02,0.05,0.07,0.05,0.08,0.02,0.03
41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
