HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5,0.13,0.18,0.06,0.09,0.02,0.10,0.04,0.06,0.02,0.03,0.09,0.10,0.09,0.11,0.03,0.04
9.5,1.07,1.61,0.35,0.63,0.21,0.82,0.30,0.45,0.14,0.24,0.74,0.74,0.77,0.87,0.22,0.28
10.5,2.24,3.10,0.80,1.37,0.43,1.74,0.68,0.98,0.31,0.52,1.66,1.56,1.63,1.79,0.48,0.60
11.5,2.98,3.35,1.45,1.96,0.45,2.32,0.94,1.32,0.46,0.71,2.23,2.17,2.11,2.34,0.65,0.83
12.5,3.12,2.64,2.16,2.16,0.28,2.37,0.93,1.36,0.50,0.74,2.31,2.28,2.07,2.37,0.68,0.90
13.5,2.34,1.60,2.09,1.68,0.14,1.81,0.59,1.07,0.38,0.59,1.72,1.76,1.52,1.83,0.54,0.76
14.5,1.10,0.78,0.94,0.81,0.07,0.91,0.26,0.55,0.18,0.31,0.79,0.91,0.74,1.01,0.28,0.45
15.5,0.41,0.34,0.31,0.30,0.04,0.33,0.10,0.20,0.07,0.11,0.28,0.34,0.28,0.39,0.10,0.17
16.5,0.03,0.03,0.02,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.02,0.02,0.02,0.02,0.01,0.01
17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.5,0.13,0.18,0.06,0.09,0.02,0.10,0.04,0.06,0.02,0.03,0.09,0.10,0.09,0.11,0.03,0.04
33.5,1.09,1.65,0.35,0.64,0.21,0.83,0.30,0.46,0.14,0.24,0.75,0.75,0.78,0.88,0.22,0.28
34.5,2.27,3.15,0.80,1.38,0.44,1.77,0.69,0.99,0.32,0.53,1.68,1.57,1.66,1.81,0.49,0.61
35.5,3.04,3.43,1.47,2.00,0.46,2.37,0.96,1.35,0.46,0.73,2.28,2.21,2.15,2.38,0.66,0.85
36.5,3.18,2.69,2.21,2.20,0.29,2.42,0.95,1.39,0.51,0.75,2.36,2.33,2.11,2.42,0.69,0.92
37.5,2.40,1.63,2.15,1.73,0.14,1.85,0.61,1.09,0.39,0.60,1.76,1.80,1.55,1.87,0.55,0.78
38.5,1.13,0.79,0.96,0.83,0.07,0.93,0.26,0.56,0.19,0.32,0.81,0.93,0.76,1.04,0.29,0.46
39.5,0.42,0.34,0.31,0.30,0.04,0.34,0.10,0.20,0.07,0.11,0.29,0.35,0.28,0.39,0.10,0.17
40.5,0.03,0.03,0.02,0.02,0.00,0.02,0.01,0.01,0.00,0.01,0.02,0.03,0.02,0.03,0.01,0.01
41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
