chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
3.42,2.394,0.924,1.423,0.636,1.49,0.431,0.317,0.426,1.377,0.997,1.74,0.586,0.49,1.76,1.613
5.032,3.467,1.416,2.062,1.007,2.334,0.672,0.465,0.65,2.127,1.429,2.629,0.885,0.771,2.616,2.411
5.733,4.351,1.903,2.723,1.26,2.849,0.853,0.624,0.694,2.787,1.9,3.316,1.174,0.944,3.38,3.182
5.409,4.725,2.53,3.04,1.378,3.069,0.925,0.689,0.663,3.009,2.091,3.819,1.376,1.121,3.714,3.635
4.503,4.798,3.038,3.254,1.315,2.912,0.975,0.718,0.533,3.031,2.095,3.753,1.476,1.119,3.596,3.601
3.417,4.1,3.036,2.77,1.052,2.391,0.823,0.658,0.354,2.688,1.861,3.217,1.307,1.001,3.215,3.145
2.485,3.182,2.365,2.272,0.765,1.86,0.661,0.487,0.263,1.917,1.432,2.642,1.029,0.782,2.444,2.504
1.816,2.216,1.657,1.506,0.556,1.273,0.44,0.36,0.205,1.299,0.998,1.826,0.794,0.548,1.72,1.791
1.336,1.447,1.011,0.963,0.361,0.83,0.286,0.209,0.153,0.858,0.656,1.241,0.506,0.364,1.096,1.146
0.81,0.782,0.521,0.491,0.202,0.451,0.156,0.124,0.087,0.466,0.355,0.632,0.243,0.186,0.6,0.61
2.652,2.061,0.942,1.275,0.563,1.388,0.384,0.277,0.345,1.183,0.86,1.584,0.558,0.469,1.535,1.501
3.182,2.527,1.181,1.55,0.704,1.665,0.504,0.336,0.396,1.553,1.065,1.904,0.685,0.572,1.997,1.849
3.573,2.82,1.449,1.878,0.804,1.926,0.558,0.398,0.444,1.806,1.241,2.395,0.808,0.646,2.248,2.287
3.397,2.887,1.718,2.106,0.905,2.093,0.621,0.495,0.407,1.944,1.313,2.53,0.975,0.705,2.441,2.523
2.99,2.899,1.875,2.159,0.812,1.904,0.627,0.47,0.318,1.872,1.327,2.473,0.979,0.704,2.265,2.47
2.57,2.666,1.921,1.981,0.716,1.623,0.578,0.401,0.284,1.669,1.21,2.318,0.95,0.694,2.29,2.206
2.088,2.287,1.595,1.625,0.56,1.354,0.443,0.362,0.22,1.393,1.045,1.889,0.798,0.54,1.952,1.915
1.774,1.848,1.293,1.252,0.466,1.079,0.367,0.279,0.201,1.102,0.815,1.488,0.621,0.456,1.398,1.505
1.536,1.493,1.019,1.133,0.384,0.897,0.296,0.226,0.177,0.878,0.661,1.272,0.495,0.346,1.157,1.14
1.255,1.196,0.769,0.785,0.321,0.715,0.233,0.188,0.147,0.702,0.537,0.93,0.387,0.275,0.959,0.9
3.198,2.231,0.819,1.278,0.59,1.473,0.397,0.291,0.416,1.259,0.876,1.661,0.521,0.469,1.652,1.505
4.287,3.209,1.184,1.787,0.852,2.021,0.57,0.402,0.561,1.837,1.327,2.324,0.773,0.651,2.387,2.185
4.77,3.874,1.682,2.215,1.02,2.419,0.68,0.524,0.582,2.316,1.611,2.788,0.961,0.856,2.828,2.695
4.132,3.992,2.112,2.554,1.116,2.494,0.765,0.583,0.502,2.498,1.712,2.952,1.148,0.892,3.019,2.932
3.505,3.765,2.499,2.493,1.011,2.235,0.73,0.575,0.395,2.476,1.639,2.952,1.123,0.913,2.895,2.885
2.658,3.187,2.426,2.055,0.795,1.859,0.636,0.503,0.278,1.909,1.379,2.4,1.046,0.761,2.424,2.403
1.97,2.39,1.813,1.56,0.561,1.301,0.459,0.392,0.206,1.402,1.058,1.909,0.803,0.593,1.796,1.906
1.425,1.633,1.18,1.082,0.392,0.887,0.31,0.24,0.151,0.934,0.726,1.325,0.54,0.379,1.278,1.278
1.022,1.092,0.712,0.685,0.279,0.605,0.203,0.165,0.115,0.6,0.48,0.879,0.34,0.262,0.827,0.831
0.537,0.558,0.333,0.339,0.144,0.309,0.099,0.08,0.06,0.309,0.232,0.41,0.165,0.123,0.429,0.39
1.278,0.892,0.319,0.488,0.243,0.549,0.154,0.115,0.183,0.523,0.34,0.623,0.209,0.189,0.649,0.567
3.522,2.401,0.859,1.306,0.653,1.493,0.435,0.317,0.455,1.427,0.941,1.633,0.531,0.493,1.793,1.533
4.373,3.59,1.544,1.987,0.992,2.182,0.604,0.465,0.601,2.009,1.406,2.272,0.79,0.716,2.584,2.746
4.009,4.126,2.296,2.234,1.108,2.31,0.718,0.564,0.539,2.264,1.623,2.584,0.96,0.861,3.013,2.55
3.266,4.059,2.714,2.318,1.057,2.11,0.685,0.585,0.366,2.186,1.615,2.536,0.983,0.8,2.84,2.502
2.347,3.297,2.635,2.035,0.815,1.665,0.522,0.488,0.234,1.768,1.32,2.079,0.868,0.685,2.398,2.148
1.443,2.01,1.705,1.269,0.465,1.089,0.378,0.329,0.143,1.087,0.933,1.507,0.667,0.489,1.587,1.484
0.733,0.914,0.689,0.58,0.224,0.501,0.176,0.149,0.077,0.525,0.417,0.747,0.308,0.221,0.718,0.693
0.004,0.004,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.002,0.003
0.004,0.004,0.002,0.003,0.001,0.002,0.001,0.0,0.0,0.001,0.001,0.003,0.001,0.001,0.002,0.003
