HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1879.52,0.04,0.06,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.03,0.01,0.01
1879.53,0.08,0.11,0.03,0.05,0.01,0.06,0.02,0.03,0.01,0.02,0.05,0.05,0.05,0.06,0.01,0.02
1879.55,0.12,0.17,0.05,0.07,0.02,0.09,0.03,0.05,0.02,0.02,0.07,0.08,0.07,0.09,0.02,0.03
1879.57,0.16,0.23,0.06,0.09,0.03,0.12,0.04,0.07,0.02,0.03,0.09,0.11,0.10,0.12,0.03,0.04
1879.58,0.20,0.29,0.08,0.12,0.04,0.15,0.05,0.08,0.03,0.04,0.11,0.13,0.12,0.14,0.04,0.05
1879.60,0.24,0.34,0.09,0.14,0.04,0.18,0.06,0.10,0.03,0.05,0.14,0.16,0.15,0.17,0.04,0.06
1879.62,0.28,0.40,0.11,0.17,0.05,0.21,0.07,0.12,0.04,0.06,0.16,0.19,0.17,0.20,0.05,0.07
1879.63,0.32,0.46,0.12,0.19,0.06,0.23,0.09,0.13,0.04,0.07,0.18,0.21,0.20,0.23,0.06,0.08
1879.65,0.36,0.51,0.14,0.21,0.06,0.26,0.10,0.15,0.05,0.07,0.21,0.24,0.22,0.26,0.06,0.09
1879.67,0.40,0.57,0.15,0.24,0.07,0.29,0.11,0.17,0.05,0.08,0.23,0.27,0.25,0.29,0.07,0.10
1879.68,0.44,0.63,0.17,0.26,0.08,0.32,0.12,0.18,0.06,0.09,0.25,0.30,0.27,0.32,0.08,0.11
1879.70,0.48,0.68,0.18,0.28,0.09,0.35,0.13,0.20,0.06,0.10,0.28,0.32,0.30,0.35,0.09,0.12
1879.72,0.52,0.74,0.20,0.31,0.09,0.38,0.14,0.22,0.07,0.11,0.30,0.35,0.32,0.38,0.09,0.13
1879.73,0.56,0.80,0.21,0.33,0.10,0.41,0.15,0.23,0.07,0.11,0.32,0.38,0.35,0.41,0.10,0.14
1879.75,0.60,0.85,0.23,0.35,0.11,0.44,0.16,0.25,0.08,0.12,0.34,0.40,0.37,0.43,0.11,0.15
1879.77,0.64,0.91,0.25,0.38,0.11,0.47,0.17,0.27,0.09,0.13,0.37,0.43,0.40,0.46,0.11,0.16
1879.78,0.68,0.97,0.26,0.40,0.12,0.50,0.18,0.28,0.09,0.14,0.39,0.46,0.42,0.49,0.12,0.17
1879.80,0.72,1.03,0.28,0.43,0.13,0.53,0.19,0.30,0.10,0.15,0.41,0.48,0.45,0.52,0.13,0.18
1879.82,0.76,1.08,0.29,0.45,0.14,0.56,0.20,0.32,0.10,0.16,0.44,0.51,0.47,0.55,0.14,0.19
1879.83,0.80,1.14,0.31,0.47,0.14,0.59,0.21,0.33,0.11,0.16,0.46,0.54,0.50,0.58,0.14,0.20
1879.85,0.84,1.20,0.32,0.50,0.15,0.62,0.22,0.35,0.11,0.17,0.48,0.56,0.52,0.61,0.15,0.21
1879.87,0.88,1.25,0.34,0.52,0.16,0.65,0.23,0.37,0.12,0.18,0.51,0.59,0.55,0.64,0.16,0.22
1879.88,0.92,1.31,0.35,0.54,0.16,0.67,0.25,0.38,0.12,0.19,0.53,0.62,0.57,0.67,0.16,0.23
1879.90,0.96,1.37,0.37,0.57,0.17,0.70,0.26,0.40,0.13,0.20,0.55,0.64,0.60,0.70,0.17,0.24
1879.92,1.00,1.43,0.38,0.59,0.18,0.73,0.27,0.42,0.13,0.20,0.57,0.67,0.62,0.72,0.18,0.25
1879.93,1.04,1.48,0.40,0.62,0.19,0.76,0.28,0.43,0.14,0.21,0.60,0.70,0.65,0.75,0.19,0.26
1879.95,1.08,1.54,0.41,0.64,0.19,0.79,0.29,0.45,0.14,0.22,0.62,0.72,0.67,0.78,0.19,0.27
1879.97,1.12,1.60,0.43,0.66,0.20,0.82,0.30,0.47,0.15,0.23,0.64,0.75,0.70,0.81,0.20,0.28
1879.98,1.16,1.65,0.44,0.69,0.21,0.85,0.31,0.48,0.15,0.24,0.67,0.78,0.72,0.84,0.21,0.29
1880.00,1.20,1.71,0.46,0.71,0.21,0.88,0.32,0.50,0.16,0.24,0.69,0.81,0.74,0.87,0.21,0.29
1880.02,1.23,1.77,0.48,0.73,0.22,0.91,0.33,0.52,0.17,0.25,0.71,0.83,0.77,0.90,0.22,0.30
1880.03,1.27,1.82,0.49,0.76,0.23,0.94,0.34,0.53,0.17,0.26,0.74,0.86,0.79,0.93,0.23,0.31
1880.05,1.31,1.88,0.51,0.78,0.24,0.97,0.35,0.55,0.18,0.27,0.76,0.89,0.82,0.96,0.24,0.32
1880.07,1.35,1.94,0.52,0.80,0.24,1.00,0.36,0.57,0.18,0.28,0.78,0.91,0.84,0.99,0.24,0.33
1880.08,1.39,2.00,0.54,0.83,0.25,1.03,0.37,0.58,0.19,0.29,0.80,0.94,0.87,1.01,0.25,0.34
1880.10,1.43,2.05,0.55,0.85,0.26,1.06,0.38,0.60,0.19,0.29,0.83,0.97,0.89,1.04,0.26,0.35
1880.12,1.47,2.11,0.57,0.88,0.27,1.09,0.39,0.62,0.20,0.30,0.85,0.99,0.92,1.07,0.27,0.36
1880.13,1.51,2.17,0.58,0.90,0.27,1.11,0.41,0.63,0.20,0.31,0.87,1.02,0.94,1.10,0.27,0.37
1880.15,1.55,2.22,0.60,0.92,0.28,1.14,0.42,0.65,0.21,0.32,0.90,1.05,0.97,1.13,0.28,0.38
1880.17,1.59,2.28,0.61,0.95,0.29,1.17,0.43,0.67,0.21,0.33,0.92,1.07,0.99,1.16,0.29,0.39
1880.18,1.63,2.34,0.63,0.97,0.29,1.20,0.44,0.68,0.22,0.33,0.94,1.10,1.02,1.19,0.29,0.40
1880.20,1.67,2.39,0.64,0.99,0.30,1.23,0.45,0.70,0.22,0.34,0.97,1.13,1.04,1.22,0.30,0.41
1880.22,1.71,2.45,0.66,1.02,0.31,1.26,0.46,0.72,0.23,0.35,0.99,1.15,1.07,1.25,0.31,0.42
1880.23,1.75,2.51,0.67,1.04,0.32,1.29,0.47,0.73,0.23,0.36,1.01,1.18,1.09,1.28,0.32,0.43
1880.25,1.79,2.56,0.69,1.06,0.32,1.32,0.48,0.75,0.24,0.37,1.03,1.21,1.12,1.30,0.32,0.44
1880.27,1.83,2.62,0.71,1.09,0.33,1.35,0.49,0.77,0.25,0.38,1.06,1.23,1.14,1.33,0.33,0.45
1880.28,1.87,2.68,0.72,1.11,0.34,1.38,0.50,0.78,0.25,0.38,1.08,1.26,1.17,1.36,0.34,0.46
1880.30,1.91,2.74,0.74,1.14,0.34,1.41,0.51,0.80,0.26,0.39,1.10,1.29,1.19,1.39,0.34,0.47
1880.32,1.95,2.79,0.75,1.16,0.35,1.44,0.52,0.82,0.26,0.40,1.13,1.31,1.22,1.42,0.35,0.48
1880.33,1.99,2.85,0.77,1.18,0.36,1.47,0.53,0.83,0.27,0.41,1.15,1.34,1.24,1.45,0.36,0.49
1880.35,2.03,2.91,0.78,1.21,0.37,1.50,0.54,0.85,0.27,0.42,1.17,1.37,1.27,1.48,0.37,0.50
1880.37,2.07,2.96,0.80,1.23,0.37,1.53,0.55,0.87,0.28,0.42,1.20,1.40,1.29,1.51,0.37,0.51
1880.38,2.11,3.02,0.81,1.25,0.38,1.55,0.57,0.88,0.28,0.43,1.22,1.42,1.32,1.54,0.38,0.52
1880.40,2.15,3.08,0.83,1.28,0.39,1.58,0.58,0.90,0.29,0.44,1.24,1.45,1.34,1.57,0.39,0.53
1880.42,2.19,3.13,0.84,1.30,0.39,1.61,0.59,0.92,0.29,0.45,1.26,1.48,1.37,1.59,0.39,0.54
1880.43,2.23,3.19,0.86,1.33,0.40,1.64,0.60,0.93,0.30,0.46,1.29,1.50,1.39,1.62,0.40,0.55
1880.45,2.27,3.25,0.87,1.35,0.41,1.67,0.61,0.95,0.30,0.47,1.31,1.53,1.42,1.65,0.41,0.56
1880.47,2.31,3.31,0.89,1.37,0.42,1.70,0.62,0.97,0.31,0.47,1.33,1.56,1.44,1.68,0.42,0.57
1880.48,2.35,3.36,0.90,1.40,0.42,1.73,0.63,0.98,0.31,0.48,1.36,1.58,1.47,1.71,0.42,0.58
1880.50,2.39,3.42,0.92,1.42,0.43,1.76,0.64,1.00,0.32,0.49,1.38,1.61,1.49,1.74,0.43,0.59
1880.52,2.41,3.45,0.93,1.43,0.43,1.77,0.65,1.01,0.32,0.49,1.39,1.62,1.50,1.75,0.43,0.59
1880.53,2.43,3.47,0.94,1.44,0.44,1.79,0.65,1.01,0.33,0.50,1.40,1.64,1.52,1.77,0.44,0.60
1880.55,2.44,3.50,0.95,1.45,0.44,1.80,0.66,1.02,0.33,0.50,1.42,1.65,1.53,1.78,0.44,0.60
1880.57,2.46,3.53,0.95,1.46,0.44,1.82,0.66,1.03,0.33,0.51,1.43,1.66,1.55,1.80,0.45,0.61
1880.58,2.48,3.55,0.96,1.47,0.45,1.83,0.67,1.04,0.33,0.51,1.44,1.68,1.56,1.81,0.45,0.61
1880.60,2.50,3.58,0.97,1.48,0.45,1.85,0.68,1.04,0.34,0.52,1.45,1.69,1.57,1.83,0.45,0.62
1880.62,2.52,3.61,0.98,1.49,0.46,1.86,0.68,1.05,0.34,0.52,1.47,1.70,1.59,1.84,0.46,0.62
1880.63,2.53,3.63,0.99,1.51,0.46,1.87,0.69,1.06,0.34,0.53,1.48,1.72,1.60,1.86,0.46,0.63
1880.65,2.55,3.66,0.99,1.52,0.46,1.89,0.70,1.06,0.34,0.53,1.49,1.73,1.62,1.87,0.47,0.64
1880.67,2.57,3.69,1.00,1.53,0.47,1.90,0.70,1.07,0.34,0.54,1.50,1.74,1.63,1.89,0.47,0.64
1880.68,2.59,3.72,1.01,1.54,0.47,1.92,0.71,1.08,0.35,0.54,1.52,1.76,1.64,1.90,0.47,0.65
1880.70,2.61,3.74,1.02,1.55,0.47,1.93,0.71,1.09,0.35,0.55,1.53,1.77,1.66,1.92,0.48,0.65
1880.72,2.62,3.77,1.03,1.56,0.48,1.95,0.72,1.09,0.35,0.55,1.54,1.78,1.67,1.93,0.48,0.66
1880.73,2.64,3.80,1.04,1.57,0.48,1.96,0.73,1.10,0.35,0.56,1.55,1.80,1.69,1.95,0.49,0.66
1880.75,2.66,3.82,1.04,1.58,0.48,1.98,0.73,1.11,0.36,0.56,1.57,1.81,1.70,1.96,0.49,0.67
1880.77,2.68,3.85,1.05,1.59,0.49,1.99,0.74,1.11,0.36,0.56,1.58,1.82,1.71,1.98,0.49,0.67
1880.78,2.70,3.88,1.06,1.60,0.49,2.00,0.74,1.12,0.36,0.57,1.59,1.84,1.73,1.99,0.50,0.67
1880.80,2.71,3.90,1.07,1.61,0.50,2.02,0.75,1.13,0.36,0.57,1.60,1.85,1.74,2.01,0.50,0.68
1880.82,2.73,3.93,1.08,1.62,0.50,2.03,0.76,1.14,0.37,0.58,1.62,1.86,1.76,2.02,0.51,0.68
1880.83,2.75,3.96,1.09,1.63,0.50,2.05,0.76,1.14,0.37,0.58,1.63,1.88,1.77,2.04,0.51,0.69
1880.85,2.77,3.98,1.09,1.64,0.51,2.06,0.77,1.15,0.37,0.59,1.64,1.89,1.78,2.05,0.51,0.69
1880.87,2.79,4.01,1.10,1.65,0.51,2.08,0.78,1.16,0.38,0.59,1.65,1.90,1.80,2.07,0.52,0.70
1880.88,2.80,4.04,1.11,1.67,0.51,2.09,0.78,1.16,0.38,0.60,1.67,1.92,1.81,2.08,0.52,0.70
1880.90,2.82,4.06,1.12,1.68,0.52,2.10,0.79,1.17,0.38,0.60,1.68,1.93,1.83,2.10,0.53,0.71
1880.92,2.84,4.09,1.13,1.69,0.52,2.12,0.79,1.18,0.38,0.61,1.69,1.94,1.84,2.11,0.53,0.71
1880.93,2.86,4.12,1.14,1.70,0.53,2.13,0.80,1.19,0.39,0.61,1.70,1.96,1.85,2.13,0.53,0.72
1880.95,2.88,4.14,1.15,1.71,0.53,2.15,0.81,1.19,0.39,0.62,1.72,1.97,1.87,2.14,0.54,0.72
1880.97,2.89,4.17,1.15,1.72,0.53,2.16,0.81,1.20,0.39,0.62,1.73,1.98,1.88,2.16,0.54,0.73
1880.98,2.91,4.20,1.16,1.73,0.54,2.18,0.82,1.21,0.39,0.63,1.74,2.00,1.90,2.17,0.55,0.73
1881.00,2.93,4.22,1.17,1.74,0.54,2.19,0.82,1.21,0.40,0.63,1.75,2.01,1.91,2.19,0.55,0.74
1881.02,2.95,4.25,1.18,1.75,0.54,2.20,0.83,1.22,0.40,0.63,1.77,2.02,1.92,2.20,0.55,0.74
1881.03,2.97,4.28,1.19,1.76,0.55,2.22,0.84,1.23,0.40,0.64,1.78,2.04,1.94,2.21,0.56,0.75
1881.05,2.98,4.31,1.20,1.77,0.55,2.23,0.84,1.24,0.40,0.64,1.79,2.05,1.95,2.23,0.56,0.76
1881.07,3.00,4.33,1.20,1.78,0.55,2.25,0.85,1.24,0.40,0.65,1.80,2.06,1.97,2.24,0.57,0.76
1881.08,3.02,4.36,1.21,1.79,0.56,2.26,0.86,1.25,0.41,0.65,1.82,2.08,1.98,2.26,0.57,0.77
1881.10,3.04,4.39,1.22,1.80,0.56,2.28,0.86,1.26,0.41,0.66,1.83,2.09,1.99,2.27,0.57,0.77
1881.12,3.06,4.41,1.23,1.81,0.57,2.29,0.87,1.27,0.41,0.66,1.84,2.10,2.01,2.29,0.58,0.78
1881.13,3.07,4.44,1.24,1.83,0.57,2.30,0.87,1.27,0.41,0.67,1.85,2.12,2.02,2.30,0.58,0.78
1881.15,3.09,4.47,1.25,1.84,0.57,2.32,0.88,1.28,0.42,0.67,1.87,2.13,2.04,2.32,0.59,0.78
1881.17,3.11,4.49,1.25,1.85,0.58,2.33,0.89,1.29,0.42,0.68,1.88,2.14,2.05,2.33,0.59,0.79
1881.18,3.13,4.52,1.26,1.86,0.58,2.35,0.89,1.29,0.42,0.68,1.89,2.16,2.06,2.35,0.59,0.80
1881.20,3.15,4.55,1.27,1.87,0.58,2.36,0.90,1.30,0.42,0.69,1.90,2.17,2.08,2.36,0.60,0.80
1881.22,3.16,4.57,1.28,1.88,0.59,2.38,0.91,1.31,0.43,0.69,1.92,2.18,2.09,2.38,0.60,0.80
1881.23,3.18,4.60,1.29,1.89,0.59,2.39,0.91,1.32,0.43,0.70,1.93,2.20,2.11,2.39,0.61,0.81
1881.25,3.20,4.63,1.29,1.90,0.59,2.41,0.92,1.32,0.43,0.70,1.94,2.21,2.12,2.41,0.61,0.81
1881.27,3.22,4.65,1.30,1.91,0.60,2.42,0.92,1.33,0.43,0.70,1.95,2.22,2.13,2.42,0.61,0.82
1881.28,3.24,4.68,1.31,1.92,0.60,2.43,0.93,1.34,0.44,0.71,1.97,2.24,2.15,2.44,0.62,0.82
1881.30,3.25,4.71,1.32,1.93,0.61,2.45,0.94,1.34,0.44,0.71,1.98,2.25,2.16,2.45,0.62,0.83
1881.32,3.27,4.73,1.33,1.94,0.61,2.46,0.94,1.35,0.44,0.72,1.99,2.26,2.18,2.47,0.63,0.83
1881.33,3.29,4.76,1.34,1.95,0.61,2.48,0.95,1.36,0.44,0.72,2.00,2.28,2.19,2.48,0.63,0.84
1881.35,3.31,4.79,1.34,1.96,0.62,2.49,0.95,1.37,0.45,0.73,2.02,2.29,2.20,2.50,0.63,0.84
1881.37,3.33,4.82,1.35,1.97,0.62,2.51,0.96,1.37,0.45,0.73,2.03,2.30,2.22,2.51,0.64,0.85
1881.38,3.34,4.84,1.36,1.99,0.62,2.52,0.97,1.38,0.45,0.74,2.04,2.32,2.23,2.53,0.64,0.85
1881.40,3.36,4.87,1.37,2.00,0.63,2.53,0.97,1.39,0.45,0.74,2.05,2.33,2.25,2.54,0.65,0.86
1881.42,3.38,4.90,1.38,2.01,0.63,2.55,0.98,1.39,0.46,0.75,2.07,2.34,2.26,2.56,0.65,0.86
1881.43,3.40,4.92,1.39,2.02,0.64,2.56,0.99,1.40,0.46,0.75,2.08,2.36,2.27,2.57,0.65,0.87
1881.45,3.42,4.95,1.40,2.03,0.64,2.58,0.99,1.41,0.46,0.76,2.09,2.37,2.29,2.59,0.66,0.88
1881.47,3.43,4.98,1.40,2.04,0.64,2.59,1.00,1.42,0.46,0.76,2.10,2.38,2.30,2.60,0.66,0.88
1881.48,3.45,5.00,1.41,2.05,0.65,2.61,1.00,1.42,0.47,0.77,2.12,2.40,2.32,2.62,0.67,0.89
1881.50,3.47,5.03,1.42,2.06,0.65,2.62,1.01,1.43,0.47,0.77,2.13,2.41,2.33,2.63,0.67,0.89
1881.52,3.48,5.04,1.43,2.07,0.65,2.63,1.01,1.44,0.47,0.77,2.14,2.42,2.34,2.64,0.67,0.89
1881.53,3.50,5.05,1.44,2.08,0.65,2.65,1.02,1.45,0.47,0.78,2.15,2.44,2.35,2.65,0.68,0.90
1881.55,3.51,5.07,1.44,2.09,0.65,2.66,1.02,1.45,0.48,0.78,2.16,2.45,2.36,2.66,0.68,0.90
1881.57,3.53,5.08,1.45,2.10,0.65,2.67,1.03,1.46,0.48,0.78,2.17,2.46,2.36,2.68,0.68,0.91
1881.58,3.54,5.09,1.46,2.12,0.65,2.68,1.03,1.47,0.48,0.78,2.19,2.47,2.37,2.69,0.69,0.91
1881.60,3.56,5.10,1.47,2.13,0.65,2.70,1.03,1.48,0.48,0.79,2.20,2.49,2.38,2.70,0.69,0.92
1881.62,3.57,5.11,1.48,2.14,0.65,2.71,1.04,1.48,0.49,0.79,2.21,2.50,2.39,2.71,0.69,0.92
1881.63,3.59,5.12,1.48,2.15,0.66,2.72,1.04,1.49,0.49,0.79,2.22,2.51,2.40,2.72,0.69,0.93
1881.65,3.60,5.14,1.49,2.16,0.66,2.73,1.05,1.50,0.49,0.80,2.23,2.53,2.41,2.73,0.70,0.93
1881.67,3.62,5.15,1.50,2.17,0.66,2.75,1.05,1.51,0.49,0.80,2.24,2.54,2.42,2.75,0.70,0.94
1881.68,3.63,5.16,1.51,2.18,0.66,2.76,1.06,1.52,0.50,0.80,2.25,2.55,2.43,2.76,0.70,0.94
1881.70,3.65,5.17,1.52,2.19,0.66,2.77,1.06,1.52,0.50,0.80,2.26,2.56,2.43,2.77,0.71,0.95
1881.72,3.66,5.18,1.52,2.20,0.66,2.78,1.06,1.53,0.50,0.81,2.27,2.58,2.44,2.78,0.71,0.95
1881.73,3.68,5.19,1.53,2.21,0.66,2.80,1.07,1.54,0.51,0.81,2.28,2.59,2.45,2.79,0.71,0.96
1881.75,3.69,5.21,1.54,2.23,0.66,2.81,1.07,1.55,0.51,0.81,2.29,2.60,2.46,2.80,0.72,0.96
1881.77,3.70,5.22,1.55,2.24,0.66,2.82,1.08,1.56,0.51,0.82,2.31,2.62,2.47,2.81,0.72,0.96
1881.78,3.72,5.23,1.56,2.25,0.66,2.84,1.08,1.56,0.51,0.82,2.32,2.63,2.48,2.83,0.72,0.97
1881.80,3.73,5.24,1.56,2.26,0.66,2.85,1.08,1.57,0.52,0.82,2.33,2.64,2.49,2.84,0.72,0.97
1881.82,3.75,5.25,1.57,2.27,0.66,2.86,1.09,1.58,0.52,0.82,2.34,2.65,2.49,2.85,0.73,0.98
1881.83,3.76,5.26,1.58,2.28,0.66,2.87,1.09,1.59,0.52,0.83,2.35,2.67,2.50,2.86,0.73,0.98
