HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,2.01,2.84,0.80,1.15,0.36,1.48,0.55,0.81,0.26,0.42,1.19,1.39,1.27,1.51,0.35,0.48
1881.5,3.31,4.67,1.26,1.89,0.64,2.35,0.92,1.33,0.44,0.71,1.94,2.31,2.09,2.44,0.62,0.80
1882.5,4.28,5.54,1.83,2.66,0.73,3.37,1.20,1.79,0.56,0.95,2.72,3.19,2.81,3.41,0.82,1.12
1883.5,4.80,5.46,2.52,3.07,0.65,3.73,1.34,2.12,0.70,1.11,3.15,3.64,3.07,3.90,0.96,1.38
1884.5,4.89,4.65,3.05,3.15,0.51,3.71,1.39,2.14,0.70,1.10,3.12,3.72,2.97,3.79,0.97,1.46
1885.5,4.13,3.47,3.14,2.81,0.37,3.25,1.14,1.91,0.65,1.01,2.73,3.27,2.49,3.23,0.83,1.33
1886.5,2.95,2.41,2.30,2.10,0.25,2.38,0.75,1.43,0.49,0.81,1.88,2.40,1.81,2.53,0.62,1.06
1887.5,1.96,1.68,1.46,1.35,0.19,1.57,0.48,0.92,0.31,0.49,1.15,1.53,1.15,1.67,0.41,0.68
1888.5,1.24,1.12,0.82,0.78,0.13,0.95,0.30,0.54,0.18,0.29,0.70,0.96,0.70,0.97,0.24,0.40
1889.5,0.58,0.57,0.38,0.36,0.07,0.45,0.15,0.25,0.09,0.14,0.33,0.41,0.32,0.43,0.10,0.17
4112.5,2.05,2.73,0.99,1.32,0.32,1.55,0.58,0.86,0.29,0.45,1.25,1.51,1.36,1.60,0.41,0.55
4113.5,2.61,3.37,1.21,1.78,0.44,2.06,0.77,1.18,0.40,0.60,1.71,2.07,1.84,2.16,0.55,0.81
4114.5,3.03,3.84,1.58,2.19,0.47,2.43,0.92,1.40,0.47,0.74,2.07,2.58,2.22,2.72,0.65,0.98
4115.5,3.34,3.78,1.90,2.41,0.45,2.68,0.97,1.48,0.53,0.81,2.20,2.84,2.25,2.86,0.71,1.06
4116.5,3.23,3.40,2.20,2.52,0.37,2.61,0.99,1.58,0.54,0.83,2.18,2.75,2.15,2.85,0.70,1.13
4117.5,2.91,2.83,2.11,2.31,0.30,2.43,0.78,1.39,0.48,0.77,1.95,2.56,1.93,2.55,0.65,1.03
4118.5,2.40,2.27,1.67,1.80,0.23,1.90,0.63,1.12,0.39,0.59,1.47,2.02,1.48,2.04,0.50,0.84
4119.5,1.87,1.80,1.31,1.35,0.19,1.50,0.48,0.83,0.28,0.47,1.14,1.59,1.15,1.62,0.40,0.65
4120.5,1.45,1.48,0.93,0.99,0.17,1.14,0.39,0.68,0.23,0.36,0.87,1.16,0.86,1.18,0.30,0.47
4121.5,1.17,1.15,0.69,0.71,0.14,0.86,0.31,0.49,0.17,0.27,0.66,0.81,0.68,0.87,0.21,0.34
6368.5,2.46,3.40,0.97,1.45,0.44,1.77,0.65,0.98,0.30,0.49,1.41,1.66,1.51,1.80,0.44,0.60
6369.5,3.69,5.19,1.45,2.19,0.65,2.79,1.06,1.61,0.55,0.82,2.27,2.64,2.52,2.89,0.69,0.94
6370.5,4.74,5.90,2.18,3.01,0.75,3.68,1.39,2.14,0.68,1.10,3.14,3.42,3.16,3.65,0.92,1.27
6371.5,5.10,5.43,2.70,3.29,0.66,4.10,1.47,2.31,0.74,1.19,3.42,3.97,3.39,3.93,1.08,1.54
6372.5,4.92,4.56,3.31,3.37,0.48,3.75,1.33,2.21,0.73,1.16,3.25,3.90,2.96,4.04,0.98,1.52
6373.5,3.93,3.31,3.10,2.80,0.32,3.23,1.03,1.85,0.66,1.02,2.66,3.28,2.46,3.31,0.85,1.37
6374.5,2.78,2.28,2.26,1.91,0.23,2.21,0.69,1.39,0.42,0.73,1.78,2.26,1.68,2.37,0.58,1.05
6375.5,1.82,1.65,1.33,1.34,0.19,1.43,0.46,0.85,0.29,0.46,1.08,1.50,1.06,1.52,0.36,0.62
6376.5,1.09,1.06,0.75,0.71,0.11,0.83,0.28,0.48,0.17,0.26,0.63,0.83,0.62,0.90,0.20,0.36
6377.5,0.46,0.44,0.29,0.27,0.05,0.34,0.12,0.20,0.07,0.11,0.26,0.33,0.25,0.34,0.08,0.13
8528.5,0.35,0.42,0.19,0.23,0.05,0.28,0.10,0.15,0.05,0.08,0.22,0.27,0.22,0.28,0.07,0.10
8529.5,2.52,3.35,0.94,1.35,0.45,1.79,0.69,0.97,0.31,0.50,1.44,1.58,1.52,1.70,0.43,0.58
8530.5,3.87,4.71,1.70,2.20,0.61,2.92,1.08,1.54,0.52,0.83,2.30,2.60,2.32,2.70,0.66,0.91
8531.5,4.67,4.91,2.58,2.67,0.55,3.56,1.28,1.91,0.69,1.00,2.78,3.15,2.80,3.21,0.79,1.18
8532.5,4.71,3.92,3.02,2.84,0.46,3.45,1.29,1.91,0.67,1.03,2.66,3.10,2.65,3.13,0.84,1.20
8533.5,3.78,2.82,2.77,2.32,0.33,2.78,0.93,1.59,0.55,0.81,2.19,2.58,2.00,2.63,0.68,1.06
8534.5,2.28,1.76,1.80,1.48,0.18,1.82,0.57,1.04,0.36,0.54,1.32,1.70,1.26,1.72,0.45,0.74
8535.5,0.64,0.61,0.42,0.43,0.07,0.48,0.17,0.28,0.10,0.15,0.39,0.49,0.40,0.52,0.13,0.20
8536.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
