HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1879.52,0.03,0.05,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.01,0.02,0.02,0.02,0.03,0.01,0.01
1879.53,0.07,0.09,0.03,0.04,0.01,0.05,0.02,0.03,0.01,0.01,0.04,0.05,0.04,0.05,0.01,0.02
1879.55,0.10,0.14,0.04,0.06,0.02,0.07,0.03,0.04,0.01,0.02,0.06,0.07,0.06,0.08,0.02,0.02
1879.57,0.13,0.19,0.05,0.08,0.02,0.10,0.04,0.05,0.02,0.03,0.08,0.09,0.08,0.10,0.02,0.03
1879.58,0.17,0.24,0.07,0.10,0.03,0.12,0.05,0.07,0.02,0.04,0.10,0.12,0.11,0.13,0.03,0.04
1879.60,0.20,0.28,0.08,0.11,0.04,0.15,0.06,0.08,0.03,0.04,0.12,0.14,0.13,0.15,0.03,0.05
1879.62,0.23,0.33,0.09,0.13,0.04,0.17,0.06,0.09,0.03,0.05,0.14,0.16,0.15,0.18,0.04,0.06
1879.63,0.27,0.38,0.11,0.15,0.05,0.20,0.07,0.11,0.03,0.06,0.16,0.19,0.17,0.20,0.05,0.06
1879.65,0.30,0.43,0.12,0.17,0.05,0.22,0.08,0.12,0.04,0.06,0.18,0.21,0.19,0.23,0.05,0.07
1879.67,0.33,0.47,0.13,0.19,0.06,0.25,0.09,0.14,0.04,0.07,0.20,0.23,0.21,0.25,0.06,0.08
1879.68,0.37,0.52,0.15,0.21,0.07,0.27,0.10,0.15,0.05,0.08,0.22,0.25,0.23,0.28,0.06,0.09
1879.70,0.40,0.57,0.16,0.23,0.07,0.30,0.11,0.16,0.05,0.08,0.24,0.28,0.25,0.30,0.07,0.10
1879.72,0.44,0.62,0.17,0.25,0.08,0.32,0.12,0.18,0.06,0.09,0.26,0.30,0.28,0.33,0.08,0.10
1879.73,0.47,0.66,0.19,0.27,0.08,0.35,0.13,0.19,0.06,0.10,0.28,0.32,0.30,0.35,0.08,0.11
1879.75,0.50,0.71,0.20,0.29,0.09,0.37,0.14,0.20,0.07,0.10,0.30,0.35,0.32,0.38,0.09,0.12
1879.77,0.54,0.76,0.21,0.31,0.10,0.39,0.15,0.22,0.07,0.11,0.32,0.37,0.34,0.40,0.09,0.13
1879.78,0.57,0.80,0.23,0.33,0.10,0.42,0.16,0.23,0.07,0.12,0.34,0.39,0.36,0.43,0.10,0.14
1879.80,0.60,0.85,0.24,0.34,0.11,0.44,0.17,0.24,0.08,0.13,0.36,0.42,0.38,0.45,0.10,0.14
1879.82,0.64,0.90,0.25,0.36,0.11,0.47,0.17,0.26,0.08,0.13,0.38,0.44,0.40,0.48,0.11,0.15
1879.83,0.67,0.95,0.27,0.38,0.12,0.49,0.18,0.27,0.09,0.14,0.40,0.46,0.42,0.50,0.12,0.16
1879.85,0.70,0.99,0.28,0.40,0.13,0.52,0.19,0.28,0.09,0.15,0.42,0.49,0.44,0.53,0.12,0.17
1879.87,0.74,1.04,0.29,0.42,0.13,0.54,0.20,0.30,0.10,0.15,0.44,0.51,0.47,0.55,0.13,0.18
1879.88,0.77,1.09,0.31,0.44,0.14,0.57,0.21,0.31,0.10,0.16,0.46,0.53,0.49,0.58,0.13,0.18
1879.90,0.80,1.14,0.32,0.46,0.14,0.59,0.22,0.32,0.10,0.17,0.48,0.56,0.51,0.60,0.14,0.19
1879.92,0.84,1.18,0.33,0.48,0.15,0.62,0.23,0.34,0.11,0.17,0.50,0.58,0.53,0.63,0.15,0.20
1879.93,0.87,1.23,0.35,0.50,0.16,0.64,0.24,0.35,0.11,0.18,0.52,0.60,0.55,0.65,0.15,0.21
1879.95,0.90,1.28,0.36,0.52,0.16,0.67,0.25,0.36,0.12,0.19,0.54,0.63,0.57,0.68,0.16,0.22
1879.97,0.94,1.33,0.37,0.54,0.17,0.69,0.26,0.38,0.12,0.20,0.56,0.65,0.59,0.70,0.16,0.22
1879.98,0.97,1.37,0.39,0.56,0.17,0.72,0.27,0.39,0.13,0.20,0.58,0.67,0.61,0.73,0.17,0.23
1880.00,1.00,1.42,0.40,0.57,0.18,0.74,0.28,0.41,0.13,0.21,0.59,0.69,0.64,0.76,0.17,0.24
1880.02,1.04,1.47,0.41,0.59,0.19,0.76,0.28,0.42,0.13,0.22,0.61,0.72,0.66,0.78,0.18,0.25
1880.03,1.07,1.51,0.43,0.61,0.19,0.79,0.29,0.43,0.14,0.22,0.63,0.74,0.68,0.81,0.19,0.26
1880.05,1.11,1.56,0.44,0.63,0.20,0.81,0.30,0.45,0.14,0.23,0.65,0.76,0.70,0.83,0.19,0.26
1880.07,1.14,1.61,0.45,0.65,0.20,0.84,0.31,0.46,0.15,0.24,0.67,0.79,0.72,0.86,0.20,0.27
1880.08,1.17,1.66,0.47,0.67,0.21,0.86,0.32,0.47,0.15,0.24,0.69,0.81,0.74,0.88,0.20,0.28
1880.10,1.21,1.70,0.48,0.69,0.22,0.89,0.33,0.49,0.16,0.25,0.71,0.83,0.76,0.91,0.21,0.29
1880.12,1.24,1.75,0.49,0.71,0.22,0.91,0.34,0.50,0.16,0.26,0.73,0.86,0.78,0.93,0.22,0.30
1880.13,1.27,1.80,0.51,0.73,0.23,0.94,0.35,0.51,0.16,0.27,0.75,0.88,0.80,0.96,0.22,0.30
1880.15,1.31,1.85,0.52,0.75,0.23,0.96,0.36,0.53,0.17,0.27,0.77,0.90,0.83,0.98,0.23,0.31
1880.17,1.34,1.89,0.53,0.77,0.24,0.99,0.37,0.54,0.17,0.28,0.79,0.93,0.85,1.01,0.23,0.32
1880.18,1.37,1.94,0.55,0.79,0.25,1.01,0.38,0.55,0.18,0.29,0.81,0.95,0.87,1.03,0.24,0.33
1880.20,1.41,1.99,0.56,0.80,0.25,1.04,0.39,0.57,0.18,0.29,0.83,0.97,0.89,1.06,0.24,0.34
1880.22,1.44,2.04,0.57,0.82,0.26,1.06,0.39,0.58,0.19,0.30,0.85,1.00,0.91,1.08,0.25,0.34
1880.23,1.47,2.08,0.59,0.84,0.26,1.09,0.40,0.59,0.19,0.31,0.87,1.02,0.93,1.11,0.26,0.35
1880.25,1.51,2.13,0.60,0.86,0.27,1.11,0.41,0.61,0.20,0.32,0.89,1.04,0.95,1.13,0.26,0.36
1880.27,1.54,2.18,0.61,0.88,0.28,1.13,0.42,0.62,0.20,0.32,0.91,1.07,0.97,1.16,0.27,0.37
1880.28,1.57,2.22,0.63,0.90,0.28,1.16,0.43,0.63,0.20,0.33,0.93,1.09,0.99,1.18,0.27,0.38
1880.30,1.61,2.27,0.64,0.92,0.29,1.18,0.44,0.65,0.21,0.34,0.95,1.11,1.02,1.21,0.28,0.38
1880.32,1.64,2.32,0.65,0.94,0.29,1.21,0.45,0.66,0.21,0.34,0.97,1.14,1.04,1.23,0.29,0.39
1880.33,1.67,2.37,0.67,0.96,0.30,1.23,0.46,0.68,0.22,0.35,0.99,1.16,1.06,1.26,0.29,0.40
1880.35,1.71,2.41,0.68,0.98,0.31,1.26,0.47,0.69,0.22,0.36,1.01,1.18,1.08,1.28,0.30,0.41
1880.37,1.74,2.46,0.69,1.00,0.31,1.28,0.48,0.70,0.23,0.36,1.03,1.20,1.10,1.31,0.30,0.42
1880.38,1.78,2.51,0.71,1.02,0.32,1.31,0.49,0.72,0.23,0.37,1.05,1.23,1.12,1.33,0.31,0.42
1880.40,1.81,2.56,0.72,1.03,0.32,1.33,0.50,0.73,0.23,0.38,1.07,1.25,1.14,1.36,0.32,0.43
